"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Jake Allen","2021-10-13","2021020003","20212022","MTL","TOR","0","G",58.72,97.86,1.81,29.09,49.56,3.65,93.77,96.35,92.63,3.72,1.84
"Jake Allen","2021-10-16","2021020023","20212022","MTL","NYR","1","G",58.63,97.72,2.14,24.73,36.83,2.03,91.35,94.19,94.49,-0.3,-0.11
"Jake Allen","2021-10-19","2021020040","20212022","MTL","S.J","1","G",59.97,99.94,5.57,29.41,37.94,2.61,81.06,85.32,93.11,-7.79,-2.95
"Jake Allen","2021-10-21","2021020052","20212022","MTL","CAR","1","G",57.47,95.78,3.22,35.06,46.18,2.29,90.82,93.03,95.03,-2,-0.92
"Jake Allen","2021-10-23","2021020066","20212022","MTL","DET","1","G",60,100,1.08,25.73,34.72,2.57,95.81,96.9,92.6,4.3,1.49
"Jake Allen","2021-10-26","2021020096","20212022","MTL","SEA","0","G",60,100,4.85,27.26,38.66,2.32,82.2,87.45,94,-6.55,-2.53
"Jake Allen","2021-10-28","2021020109","20212022","MTL","S.J","0","G",60,100,0,40,49.6,3.6,100,100,92.74,7.26,3.6
"Jake Allen","2021-10-30","2021020125","20212022","MTL","L.A","0","G",60,100,4.85,38.34,49.4,3.3,87.36,90.19,93.31,-3.13,-1.54
"Jake Allen","2021-11-02","2021020136","20212022","MTL","DET","1","G",60,100,0,20.77,26.71,2.65,100,100,90.09,9.91,2.65
"Jake Allen","2021-11-04","2021020150","20212022","MTL","NYI","1","G",40,66.67,5.34,27.9,35.04,2.52,80.84,84.75,92.8,-8.05,-2.82
"Jake Allen","2021-11-06","2021020164","20212022","MTL","VGK","1","G",58.38,97.31,3.1,16.78,24.47,1.98,81.56,87.35,91.92,-4.57,-1.12
"Jake Allen","2021-11-09","2021020183","20212022","MTL","L.A","1","G",63.65,100,3.04,35.37,47.78,3.45,91.4,93.63,92.77,0.86,0.41
"Jake Allen","2021-11-11","2021020196","20212022","MTL","CGY","1","G",59.7,99.5,2.12,27.2,35.91,1.58,92.2,94.09,95.59,-1.5,-0.54
"Jake Allen","2021-11-13","2021020213","20212022","MTL","DET","0","G",19.2,31.13,0,7.25,13.6,0.65,100,100,95.18,4.82,0.65
"Jake Allen","2021-11-24","2021020296","20212022","MTL","WSH","0","G",60,100,5.89,36.65,58.58,2.53,83.93,89.94,95.69,-5.74,-3.36
"Jake Allen","2021-11-27","2021020319","20212022","MTL","PIT","0","G",59.48,99.14,2.93,47.28,57.19,4.09,93.8,94.87,92.85,2.03,1.16
"Jake Allen","2021-11-29","2021020334","20212022","MTL","VAN","1","G",59.05,98.42,2.14,44.91,50.67,2.64,95.24,95.78,94.78,1,0.51
"Jake Allen","2021-12-02","2021020352","20212022","MTL","COL","1","G",59.05,98.42,3.21,36.07,53.71,4.32,91.1,94.03,91.95,2.07,1.11
"Jake Allen","2021-12-04","2021020374","20212022","MTL","NSH","0","G",64.8,100,3.85,42.7,56.95,4.48,90.97,93.23,92.13,1.11,0.63
"Jake Allen","2021-12-07","2021020390","20212022","MTL","T.B","1","G",59.83,99.72,3.09,27.36,39.6,2.99,88.7,92.2,92.46,-0.27,-0.11
"Jake Allen","2021-12-09","2021020403","20212022","MTL","CHI","1","G",57.23,95.39,2.15,26.23,37.04,3.72,91.81,94.2,89.96,4.24,1.57
"Jake Allen","2021-12-11","2021020424","20212022","MTL","STL","0","G",60,100,3.92,39.08,44.51,3.28,89.97,91.19,92.63,-1.44,-0.64
"Jake Allen","2021-12-14","2021020442","20212022","MTL","PIT","0","G",60,100,4.9,31.87,41.19,2.47,84.61,88.1,93.99,-5.9,-2.43
"Jake Allen","2022-01-12","2021021000","20212022","MTL","BOS","0","G",17.18,28.64,1.93,6.87,13.72,0.95,71.86,85.91,93.08,-7.18,-0.98
"Jake Allen","2022-03-17","2021020969","20212022","MTL","DAL","1","G",63.85,98.48,4.1,37.22,52.57,4.05,88.98,92.2,92.29,-0.09,-0.05
"Jake Allen","2022-03-19","2021020983","20212022","MTL","OTT","1","G",60,100,1.01,29.2,38.97,3.12,96.56,97.42,92,5.42,2.11
"Jake Allen","2022-03-21","2021020646","20212022","MTL","BOS","1","G",60.57,100,3.04,48.12,61.88,5.04,93.68,95.08,91.86,3.23,2
"Jake Allen","2022-03-24","2021021020","20212022","MTL","FLA","1","G",56.75,94.58,4.32,45.71,55.67,3.91,90.56,92.25,92.97,-0.73,-0.41
"Jake Allen","2022-03-26","2021021035","20212022","MTL","TOR","1","G",59.93,99.89,2.07,52.83,63.57,6.35,96.09,96.75,90.01,6.73,4.28
"Jake Allen","2022-03-29","2021021061","20212022","MTL","FLA","0","G",59.3,98.83,5.72,45.84,61.92,5.61,87.52,90.76,90.94,-0.17,-0.11
"Jake Allen","2022-03-31","2021021078","20212022","MTL","CAR","0","G",56.53,94.22,2.91,45.51,62.3,4.45,93.61,95.33,92.86,2.47,1.54
"Jake Allen","2022-04-02","2021021091","20212022","MTL","T.B","0","G",65,100,3.87,41.39,58.57,3.82,90.66,93.4,93.48,-0.08,-0.05
