"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Jake Oettinger","2021-11-16","2021020239","20212022","DAL","DET","1","G",60,100,2.02,28.41,42.8,2.34,92.9,95.29,94.54,0.74,0.32
"Jake Oettinger","2021-11-18","2021020254","20212022","DAL","MIN","0","G",6.13,10.22,0,0,3.33,0.13,0,100,96.01,3.99,0.13
"Jake Oettinger","2021-11-20","2021020268","20212022","DAL","STL","1","G",60,100,1.01,35.49,40.5,3.02,97.17,97.52,92.55,4.97,2.01
"Jake Oettinger","2021-11-23","2021020288","20212022","DAL","EDM","1","G",59.93,99.89,1.01,20.99,31.48,1.74,95.18,96.78,94.48,2.31,0.73
"Jake Oettinger","2021-11-26","2021020313","20212022","DAL","COL","1","G",52.33,87.22,0.97,30.97,42.99,2.76,96.87,97.75,93.57,4.17,1.79
"Jake Oettinger","2021-12-02","2021020359","20212022","DAL","CBJ","1","G",60,100,2.07,22.35,35.59,1.61,90.72,94.18,95.46,-1.29,-0.46
"Jake Oettinger","2021-12-09","2021020409","20212022","DAL","L.A","0","G",57.42,95.69,1.93,38.88,55.12,2.97,95.03,96.49,94.62,1.87,1.03
"Jake Oettinger","2021-12-14","2021020444","20212022","DAL","STL","1","G",58.8,98,4.44,30.84,39.39,2.9,85.61,88.73,92.63,-3.9,-1.53
"Jake Oettinger","2021-12-18","2021020475","20212022","DAL","CHI","1","G",61.1,98.21,3.03,22.36,30.98,2.13,86.45,90.22,93.13,-2.91,-0.9
"Jake Oettinger","2021-12-20","2021020492","20212022","DAL","MIN","1","G",59.72,99.53,4,22.1,30.72,1.83,81.88,86.96,94.05,-7.08,-2.18
"Jake Oettinger","2022-01-08","2021020619","20212022","DAL","PIT","1","G",59.58,99.31,2.13,31.61,43.15,3,93.26,95.06,93.05,2.01,0.87
"Jake Oettinger","2022-01-12","2021020647","20212022","DAL","SEA","1","G",59.98,99.97,2.02,23.68,39.94,2.67,91.48,94.95,93.3,1.64,0.66
"Jake Oettinger","2022-01-14","2021020661","20212022","DAL","FLA","0","G",26.05,43.42,3.91,17.97,19.98,1.47,78.24,80.43,92.65,-12.21,-2.44
"Jake Oettinger","2022-01-18","2021020697","20212022","DAL","MTL","1","G",44.12,73.53,5.47,20.68,28.18,1.99,73.54,80.58,92.92,-12.34,-3.48
"Jake Oettinger","2022-01-24","2021020739","20212022","DAL","PHI","0","G",60,100,0.94,26.68,38.87,2.39,96.48,97.59,93.85,3.74,1.45
