"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"James Reimer","2021-10-21","2021020053","20212022","S.J","OTT","0","G",60,100,0.94,29.72,49.34,3.07,96.82,98.08,93.79,4.3,2.12
"James Reimer","2021-10-24","2021020079","20212022","S.J","BOS","0","G",32.7,54.5,0,21.71,30.56,1.37,100,100,95.51,4.49,1.37
"James Reimer","2021-10-26","2021020092","20212022","S.J","NSH","0","G",58.77,97.94,1.92,26.04,35.49,1.79,92.62,94.59,94.96,-0.38,-0.13
"James Reimer","2021-10-30","2021020126","20212022","S.J","WPG","1","G",61.12,100,1.01,34.88,52.96,2.64,97.1,98.09,95.02,3.07,1.62
"James Reimer","2021-11-02","2021020143","20212022","S.J","BUF","1","G",60,100,2.99,26.94,32.72,1.5,88.89,90.85,95.42,-4.57,-1.49
"James Reimer","2021-11-06","2021020173","20212022","S.J","N.J","1","G",64.88,99.82,2.02,28.34,42.43,2.09,92.86,95.23,95.07,0.16,0.07
"James Reimer","2021-11-11","2021020202","20212022","S.J","WPG","0","G",58.8,98,2.87,33,55.65,4.57,91.3,94.84,91.78,3.06,1.7
"James Reimer","2021-11-16","2021020240","20212022","S.J","MIN","0","G",60,100,0.94,24.49,33.22,1.61,96.17,97.18,95.17,2.01,0.67
"James Reimer","2021-11-18","2021020253","20212022","S.J","STL","0","G",60,100,3.9,49.8,64.12,4.22,92.17,93.92,93.42,0.5,0.32
"James Reimer","2021-11-22","2021020286","20212022","S.J","CAR","1","G",61.38,99.49,1.06,24.79,35.8,1.14,95.72,97.04,96.82,0.22,0.08
"James Reimer","2021-11-24","2021020302","20212022","S.J","OTT","1","G",60,100,3.15,29.24,43.67,2.94,89.21,92.78,93.27,-0.49,-0.22
"James Reimer","2021-11-26","2021020316","20212022","S.J","TOR","1","G",30.73,51.22,4.38,19.18,28.69,2.47,77.18,84.75,91.4,-6.65,-1.91
"James Reimer","2021-11-28","2021020330","20212022","S.J","CHI","0","G",60,100,0,27.38,40.97,2.42,100,100,94.1,5.9,2.42
"James Reimer","2021-11-30","2021020339","20212022","S.J","N.J","0","G",60,100,1.88,30.37,42.87,1.87,93.82,95.62,95.64,-0.01,-0.01
"James Reimer","2021-12-11","2021020429","20212022","S.J","DAL","1","G",60,100,1.01,33.82,46.66,3.31,97.01,97.83,92.9,4.93,2.3
"James Reimer","2021-12-14","2021020450","20212022","S.J","SEA","1","G",58.03,96.72,2.13,30.35,35.82,1.93,92.98,94.05,94.62,-0.57,-0.21
"James Reimer","2021-12-28","2021020540","20212022","S.J","ARI","1","G",65,100,7.04,45.27,55.3,4.77,84.46,87.28,91.37,-4.09,-2.26
"James Reimer","2021-12-30","2021020557","20212022","S.J","PHI","1","G",63.82,98.97,2.07,25.43,37.2,3.07,91.85,94.43,91.74,2.69,1
"James Reimer","2022-01-02","2021020577","20212022","S.J","PIT","0","G",20,33.33,5.88,18.49,30.75,1.79,68.17,80.86,94.17,-13.31,-4.09
"James Reimer","2022-01-04","2021020588","20212022","S.J","DET","0","G",40,66.67,3.92,24.71,25.69,2.17,84.13,84.74,91.57,-6.83,-1.76
"James Reimer","2022-01-17","2021020689","20212022","S.J","L.A","1","G",60,100,2.02,38.41,51.52,3.42,94.73,96.07,93.35,2.72,1.4
"James Reimer","2022-01-22","2021020731","20212022","S.J","T.B","1","G",12.53,20.89,4.27,14.65,19.14,1.99,70.83,77.67,89.61,-11.94,-2.29
"James Reimer","2022-01-26","2021020754","20212022","S.J","WSH","0","G",60,100,0.94,29.92,46.1,3.33,96.86,97.97,92.77,5.19,2.39
"James Reimer","2022-01-29","2021020776","20212022","S.J","FLA","0","G",61.12,99.97,4.78,45.26,58.38,5.15,89.43,91.8,91.19,0.62,0.36
"James Reimer","2022-01-30","2021020787","20212022","S.J","CAR","0","G",58.57,97.61,1.89,29.3,47.43,2.84,93.55,96.02,94.02,2,0.95
"James Reimer","2022-02-01","2021020797","20212022","S.J","T.B","0","G",62.75,100,2.91,31.1,47.53,2.99,90.64,93.88,93.7,0.17,0.08
"James Reimer","2022-02-14","2021020522","20212022","S.J","EDM","1","G",57.82,96.36,3.2,45.69,62.49,4.49,92.99,94.87,92.82,2.06,1.29
"James Reimer","2022-02-17","2021020502","20212022","S.J","VAN","1","G",60.95,97.29,5.23,28.5,42.87,3.16,81.64,87.79,92.62,-4.83,-2.07
"James Reimer","2022-02-20","2021021161","20212022","S.J","VGK","1","G",57.98,96.64,3.21,38.66,55.04,3.01,91.69,94.16,94.54,-0.38,-0.21
