"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Jaroslav Halak","2021-10-16","2021020024","20212022","VAN","DET","0","G",57.8,96.33,1.88,20.48,25.62,2.49,90.83,92.67,90.29,2.38,0.61
"Jaroslav Halak","2021-10-28","2021020106","20212022","VAN","PHI","1","G",58.32,97.19,2.14,31.11,44.06,2.28,93.13,95.15,94.83,0.32,0.14
"Jaroslav Halak","2021-11-09","2021020190","20212022","VAN","ANA","1","G",63.02,98.67,3.12,32.73,36.61,2.64,90.48,91.49,92.78,-1.29,-0.47
"Jaroslav Halak","2021-11-11","2021020203","20212022","VAN","COL","0","G",20,33.33,0.99,9.7,15.18,0.9,89.76,93.45,94.08,-0.63,-0.1
"Jaroslav Halak","2021-11-14","2021020229","20212022","VAN","ANA","0","G",58.48,97.47,3.79,37.71,50.9,3.14,89.96,92.56,93.83,-1.27,-0.64
"Jaroslav Halak","2021-11-28","2021020326","20212022","VAN","BOS","0","G",57.93,96.56,2.74,39.43,48.48,2.68,93.06,94.35,94.48,-0.12,-0.06
"Jaroslav Halak","2021-12-14","2021020449","20212022","VAN","CBJ","1","G",59.57,99.28,3.2,25.13,39.47,2.24,87.26,91.89,94.32,-2.43,-0.96
"Jaroslav Halak","2021-12-30","2021020556","20212022","VAN","L.A","0","G",65,100,0.94,35.03,57.07,4.47,97.3,98.34,92.17,6.18,3.53
"Jaroslav Halak","2022-01-31","2021020794","20212022","VAN","CHI","0","G",60,100,0.94,18.87,24.12,1.25,95.03,96.11,94.82,1.3,0.31
"Jaroslav Halak","2022-02-09","2021020598","20212022","VAN","NYI","1","G",16.32,27.19,5.34,13.67,16.14,1.03,60.89,66.89,93.64,-26.76,-4.32
"Jaroslav Halak","2022-02-19","2021020520","20212022","VAN","ANA","1","G",35.67,59.44,2.14,13.1,23.97,1.71,83.65,91.06,92.85,-1.78,-0.43
"Jaroslav Halak","2022-02-28","2021020847","20212022","VAN","N.J","0","G",26.32,43.86,5.89,14.81,27.28,1.68,60.23,78.41,93.84,-15.43,-4.21
"Jaroslav Halak","2022-03-19","2021020990","20212022","VAN","CGY","1","G",20,33.33,1.18,18.08,20.54,1.79,93.46,94.24,91.3,2.94,0.6
"Jaroslav Halak","2022-03-23","2021021016","20212022","VAN","COL","0","G",60,100,0.87,31.09,40.3,2.84,97.21,97.85,92.94,4.91,1.98
"Jaroslav Halak","2022-03-28","2021021056","20212022","VAN","STL","0","G",58.23,97.06,2.92,29.51,43.17,2.63,90.1,93.23,93.91,-0.67,-0.29
"Jaroslav Halak","2022-04-07","2021021134","20212022","VAN","ARI","0","G",60,100,0.94,24.51,33.13,2.25,96.17,97.17,93.21,3.96,1.31
"Jaroslav Halak","2022-04-19","2021020625","20212022","VAN","OTT","1","G",20,30.77,0,13.47,14.46,2.29,100,100,84.16,15.84,2.29
"Jaroslav Halak","Total","-","21-22","VAN","-","-","G",46.86,77.06,39.02,408.44,560.51,38.31,90.45,93.04,93.16,-0.13,-0.71
