"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Jeremy Swayman","2021-10-16","2021020020","20212022","BOS","DAL","1","G",59.8,99.67,1.01,28.1,39.34,2.69,96.4,97.43,93.15,4.27,1.68
"Jeremy Swayman","2021-10-20","2021020050","20212022","BOS","PHI","0","G",59.48,99.14,4.8,24.69,29.75,1.61,80.56,83.87,94.58,-10.71,-3.19
"Jeremy Swayman","2021-10-28","2021020104","20212022","BOS","CAR","0","G",58.03,96.72,1.94,23.44,41.77,2.7,91.73,95.36,93.54,1.81,0.76
"Jeremy Swayman","2021-11-04","2021020148","20212022","BOS","DET","1","G",60,100,1.07,14.38,25.07,1.05,92.52,95.71,95.8,-0.09,-0.02
"Jeremy Swayman","2021-11-09","2021020182","20212022","BOS","OTT","1","G",59.9,99.83,2.07,28.79,39.22,2.34,92.8,94.71,94.02,0.69,0.27
"Jeremy Swayman","2021-11-13","2021020215","20212022","BOS","N.J","0","G",60,100,1.88,26.77,40.32,2.54,92.99,95.35,93.7,1.64,0.66
"Jeremy Swayman","2021-11-14","2021020224","20212022","BOS","MTL","1","G",59.83,99.72,2.12,30.64,40.03,1.81,93.07,94.7,95.47,-0.77,-0.31
"Jeremy Swayman","2021-11-21","2021020274","20212022","BOS","CGY","1","G",60,100,4.39,36.56,52.9,3.58,88,91.71,93.22,-1.51,-0.8
"Jeremy Swayman","2021-11-24","2021020290","20212022","BOS","BUF","0","G",60,100,0.94,22.52,33.26,1.24,95.8,97.16,96.26,0.89,0.3
"Jeremy Swayman","2021-11-26","2021020304","20212022","BOS","NYR","1","G",57.95,96.58,4.16,30.58,34.82,2.56,86.41,88.06,92.65,-4.58,-1.6
"Jeremy Swayman","2021-12-02","2021020358","20212022","BOS","NSH","0","G",59.3,98.83,0,38.44,50.27,2.44,100,100,95.15,4.85,2.44
"Jeremy Swayman","2021-12-04","2021020367","20212022","BOS","T.B","1","G",61.52,100,3.12,26.72,44.04,3.12,88.33,92.92,92.91,0.01,0.01
"Jeremy Swayman","2021-12-08","2021020400","20212022","BOS","VAN","0","G",65,100,0.93,31.34,49.79,1.89,97.02,98.13,96.2,1.93,0.96
"Jeremy Swayman","2021-12-14","2021020437","20212022","BOS","VGK","1","G",57.28,95.47,4.39,28.66,43.96,1.86,84.7,90.02,95.78,-5.75,-2.53
"Jeremy Swayman","2022-01-02","2021020575","20212022","BOS","DET","0","G",60,100,0.94,22.08,27.43,2.2,95.72,96.56,91.98,4.58,1.26
"Jeremy Swayman","2022-01-06","2021020599","20212022","BOS","MIN","1","G",58.65,97.75,3.22,33.59,43.78,2.63,90.4,92.64,93.98,-1.34,-0.59
"Jeremy Swayman","2022-01-30","2021020789","20212022","BOS","DAL","0","G",32.35,53.92,1.98,15.34,25.16,1.59,87.08,92.12,93.68,-1.56,-0.39
"Jeremy Swayman","2022-02-08","2021020523","20212022","BOS","PIT","1","G",58.92,98.19,3.1,24.42,35.11,1.76,87.3,91.17,94.99,-3.82,-1.34
"Jeremy Swayman","2022-02-12","2021020543","20212022","BOS","OTT","0","G",59.52,99.19,0,27.09,42.89,2.64,100,100,93.85,6.15,2.64
"Jeremy Swayman","2022-02-15","2021021263","20212022","BOS","NYR","0","G",64.7,99.54,0.94,31.71,42.78,2.81,97.04,97.81,93.44,4.37,1.87
"Jeremy Swayman","2022-02-19","2021020481","20212022","BOS","OTT","0","G",62.7,100,1.88,29.37,41.55,2.73,93.61,95.48,93.43,2.05,0.85
"Jeremy Swayman","2022-02-21","2021020508","20212022","BOS","COL","1","G",59.68,99.47,1.01,27.96,35.6,1.24,96.4,97.17,96.52,0.65,0.23
"Jeremy Swayman","2022-02-26","2021020838","20212022","BOS","S.J","0","G",60,100,0.87,14.75,22.86,1.42,94.13,96.21,93.78,2.43,0.56
"Jeremy Swayman","2022-02-28","2021020850","20212022","BOS","L.A","0","G",60,100,0,29.59,38.25,2.8,100,100,92.67,7.33,2.8
"Jeremy Swayman","2022-03-03","2021020872","20212022","BOS","VGK","0","G",60,100,1.97,32.95,40.85,2.16,94.02,95.17,94.71,0.46,0.19
"Jeremy Swayman","2022-03-05","2021020885","20212022","BOS","CBJ","0","G",64.95,99.92,3.85,23.63,40.26,1.92,83.71,90.44,95.23,-4.79,-1.93
"Jeremy Swayman","2022-03-10","2021020915","20212022","BOS","CHI","1","G",59.98,99.97,3.08,25.48,31.72,1.87,87.92,90.29,94.11,-3.82,-1.21
"Jeremy Swayman","2022-03-12","2021020932","20212022","BOS","ARI","1","G",60,100,2.02,28.12,35.77,2.13,92.8,94.34,94.05,0.29,0.1
"Jeremy Swayman","2022-03-16","2021020965","20212022","BOS","MIN","0","G",58.95,98.25,2.87,32.85,46.68,2.48,91.27,93.86,94.68,-0.82,-0.39
"Jeremy Swayman","2022-03-21","2021020646","20212022","BOS","MTL","0","G",60.57,100,1.87,26.7,36.1,2.8,92.99,94.82,92.25,2.57,0.93
"Jeremy Swayman","2022-03-24","2021021019","20212022","BOS","T.B","1","G",60,100,2.14,24.83,34.31,2.14,91.39,93.77,93.76,0.01,0
"Jeremy Swayman","2022-03-29","2021021059","20212022","BOS","TOR","1","G",40,66.67,6.54,28.31,41.06,3.38,76.9,84.08,91.78,-7.7,-3.16
"Jeremy Swayman","2022-04-02","2021021090","20212022","BOS","CBJ","1","G",59.7,99.5,2.07,25.66,36.6,2.57,91.92,94.34,92.98,1.36,0.5
"Jeremy Swayman","2022-04-05","2021021115","20212022","BOS","DET","0","G",57.05,95.08,3.82,26.89,36.51,2.8,85.81,89.55,92.34,-2.79,-1.02
"Jeremy Swayman","2022-04-12","2021021164","20212022","BOS","STL","1","G",57.9,96.5,4.2,31.01,35.36,2.36,86.46,88.12,93.34,-5.21,-1.84
"Jeremy Swayman","2022-04-14","2021021181","20212022","BOS","OTT","1","G",38.22,63.69,3.16,26.73,32.91,2.71,88.16,90.39,91.76,-1.38,-0.45
"Jeremy Swayman","2022-04-16","2021021196","20212022","BOS","PIT","1","G",60,100,1.01,22.91,33.33,1.31,95.58,96.96,96.07,0.9,0.3
"Jeremy Swayman","2022-04-19","2021021225","20212022","BOS","STL","0","G",60.8,100,1.87,21.12,29.77,1.67,91.14,93.72,94.38,-0.66,-0.2
"Jeremy Swayman","2022-04-21","2021021238","20212022","BOS","PIT","0","G",58.62,97.69,2.92,32.78,48.91,2.66,91.09,94.03,94.56,-0.53,-0.26
"Jeremy Swayman","2022-04-24","2021020471","20212022","BOS","MTL","0","G",60,100,2.67,23.2,35.56,1.93,88.49,92.49,94.56,-2.07,-0.74
"Jeremy Swayman","2022-04-29","2021021299","20212022","BOS","TOR","0","G",58.88,98.14,3.79,27.08,32.36,2.14,86.01,88.3,93.38,-5.08,-1.65
"Jeremy Swayman","Total","-","21-22","BOS","-","-","G",58.3,96.36,96.61,1107.79,1548,92.3,91.28,93.76,94.04,-0.28,-4.3
