"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"John Gibson","2021-10-13","2021020015","20212022","ANA","WPG","1","G",60,100,1.01,33.08,46.49,3.57,96.94,97.82,92.32,5.5,2.56
"John Gibson","2021-10-18","2021020037","20212022","ANA","CGY","0","G",63.43,100,1.89,43.19,56.1,3.54,95.62,96.63,93.69,2.94,1.65
"John Gibson","2021-10-21","2021020060","20212022","ANA","WPG","0","G",58.53,97.56,3.87,26.9,37.29,1.57,85.63,89.63,95.78,-6.15,-2.29
"John Gibson","2021-10-23","2021020075","20212022","ANA","MIN","0","G",64.78,100,3.74,33.97,40.46,3,88.99,90.75,92.59,-1.84,-0.75
"John Gibson","2021-10-26","2021020095","20212022","ANA","WPG","1","G",59.17,98.61,4.1,25.66,40.05,2.78,84.01,89.76,93.07,-3.31,-1.33
"John Gibson","2021-10-29","2021020116","20212022","ANA","VGK","0","G",65,100,3.91,43.35,53.88,4.18,90.98,92.74,92.24,0.5,0.27
"John Gibson","2021-10-31","2021020129","20212022","ANA","MTL","1","G",59.77,99.61,2.02,17.96,25.96,2.08,88.76,92.23,91.98,0.25,0.06
"John Gibson","2021-11-02","2021020142","20212022","ANA","N.J","1","G",60,100,0,27.11,36.67,2.36,100,100,93.58,6.42,2.36
"John Gibson","2021-11-07","2021020178","20212022","ANA","STL","1","G",60,100,1.06,36.34,51.48,2.36,97.08,97.94,95.41,2.53,1.3
"John Gibson","2021-11-09","2021020190","20212022","ANA","VAN","0","G",63.47,99.37,1.97,39.97,52.76,2.6,95.07,96.26,95.06,1.2,0.63
"John Gibson","2021-11-11","2021020205","20212022","ANA","SEA","0","G",60,100,3.74,22.76,31.82,1.39,83.56,88.24,95.62,-7.38,-2.35
"John Gibson","2021-11-14","2021020229","20212022","ANA","VAN","1","G",59.58,99.31,1.06,26.11,38.5,2.31,95.94,97.24,94,3.24,1.25
"John Gibson","2021-11-16","2021020243","20212022","ANA","WSH","1","G",64.23,100,2.02,29.25,43.11,2.49,93.08,95.31,94.22,1.08,0.47
"John Gibson","2021-11-18","2021020258","20212022","ANA","CAR","1","G",58,96.67,2.12,32.38,50.45,3.13,93.45,95.79,93.8,2,1.01
"John Gibson","2021-11-22","2021020283","20212022","ANA","NSH","0","G",58.12,96.86,2.82,34.31,42.12,2.15,91.77,93.3,94.89,-1.59,-0.67
"John Gibson","2021-11-24","2021020299","20212022","ANA","COL","0","G",60,100,4.79,35.84,45.69,3.53,86.62,89.51,92.28,-2.77,-1.27
"John Gibson","2021-11-28","2021020332","20212022","ANA","TOR","1","G",59.5,99.17,4.27,32.93,48.76,3.29,87.02,91.24,93.26,-2.03,-0.99
"John Gibson","2021-11-30","2021020345","20212022","ANA","L.A","0","G",64.93,99.9,3.75,32.11,43.35,2.42,88.31,91.35,94.42,-3.07,-1.33
"John Gibson","2021-12-03","2021020365","20212022","ANA","CGY","1","G",65,100,3.14,37.67,52.61,3.56,91.65,94.02,93.23,0.79,0.42
"John Gibson","2021-12-06","2021020384","20212022","ANA","WSH","0","G",65,100,2.83,28.49,47.19,3.09,90.07,94.01,93.44,0.57,0.27
"John Gibson","2021-12-09","2021020405","20212022","ANA","CBJ","0","G",64.62,99.41,0.94,32.99,48.3,2.99,97.14,98.04,93.82,4.23,2.04
"John Gibson","2021-12-11","2021020423","20212022","ANA","PIT","0","G",40,66.67,0.94,16.55,23.72,1.38,94.29,96.02,94.2,1.82,0.43
"John Gibson","2021-12-17","2021020470","20212022","ANA","ARI","1","G",61.6,99.12,6.12,26.41,35.3,3.53,76.83,82.66,90,-7.34,-2.59
"John Gibson","2021-12-29","2021020550","20212022","ANA","VAN","1","G",60.43,100,1.98,37.2,51.54,4.56,94.67,96.16,91.15,5,2.58
"John Gibson","2021-12-31","2021020565","20212022","ANA","VGK","0","G",60,100,2.92,47.56,66.4,4.8,93.86,95.6,92.78,2.82,1.88
"John Gibson","2022-01-02","2021020580","20212022","ANA","COL","0","G",59.55,99.25,2.68,32.01,39.74,2.37,91.64,93.26,94.03,-0.77,-0.3
"John Gibson","2022-01-04","2021020594","20212022","ANA","PHI","1","G",60,100,1.01,27.7,43.08,3.15,96.35,97.65,92.68,4.97,2.14
"John Gibson","2022-01-19","2021020703","20212022","ANA","COL","1","G",58.67,97.78,1.06,29.14,45.31,3.12,96.36,97.66,93.11,4.54,2.06
"John Gibson","2022-01-21","2021020719","20212022","ANA","T.B","1","G",59.75,99.58,1.01,31.35,49.54,4.4,96.77,97.96,91.12,6.84,3.39
"John Gibson","2022-01-24","2021020737","20212022","ANA","BOS","0","G",60,100,2.74,23.45,34.28,1.76,88.31,92,94.87,-2.87,-0.98
"John Gibson","2022-01-26","2021020752","20212022","ANA","TOR","0","G",64.8,99.69,2.73,43.17,56.83,4.82,93.67,95.19,91.53,3.66,2.08
"John Gibson","2022-01-29","2021020773","20212022","ANA","OTT","0","G",59.75,99.58,0.94,42.53,55.66,3.62,97.79,98.31,93.49,4.82,2.68
"John Gibson","2022-01-31","2021020792","20212022","ANA","DET","0","G",62.18,100,1.98,27.32,37.86,3.3,92.76,94.78,91.28,3.49,1.32
"John Gibson","2022-02-11","2021021033","20212022","ANA","SEA","1","G",59.12,98.53,4.2,28.2,44.19,2.34,85.12,90.51,94.69,-4.19,-1.85
"John Gibson","2022-02-16","2021020500","20212022","ANA","CGY","0","G",28.08,46.81,3.86,21.03,24.2,1.7,81.63,84.04,92.96,-8.92,-2.16
"John Gibson","2022-02-17","2021020493","20212022","ANA","EDM","0","G",60,100,6.7,40.37,46.11,3.44,83.4,85.47,92.54,-7.07,-3.26
"John Gibson","2022-02-19","2021020520","20212022","ANA","VAN","0","G",59.8,99.67,3.68,17.18,24.04,1.32,78.58,84.69,94.52,-9.83,-2.36
"John Gibson","2022-02-25","2021020828","20212022","ANA","L.A","1","G",34.28,57.14,4.4,22.24,32.3,1.69,80.22,86.39,94.76,-8.37,-2.7
"John Gibson","2022-03-01","2021020859","20212022","ANA","BOS","1","G",60,100,3.04,33.76,45.76,2.13,91.01,93.37,95.35,-1.99,-0.91
"John Gibson","2022-03-04","2021020879","20212022","ANA","VGK","1","G",58.42,97.36,5.28,38.25,53.22,2.66,86.21,90.09,95,-4.92,-2.62
"John Gibson","2022-03-08","2021020907","20212022","ANA","CHI","0","G",20,33.33,4.95,13.52,16.63,1.63,63.4,70.24,90.21,-19.96,-3.32
"John Gibson","2022-03-10","2021020925","20212022","ANA","NSH","0","G",58.3,97.17,2.91,29.93,46.19,2.33,90.28,93.7,94.95,-1.24,-0.57
"John Gibson","2022-03-13","2021020943","20212022","ANA","NYI","0","G",58.45,97.42,3.87,29.92,35.1,2.44,87.08,88.99,93.05,-4.06,-1.43
"John Gibson","2022-03-15","2021020955","20212022","ANA","NYR","0","G",60.92,100,3.88,36.55,45.87,2.19,89.39,91.55,95.23,-3.68,-1.69
"John Gibson","2022-03-18","2021020981","20212022","ANA","FLA","1","G",60,100,3.22,47.43,75.48,5,93.21,95.74,93.38,2.36,1.78
"John Gibson","2022-03-21","2021021003","20212022","ANA","NSH","1","G",59.25,98.75,5.52,32.36,46.73,3.94,82.95,88.2,91.56,-3.37,-1.57
"John Gibson","2022-03-23","2021021018","20212022","ANA","CHI","1","G",59,98.33,3.21,29.11,38.83,3.39,88.96,91.72,91.26,0.46,0.18
"John Gibson","2022-03-29","2021021067","20212022","ANA","DAL","1","G",58.35,97.25,3.13,32.3,51.62,4.15,90.3,93.93,91.96,1.97,1.02
"John Gibson","2022-03-31","2021021082","20212022","ANA","DAL","1","G",60.88,100,3.11,37.42,51.61,3.02,91.7,93.98,94.15,-0.17,-0.09
"John Gibson","2022-04-03","2021021107","20212022","ANA","EDM","1","G",60,100,6.53,53.71,74.35,3.82,87.84,91.22,94.86,-3.64,-2.71
"John Gibson","2022-04-10","2021021159","20212022","ANA","CAR","0","G",58.98,98.31,3.91,43.74,66.44,4.63,91.06,94.12,93.03,1.08,0.72
"John Gibson","2022-04-12","2021021167","20212022","ANA","FLA","0","G",63.68,100,2.84,51.62,70.18,5.88,94.5,95.96,91.62,4.34,3.05
"John Gibson","2022-04-17","2021021215","20212022","ANA","CBJ","1","G",60,100,4.05,33.86,46.32,3.07,88.04,91.26,93.37,-2.1,-0.98
"John Gibson","2022-04-19","2021021226","20212022","ANA","L.A","1","G",58.23,97.06,2.12,29.29,45.37,2.14,92.76,95.32,95.28,0.05,0.02
"John Gibson","2022-04-24","2021021270","20212022","ANA","STL","1","G",59.97,99.94,6.3,38.43,51.86,4.9,83.61,87.86,90.55,-2.7,-1.4
"John Gibson","2022-04-29","2021021307","20212022","ANA","DAL","0","G",20,33.33,0,4.63,9.27,0.49,100,100,94.67,5.33,0.49
"John Gibson","Total","-","21-22","ANA","-","-","G",57.78,94.7,171.88,1801.61,2513.96,167.52,90.46,93.16,93.34,-0.17,-4.36
