"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Jon Gillies","2021-12-12","2021020432","20212022","STL","ANA","1","G",63.77,99.69,3.04,40.47,50.13,3.11,92.48,93.93,93.8,0.13,0.07
"Jon Gillies","2021-12-19","2021020482","20212022","N.J","PIT","1","G",57.63,96.06,3.22,24.05,36.37,2.82,86.61,91.15,92.23,-1.08,-0.39
"Jon Gillies","2022-01-13","2021020653","20212022","N.J","NYI","0","G",57.68,96.14,2.74,24.11,33.93,3.19,88.63,91.93,90.6,1.32,0.45
"Jon Gillies","2022-01-22","2021020724","20212022","N.J","CAR","1","G",59.9,99.83,4.2,32.52,40.88,2.03,87.07,89.71,95.03,-5.32,-2.18
"Jon Gillies","2022-01-23","2021020732","20212022","N.J","L.A","1","G",58.47,97.44,3.15,37.71,49.97,2.43,91.63,93.69,95.13,-1.44,-0.72
"Jon Gillies","2022-01-25","2021020745","20212022","N.J","DAL","1","G",39.18,65.31,1.07,28.69,32.42,1.86,96.27,96.7,94.26,2.43,0.79
"Jon Gillies","2022-01-27","2021020759","20212022","N.J","T.B","0","G",57.38,95.64,2.74,32.99,43.35,2.7,91.68,93.67,93.76,-0.09,-0.04
"Jon Gillies","2022-01-29","2021020779","20212022","N.J","CAR","0","G",57.68,96.14,1.93,23.67,38.95,3.74,91.83,95.04,90.4,4.64,1.81
"Jon Gillies","2022-02-01","2021020798","20212022","N.J","TOR","1","G",40,66.67,6.42,32.72,43.77,3.22,80.39,85.34,92.63,-7.29,-3.19
"Jon Gillies","2022-02-08","2021020666","20212022","N.J","MTL","0","G",59.83,99.72,0.94,27.12,33.13,1.84,96.54,97.17,94.44,2.73,0.9
"Jon Gillies","2022-02-10","2021020529","20212022","N.J","STL","0","G",60,100,3.85,30.31,39.8,2.4,87.28,90.32,93.97,-3.66,-1.46
"Jon Gillies","2022-02-13","2021020817","20212022","N.J","PIT","1","G",58.9,98.17,3.13,35.15,52.12,2.98,91.08,93.99,94.29,-0.3,-0.16
"Jon Gillies","2022-02-15","2021020631","20212022","N.J","T.B","1","G",50.35,83.92,6.24,30.2,37.4,2.43,79.34,83.32,93.51,-10.19,-3.81
"Jon Gillies","2022-02-25","2021020824","20212022","N.J","CHI","0","G",58.55,97.58,5.67,34.62,41.69,2.5,83.62,86.4,93.99,-7.6,-3.17
"Jon Gillies","2022-03-15","2021020961","20212022","N.J","VAN","0","G",31.15,51.92,1.98,10.7,13.85,0.72,81.48,85.69,94.82,-9.13,-1.26
"Jon Gillies","2022-03-16","2021020966","20212022","N.J","CGY","0","G",29.77,49.61,0.99,21.64,28.25,1.65,95.43,96.5,94.16,2.34,0.66
"Jon Gillies","2022-03-19","2021020989","20212022","N.J","EDM","0","G",59.4,99,4.75,37.83,51.13,3.29,87.45,90.71,93.56,-2.85,-1.46
"Jon Gillies","2022-03-31","2021021074","20212022","N.J","BOS","0","G",30.98,51.64,2.96,22.02,26.55,1.63,86.54,88.83,93.84,-5.01,-1.33
"Jon Gillies","2022-04-23","2021021254","20212022","N.J","CAR","1","G",61.65,100,2.95,29.06,45.25,2.72,89.85,93.48,93.99,-0.51,-0.23
"Jon Gillies","2022-04-28","2021021294","20212022","N.J","CAR","0","G",12.47,20.78,0,6.57,11.02,0.71,100,100,93.55,6.45,0.71
"Jon Gillies","Total","-","21-22","STL/N.J","-","-","G",50.24,83.34,61.99,562.12,749.95,47.99,88.97,91.73,93.6,-1.87,-14.01
