"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Jonathan Quick","2021-10-16","2021020032","20212022","L.A","MIN","1","G",58.15,96.92,3.14,31.74,41.48,2.55,90.1,92.42,93.84,-1.42,-0.59
"Jonathan Quick","2021-10-22","2021020064","20212022","L.A","DAL","0","G",64.25,100,2.77,21.56,31.92,2.03,87.18,91.34,93.63,-2.29,-0.73
"Jonathan Quick","2021-10-25","2021020089","20212022","L.A","STL","0","G",59.58,99.31,1.93,33.65,41.34,1.99,94.26,95.32,95.19,0.14,0.06
"Jonathan Quick","2021-10-28","2021020108","20212022","L.A","WPG","1","G",58.25,97.08,3.13,31.92,44.58,3.35,90.2,92.98,92.49,0.5,0.22
"Jonathan Quick","2021-10-31","2021020130","20212022","L.A","BUF","1","G",59.38,98.97,2.15,25.37,28.61,2.46,91.53,92.49,91.41,1.09,0.31
"Jonathan Quick","2021-11-03","2021020147","20212022","L.A","STL","1","G",64.7,99.54,2.05,36.68,51.58,3.78,94.42,96.03,92.68,3.36,1.73
"Jonathan Quick","2021-11-08","2021020179","20212022","L.A","TOR","0","G",60,100,0.87,30.47,42.92,3.46,97.16,97.98,91.94,6.04,2.59
"Jonathan Quick","2021-11-11","2021020197","20212022","L.A","OTT","0","G",60,100,0,31.91,43.13,2.45,100,100,94.33,5.67,2.45
"Jonathan Quick","2021-11-17","2021020245","20212022","L.A","WSH","1","G",59.52,99.19,1.06,38.34,44.72,2.26,97.23,97.63,94.95,2.68,1.2
"Jonathan Quick","2021-11-21","2021020279","20212022","L.A","ARI","1","G",63.15,99.61,1.98,27.34,38.64,2.6,92.75,94.87,93.26,1.61,0.62
"Jonathan Quick","2021-11-24","2021020301","20212022","L.A","TOR","1","G",60,100,6.52,43.24,59.99,4.36,84.93,89.13,92.73,-3.6,-2.16
"Jonathan Quick","2021-11-30","2021020345","20212022","L.A","ANA","1","G",64.83,99.74,4.38,39.74,52.96,4.38,88.99,91.74,91.74,0,0
"Jonathan Quick","2021-12-05","2021020381","20212022","L.A","EDM","0","G",59.78,99.64,0.87,19.75,27.59,2.58,95.62,96.86,90.64,6.22,1.72
