"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Joonas Korpisalo","2021-10-19","2021020041","20212022","CBJ","DET","0","G",58.58,97.64,1.93,42.14,51.78,4.37,95.41,96.27,91.55,4.72,2.44
"Joonas Korpisalo","2021-10-23","2021020073","20212022","CBJ","CAR","1","G",60,100,5.68,38.3,49.97,3.79,85.17,88.63,92.42,-3.79,-1.89
"Joonas Korpisalo","2021-10-31","2021020127","20212022","CBJ","N.J","0","G",65,100,2.83,39.01,50.93,3.63,92.75,94.45,92.88,1.57,0.8
"Joonas Korpisalo","2021-11-03","2021020145","20212022","CBJ","COL","0","G",61.2,100,4,31.59,38.51,2.72,87.34,89.62,92.95,-3.33,-1.28
"Joonas Korpisalo","2021-11-12","2021020209","20212022","CBJ","WSH","1","G",58.9,98.17,4.2,28.84,38.41,1.49,85.42,89.05,96.13,-7.08,-2.72
"Joonas Korpisalo","2021-11-22","2021020281","20212022","CBJ","BUF","0","G",60,100,3.62,30.48,39.47,2.25,88.14,90.84,94.3,-3.46,-1.37
"Joonas Korpisalo","2021-11-27","2021020320","20212022","CBJ","STL","0","G",60,100,5.84,33.57,47.96,3.68,82.62,87.83,92.32,-4.49,-2.15
"Joonas Korpisalo","2021-11-30","2021020342","20212022","CBJ","NSH","0","G",47.13,78.56,2.97,30.28,35.86,2.5,90.19,91.72,93.02,-1.3,-0.47
"Joonas Korpisalo","2021-12-16","2021020463","20212022","CBJ","EDM","0","G",19.65,32.75,0,16.56,22.18,1.03,100,100,95.34,4.66,1.03
"Joonas Korpisalo","2022-01-04","2021020590","20212022","CBJ","T.B","1","G",60,100,7.73,41.83,56.06,3.72,81.53,86.22,93.37,-7.15,-4.01
"Joonas Korpisalo","2022-01-06","2021020603","20212022","CBJ","N.J","0","G",58.13,96.89,1.88,26.62,44.19,2.46,92.94,95.75,94.43,1.32,0.58
"Joonas Korpisalo","2022-01-08","2021020618","20212022","CBJ","N.J","1","G",60,100,3.04,30.19,41.09,3.3,89.94,92.61,91.97,0.64,0.26
"Joonas Korpisalo","2022-01-11","2021020640","20212022","CBJ","CHI","1","G",59.07,98.44,3.14,20.51,23.71,1.5,84.67,86.74,93.66,-6.92,-1.64
"Joonas Korpisalo","2022-01-15","2021020669","20212022","CBJ","FLA","0","G",46.53,77.56,4.94,39.63,47.41,3.6,87.53,89.58,92.4,-2.82,-1.34
"Joonas Korpisalo","2022-01-21","2021020716","20212022","CBJ","PIT","1","G",59.48,99.14,4.37,32.6,45.05,5.4,86.6,90.3,88.02,2.28,1.03
"Joonas Korpisalo","2022-01-27","2021020763","20212022","CBJ","NYR","1","G",60,100,3.14,35.68,46.56,3.58,91.2,93.26,92.31,0.95,0.44
"Joonas Korpisalo","2022-01-30","2021020783","20212022","CBJ","MTL","0","G",59.82,99.69,2.75,31.41,41.18,2.22,91.25,93.32,94.62,-1.29,-0.53
"Joonas Korpisalo","2022-01-31","2021020793","20212022","CBJ","FLA","1","G",20,33.33,1.07,17.9,22.77,1.33,94.02,95.3,94.16,1.14,0.26
"Joonas Korpisalo","2022-03-10","2021020693","20212022","CBJ","NYI","0","G",59.75,99.58,5.77,34.67,48.23,5.86,83.37,88.04,87.86,0.18,0.09
"Joonas Korpisalo","2022-03-17","2021020971","20212022","CBJ","WSH","1","G",21.33,35.56,3.2,10.01,18.05,1.32,67.99,82.25,92.71,-10.46,-1.89
"Joonas Korpisalo","2022-03-19","2021020986","20212022","CBJ","STL","1","G",13.9,23.17,1.98,6.81,9.72,0.42,70.99,79.69,95.69,-16,-1.56
"Joonas Korpisalo","2022-03-22","2021021007","20212022","CBJ","PIT","0","G",60,100,4.79,36.48,43.17,3.83,86.86,88.9,91.13,-2.23,-0.96
"Joonas Korpisalo","Total","-","21-22","CBJ","-","-","G",51.29,85.09,78.86,655.09,862.26,63.99,87.96,90.85,92.58,-1.72,-14.87
