"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Jordan Binnington","2021-10-16","2021020030","20212022","STL","COL","0","G",60,100,3,28.66,44.33,2.66,89.52,93.22,94,-0.78,-0.35
"Jordan Binnington","2021-10-18","2021020038","20212022","STL","ARI","0","G",60,100,3.75,24,35.37,2.78,84.36,89.39,92.13,-2.75,-0.97
"Jordan Binnington","2021-10-20","2021020051","20212022","STL","VGK","0","G",60,100,0.94,42.32,50.91,3.51,97.77,98.14,93.1,5.04,2.57
"Jordan Binnington","2021-10-23","2021020074","20212022","STL","L.A","1","G",59.88,99.81,3.08,33.85,46.2,2.59,90.89,93.32,94.39,-1.07,-0.49
"Jordan Binnington","2021-10-28","2021020105","20212022","STL","COL","1","G",58.18,96.97,4.23,44.95,54.13,3.45,90.59,92.18,93.63,-1.44,-0.78
"Jordan Binnington","2021-10-30","2021020120","20212022","STL","CHI","1","G",59.7,99.5,0,25.62,42.24,2.64,100,100,93.76,6.24,2.64
"Jordan Binnington","2021-11-03","2021020147","20212022","STL","L.A","0","G",63.68,97.97,1.88,33.25,45.58,3.56,94.34,95.87,92.18,3.68,1.68
"Jordan Binnington","2021-11-07","2021020178","20212022","STL","ANA","0","G",55.57,92.61,2.86,24.92,34.96,2.22,88.53,91.82,93.66,-1.83,-0.64
"Jordan Binnington","2021-11-09","2021020188","20212022","STL","WPG","0","G",65,100,1.88,39.48,54.58,3.99,95.23,96.55,92.68,3.87,2.11
"Jordan Binnington","2021-11-11","2021020201","20212022","STL","NSH","1","G",62.02,100,4.05,27.18,40.47,2.12,85.08,89.98,94.76,-4.77,-1.93
"Jordan Binnington","2021-11-14","2021020228","20212022","STL","EDM","1","G",60,100,5.28,33.77,40.38,2.19,84.36,86.92,94.58,-7.66,-3.09
"Jordan Binnington","2021-11-16","2021020238","20212022","STL","ARI","1","G",57.92,96.53,3.21,24.49,33.11,2.28,86.87,90.29,93.12,-2.83,-0.94
"Jordan Binnington","2021-11-20","2021020268","20212022","STL","DAL","0","G",57.92,96.53,2.92,31.67,36.48,2.86,90.78,91.99,92.16,-0.17,-0.06
"Jordan Binnington","2021-11-22","2021020282","20212022","STL","VGK","1","G",60,100,2.13,33.41,47.71,3.05,93.62,95.53,93.6,1.93,0.92
"Jordan Binnington","2021-11-26","2021020311","20212022","STL","CHI","0","G",61.45,100,2.91,24.72,35.32,1.84,88.23,91.76,94.79,-3.02,-1.07
"Jordan Binnington","2021-11-30","2021020341","20212022","STL","T.B","1","G",64.6,99.38,3.32,36.77,54.11,4.23,90.98,93.87,92.18,1.7,0.92
"Jordan Binnington","2021-12-19","2021020486","20212022","STL","WPG","0","G",57.65,96.08,3.87,34.08,40.99,2.95,88.64,90.55,92.81,-2.25,-0.92
"Jordan Binnington","2021-12-29","2021020547","20212022","STL","EDM","1","G",59.6,99.33,2.02,27.08,37.78,2.68,92.52,94.64,92.91,1.73,0.65
"Jordan Binnington","2022-01-01","2021020572","20212022","STL","MIN","0","G",60,100,3.85,30.75,43.77,1.95,87.49,91.21,95.54,-4.33,-1.9
"Jordan Binnington","2022-01-05","2021020597","20212022","STL","PIT","0","G",58.72,97.86,4.57,38.91,46.23,3.44,88.26,90.12,92.57,-2.45,-1.13
