"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Juuse Saros","2021-10-14","2021020014","20212022","NSH","SEA","1","G",59.1,98.5,3.14,26.16,29.41,1.37,87.98,89.31,95.33,-6.02,-1.77
"Juuse Saros","2021-10-16","2021020029","20212022","NSH","CAR","1","G",59.12,98.53,2.12,33.6,45.52,2.64,93.68,95.34,94.2,1.13,0.52
"Juuse Saros","2021-10-19","2021020047","20212022","NSH","L.A","1","G",59.57,99.28,1.06,26.87,35.47,1.37,96.05,97.01,96.13,0.88,0.31
"Juuse Saros","2021-10-21","2021020059","20212022","NSH","NYR","1","G",57.2,95.33,2.12,32.09,48.82,2.96,93.39,95.65,93.94,1.72,0.84
"Juuse Saros","2021-10-23","2021020076","20212022","NSH","WPG","0","G",56.88,94.81,5.85,29.75,37.93,3.58,80.35,84.59,90.56,-5.97,-2.26
"Juuse Saros","2021-10-26","2021020092","20212022","NSH","S.J","1","G",60,100,1.01,27.63,39.19,2.63,96.34,97.42,93.29,4.12,1.62
"Juuse Saros","2021-10-30","2021020121","20212022","NSH","NYI","1","G",64.3,98.92,2.15,38.88,47.64,1.75,94.46,95.48,96.32,-0.84,-0.4
"Juuse Saros","2021-11-02","2021020140","20212022","NSH","CGY","0","G",61.62,100,1.8,37.74,52.43,4.33,95.22,96.56,91.74,4.82,2.53
"Juuse Saros","2021-11-05","2021020159","20212022","NSH","VAN","0","G",60,100,1.88,26.3,37.94,1.82,92.84,95.04,95.19,-0.16,-0.06
"Juuse Saros","2021-11-07","2021020175","20212022","NSH","CHI","0","G",60.62,100,1.98,30.79,42.25,2.91,93.58,95.32,93.11,2.21,0.93
"Juuse Saros","2021-11-10","2021020193","20212022","NSH","DAL","0","G",60,100,1.8,24.25,34.31,1.94,92.56,94.74,94.33,0.41,0.14
"Juuse Saros","2021-11-13","2021020218","20212022","NSH","ARI","1","G",60,100,1.01,21.83,27.62,1.71,95.39,96.36,93.81,2.55,0.7
"Juuse Saros","2021-11-16","2021020232","20212022","NSH","TOR","0","G",57.73,96.22,1.92,34.03,53.55,4.37,94.35,96.41,91.84,4.57,2.45
"Juuse Saros","2021-11-20","2021020262","20212022","NSH","MTL","0","G",30.13,50.22,4.9,20.07,27.34,1.65,75.57,82.06,93.96,-11.89,-3.25
"Juuse Saros","2021-11-22","2021020283","20212022","NSH","ANA","1","G",59.87,99.78,2.02,30.63,43.7,2.79,93.39,95.37,93.61,1.76,0.77
"Juuse Saros","2021-11-24","2021020298","20212022","NSH","VGK","1","G",59.45,99.08,4.39,38.38,48.32,3.94,88.57,90.92,91.85,-0.93,-0.45
"Juuse Saros","2021-11-26","2021020312","20212022","NSH","N.J","1","G",60,100,2.02,23.55,35.86,1.46,91.41,94.36,95.92,-1.56,-0.56
"Juuse Saros","2021-11-30","2021020342","20212022","NSH","CBJ","1","G",59.63,99.39,0,25.25,36.56,1.97,100,100,94.62,5.38,1.97
"Juuse Saros","2021-12-02","2021020358","20212022","NSH","BOS","1","G",57.2,95.33,2.15,37.06,54.08,3.39,94.2,96.03,93.73,2.3,1.25
"Juuse Saros","2021-12-04","2021020374","20212022","NSH","MTL","1","G",64.8,100,3.13,23.5,38.76,2.94,86.69,91.93,92.4,-0.47,-0.18
"Juuse Saros","2021-12-10","2021020413","20212022","NSH","N.J","0","G",60,100,1.98,29.14,46.2,3.1,93.21,95.72,93.28,2.44,1.13
"Juuse Saros","2021-12-12","2021020431","20212022","NSH","NYR","0","G",60,100,0,29.37,36.68,1.81,100,100,95.07,4.93,1.81
"Juuse Saros","2021-12-16","2021020460","20212022","NSH","COL","1","G",60,100,2.02,25.28,37.03,2.79,92.02,94.55,92.47,2.08,0.77
"Juuse Saros","2021-12-17","2021020467","20212022","NSH","CHI","0","G",60.97,100,1.88,18.21,25.68,1.55,89.7,92.69,93.98,-1.29,-0.33
"Juuse Saros","2021-12-29","2021020546","20212022","NSH","WSH","0","G",59.27,98.78,3.85,35.79,45.99,3.03,89.23,91.62,93.4,-1.79,-0.82
"Juuse Saros","2022-01-01","2021020571","20212022","NSH","CHI","1","G",60,100,1.01,35.56,54.39,3.06,97.15,98.14,94.37,3.77,2.05
"Juuse Saros","2022-01-04","2021020593","20212022","NSH","VGK","0","G",60,100,1.97,39.67,51.5,3.73,95.03,96.17,92.75,3.42,1.76
"Juuse Saros","2022-01-06","2021020610","20212022","NSH","L.A","0","G",60,100,1.8,43.13,55.36,4,95.82,96.74,92.77,3.97,2.2
"Juuse Saros","2022-01-08","2021020624","20212022","NSH","ARI","0","G",60,100,1.88,35.72,48.19,3.87,94.75,96.11,91.96,4.14,2
"Juuse Saros","2022-01-11","2021020641","20212022","NSH","COL","1","G",62.52,99.21,4.04,43.34,51.15,2.6,90.67,92.1,94.92,-2.82,-1.44
"Juuse Saros","2022-01-13","2021020657","20212022","NSH","BUF","1","G",58.1,96.83,3.21,22.06,33.35,1.68,85.45,90.38,94.97,-4.59,-1.53
"Juuse Saros","2022-01-15","2021020665","20212022","NSH","BOS","0","G",61.68,100,3.9,43.24,52.09,2.79,90.98,92.52,94.65,-2.13,-1.11
"Juuse Saros","2022-01-17","2021020685","20212022","NSH","STL","0","G",57.68,96.14,4.72,28.8,35.47,2.09,83.6,86.68,94.1,-7.42,-2.63
"Juuse Saros","2022-01-20","2021020708","20212022","NSH","WPG","1","G",60,100,2.09,36.46,46.92,3.54,94.28,95.55,92.46,3.09,1.45
