"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Kaapo Kahkonen","2021-10-24","2021020081","20212022","MIN","NSH","1","G",55.95,93.25,5.47,34.44,49.95,4.28,84.11,89.04,91.44,-2.4,-1.2
"Kaapo Kahkonen","2021-11-07","2021020176","20212022","MIN","NYI","1","G",59.6,99.33,2.12,22.41,32.99,1.55,90.53,93.57,95.3,-1.73,-0.57
"Kaapo Kahkonen","2021-11-10","2021020194","20212022","MIN","ARI","0","G",59.97,99.94,1.88,22.87,36.02,2,91.8,94.79,94.46,0.34,0.12
"Kaapo Kahkonen","2021-11-21","2021020275","20212022","MIN","T.B","0","G",60.92,93.72,3.85,24.25,36.56,1.93,84.11,89.46,94.71,-5.25,-1.92
"Kaapo Kahkonen","2021-11-30","2021020344","20212022","MIN","ARI","1","G",59.42,99.03,2.07,30.56,43.44,2.85,93.22,95.23,93.45,1.78,0.77
"Kaapo Kahkonen","2021-12-02","2021020360","20212022","MIN","N.J","1","G",60,100,2.02,29.25,37.95,3.19,93.08,94.67,91.61,3.06,1.16
"Kaapo Kahkonen","2021-12-11","2021020428","20212022","MIN","L.A","0","G",58.2,97,1.88,35.66,55.6,3.85,94.72,96.61,93.08,3.53,1.96
"Kaapo Kahkonen","2022-01-01","2021020572","20212022","MIN","STL","1","G",12.25,20.42,0,4.78,7.24,0.59,100,100,91.84,8.16,0.59
"Kaapo Kahkonen","2022-01-06","2021020599","20212022","MIN","BOS","0","G",59.27,98.78,1.79,35.01,41.43,2.61,94.89,95.68,93.7,1.98,0.82
"Kaapo Kahkonen","2022-01-08","2021020620","20212022","MIN","WSH","1","G",63.9,98.31,2.24,33.88,47.29,2.69,93.38,95.25,94.31,0.95,0.45
"Kaapo Kahkonen","2022-01-14","2021020662","20212022","MIN","ANA","1","G",60,100,3.04,39.17,52.29,2.22,92.25,94.19,95.76,-1.57,-0.82
