"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Karel Vejmelka","2021-10-16","2021020021","20212022","ARI","BUF","0","G",65,100,0.87,31.53,41.05,2.2,97.25,97.89,94.63,3.26,1.34
"Karel Vejmelka","2021-10-18","2021020038","20212022","ARI","STL","1","G",23.72,39.53,1.07,14.28,19.1,1.09,92.5,94.39,94.3,0.09,0.02
"Karel Vejmelka","2021-10-21","2021020061","20212022","ARI","EDM","1","G",60,100,5.68,35.24,50.42,2.68,83.88,88.73,94.69,-5.96,-3
"Karel Vejmelka","2021-10-23","2021020077","20212022","ARI","NYI","1","G",59.97,99.94,3.32,27.2,38.41,1.52,87.81,91.37,96.04,-4.67,-1.8
"Karel Vejmelka","2021-10-25","2021020085","20212022","ARI","FLA","0","G",39.13,65.22,2.93,30.36,39.75,2.16,90.36,92.64,94.56,-1.92,-0.76
"Karel Vejmelka","2021-10-29","2021020113","20212022","ARI","WSH","0","G",59.02,98.36,0.93,29.82,43.97,2.19,96.87,97.88,95.02,2.86,1.26
"Karel Vejmelka","2021-10-31","2021020128","20212022","ARI","CAR","0","G",58.42,97.36,1.87,36,53.03,4.11,94.8,96.47,92.24,4.23,2.24
"Karel Vejmelka","2021-11-02","2021020137","20212022","ARI","PHI","0","G",59.75,99.58,1.93,32.45,47.05,2.97,94.04,95.89,93.69,2.2,1.04
"Karel Vejmelka","2021-11-05","2021020160","20212022","ARI","ANA","0","G",59.27,98.78,2.93,33.25,50.38,3.29,91.2,94.19,93.46,0.73,0.37
"Karel Vejmelka","2021-11-06","2021020172","20212022","ARI","SEA","1","G",0.98,1.64,2.13,2.13,2.14,0.17,-0.05,0.61,91.91,-91.3,-1.96
"Karel Vejmelka","2021-11-10","2021020194","20212022","ARI","MIN","1","G",39.22,65.36,5.52,25.09,34.41,2.02,77.98,83.95,94.12,-10.17,-3.5
"Karel Vejmelka","2021-11-13","2021020218","20212022","ARI","NSH","0","G",60,100,3.92,25.57,39.17,2.05,84.69,90,94.78,-4.77,-1.87
"Karel Vejmelka","2021-11-21","2021020279","20212022","ARI","L.A","0","G",62.75,98.97,0.94,38.05,51.96,3.45,97.52,98.18,93.36,4.82,2.5
"Karel Vejmelka","2021-11-29","2021020335","20212022","ARI","WPG","0","G",60,100,0,43.42,54.32,3.6,100,100,93.37,6.63,3.6
"Karel Vejmelka","2021-12-03","2021020364","20212022","ARI","VGK","1","G",60,100,7.61,37.08,48.55,3.41,79.49,84.34,92.97,-8.63,-4.19
"Karel Vejmelka","2021-12-11","2021020427","20212022","ARI","PHI","1","G",57.15,95.25,5.44,36.86,46.14,2.99,85.25,88.22,93.52,-5.31,-2.45
"Karel Vejmelka","2022-01-04","2021020592","20212022","ARI","WPG","1","G",58.3,97.17,2.24,54.76,72.51,5.55,95.9,96.91,92.35,4.56,3.3
"Karel Vejmelka","2022-01-06","2021020607","20212022","ARI","CHI","1","G",60,100,4.04,34.37,47.92,3.35,88.24,91.57,93.01,-1.45,-0.69
"Karel Vejmelka","2022-01-08","2021020624","20212022","ARI","NSH","1","G",56.62,94.36,4.4,33.06,42.67,2.6,86.7,89.7,93.91,-4.22,-1.8
"Karel Vejmelka","2022-01-12","2021020649","20212022","ARI","TOR","1","G",60,100,1.01,46.45,63.68,5.14,97.82,98.41,91.92,6.49,4.13
"Karel Vejmelka","2022-01-15","2021020677","20212022","ARI","COL","1","G",60,100,5.36,36.2,50.18,3.39,85.19,89.32,93.24,-3.92,-1.97
"Karel Vejmelka","2022-01-17","2021020687","20212022","ARI","MTL","1","G",60,100,2.02,24.88,39.13,2.15,91.89,94.84,94.51,0.33,0.13
"Karel Vejmelka","2022-01-19","2021020701","20212022","ARI","N.J","0","G",60,100,0.93,35.32,48.39,2.67,97.36,98.07,94.49,3.58,1.73
"Karel Vejmelka","2022-01-22","2021020725","20212022","ARI","NYR","0","G",41.55,69.25,5.65,18.96,30.23,1.74,70.2,81.31,94.24,-12.93,-3.91
"Karel Vejmelka","2022-01-25","2021020747","20212022","ARI","PIT","0","G",59.95,99.92,5.59,34.87,39.55,2.11,83.96,85.86,94.67,-8.81,-3.48
"Karel Vejmelka","2022-01-29","2021020782","20212022","ARI","BUF","1","G",56.33,93.89,3.22,40.92,49.64,3.93,92.13,93.52,92.09,1.43,0.71
"Karel Vejmelka","2022-02-02","2021020810","20212022","ARI","CGY","1","G",57.47,95.78,4.25,53.39,71.28,5.18,92.03,94.03,92.73,1.3,0.93
"Karel Vejmelka","2022-02-08","2021020487","20212022","ARI","VAN","0","G",59.57,99.28,4.91,29.85,37.06,1.96,83.56,86.75,94.71,-7.96,-2.95
"Karel Vejmelka","2022-02-09","2021020503","20212022","ARI","SEA","0","G",60,100,1.88,32.19,39.26,2.08,94.17,95.22,94.7,0.52,0.2
"Karel Vejmelka","2022-02-11","2021020519","20212022","ARI","T.B","1","G",58.88,98.14,4.27,35.21,45.71,3.19,87.86,90.65,93.02,-2.37,-1.08
"Karel Vejmelka","2022-02-19","2021020533","20212022","ARI","L.A","1","G",59.63,99.39,5.27,40.22,53.44,2.98,86.89,90.13,94.42,-4.29,-2.29
"Karel Vejmelka","2022-03-03","2021020871","20212022","ARI","COL","1","G",60,100,1.06,44.98,54.75,3.43,97.64,98.06,93.74,4.32,2.36
"Karel Vejmelka","2022-03-08","2021020903","20212022","ARI","DET","0","G",60,100,1.73,24.25,31.98,2.18,92.86,94.58,93.2,1.39,0.44
"Karel Vejmelka","2022-03-12","2021020932","20212022","ARI","BOS","0","G",59.2,98.67,2.88,41.38,51.61,3.68,93.05,94.42,92.87,1.56,0.8
"Karel Vejmelka","2022-03-15","2021020954","20212022","ARI","MTL","0","G",60,100,2.74,34.38,40.22,2.74,92.02,93.18,93.2,-0.01,-0.01
"Karel Vejmelka","2022-03-20","2021020999","20212022","ARI","S.J","0","G",59,98.33,2.83,27.88,48.02,2.83,89.86,94.11,94.1,0.01,0
