"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Kevin Lankinen","2021-10-15","2021020017","20212022","CHI","N.J","0","G",58.12,95.35,3.91,29.33,43.66,3.34,86.67,91.04,92.34,-1.3,-0.57
"Kevin Lankinen","2021-10-16","2021020026","20212022","CHI","PIT","0","G",48.37,80.61,1.03,17.44,23,1.13,94.08,95.51,95.1,0.41,0.09
"Kevin Lankinen","2021-10-21","2021020058","20212022","CHI","VAN","1","G",58.3,97.17,3.36,26.64,44.59,2.64,87.4,92.47,94.07,-1.6,-0.71
"Kevin Lankinen","2021-10-27","2021020099","20212022","CHI","TOR","1","G",61.97,100,2.99,39.05,52.49,2.59,92.34,94.3,95.06,-0.76,-0.4
"Kevin Lankinen","2021-10-29","2021020114","20212022","CHI","CAR","0","G",60,100,5.79,35.35,42.41,2.41,83.62,86.35,94.32,-7.98,-3.38
"Kevin Lankinen","2021-11-07","2021020175","20212022","CHI","NSH","1","G",60.32,99.51,1.01,21.42,32.94,1.78,95.28,96.93,94.58,2.34,0.77
"Kevin Lankinen","2021-11-20","2021020269","20212022","CHI","EDM","0","G",59.93,99.89,4.86,34.74,48.76,2.83,86.02,90.04,94.19,-4.15,-2.02
"Kevin Lankinen","2021-11-26","2021020311","20212022","CHI","STL","1","G",61.45,100,2.24,27.68,35.58,1.74,91.89,93.69,95.12,-1.42,-0.51
"Kevin Lankinen","2021-12-04","2021020371","20212022","CHI","NYR","0","G",57.58,95.97,2.8,30.54,38.34,2.25,90.83,92.7,94.14,-1.44,-0.55
"Kevin Lankinen","2021-12-11","2021020420","20212022","CHI","TOR","0","G",58.78,97.97,4.74,26.32,31.54,1.77,82,84.98,94.38,-9.4,-2.97
"Kevin Lankinen","2021-12-18","2021020475","20212022","CHI","DAL","0","G",61.95,99.57,3.84,39.88,52.81,4.5,90.38,92.73,91.48,1.26,0.66
"Kevin Lankinen","2022-01-21","2021020717","20212022","CHI","MIN","1","G",27.92,46.53,1.07,20.35,26.46,1.66,94.74,95.95,93.72,2.24,0.59
"Kevin Lankinen","2022-01-22","2021020728","20212022","CHI","MIN","0","G",64.37,100,3.8,40.2,55,3.53,90.55,93.09,93.58,-0.49,-0.27
"Kevin Lankinen","2022-02-25","2021020824","20212022","CHI","N.J","1","G",60,100,5.11,35.84,44.9,3.17,85.75,88.62,92.93,-4.31,-1.94
"Kevin Lankinen","2022-03-05","2021020883","20212022","CHI","PHI","0","G",58.78,97.97,3.77,26.75,34.36,2.18,85.92,89.04,93.64,-4.6,-1.58
"Kevin Lankinen","2022-03-10","2021020915","20212022","CHI","BOS","0","G",58.77,97.94,3.69,34.48,45.78,2.39,89.3,91.94,94.78,-2.84,-1.3
"Kevin Lankinen","2022-03-19","2021020988","20212022","CHI","MIN","0","G",57.53,95.89,1.89,33.33,48.34,3.13,94.33,96.09,93.52,2.57,1.24
"Kevin Lankinen","2022-03-23","2021021018","20212022","CHI","ANA","0","G",60,100,1.88,27.32,36.52,2.4,93.13,94.86,93.43,1.43,0.52
"Kevin Lankinen","2022-03-26","2021021043","20212022","CHI","VGK","0","G",62.08,100,4.78,31.88,46.83,2.68,84.99,89.78,94.28,-4.5,-2.11
"Kevin Lankinen","2022-03-28","2021021055","20212022","CHI","BUF","1","G",59.77,99.61,6.13,35.63,45.32,2.98,82.8,86.47,93.42,-6.95,-3.15
"Kevin Lankinen","2022-04-01","2021021085","20212022","CHI","T.B","0","G",57.35,95.58,3.87,42.81,53.03,3.29,90.97,92.71,93.8,-1.09,-0.58
"Kevin Lankinen","2022-04-03","2021021105","20212022","CHI","ARI","1","G",64.75,100,3.16,35.6,47.33,3.07,91.11,93.32,93.52,-0.21,-0.1
"Kevin Lankinen","2022-04-07","2021021132","20212022","CHI","SEA","1","G",58.53,97.56,2.13,32.97,38.5,2.57,93.53,94.46,93.32,1.15,0.44
"Kevin Lankinen","2022-04-10","2021021160","20212022","CHI","DAL","1","G",40,66.67,5.28,21.09,29.82,2.61,74.99,82.31,91.25,-8.94,-2.67
"Kevin Lankinen","2022-04-14","2021021171","20212022","CHI","S.J","1","G",64.95,99.92,4.05,36.86,45.98,2.81,89.02,91.2,93.88,-2.68,-1.23
"Kevin Lankinen","2022-04-16","2021021203","20212022","CHI","NSH","0","G",57.47,95.78,3.8,33.71,46.41,2.73,88.74,91.82,94.12,-2.29,-1.06
"Kevin Lankinen","2022-04-18","2021020436","20212022","CHI","CGY","1","G",59.45,99.08,3.2,37.43,44.65,2.66,91.44,92.83,94.04,-1.21,-0.54
"Kevin Lankinen","2022-04-20","2021021230","20212022","CHI","ARI","0","G",64.38,100,2.81,31.56,42.19,2.17,91.11,93.35,94.85,-1.49,-0.63
"Kevin Lankinen","2022-04-21","2021021242","20212022","CHI","L.A","0","G",8,13.33,0,1.1,3.33,0.32,100,100,90.44,9.56,0.32
"Kevin Lankinen","2022-04-23","2021021259","20212022","CHI","S.J","0","G",60,100,3.92,20.09,30.58,1.75,80.51,87.2,94.28,-7.08,-2.17
"Kevin Lankinen","2022-04-25","2021021271","20212022","CHI","PHI","1","G",59.72,99.53,1.01,32.67,45.24,3.67,96.9,97.76,91.89,5.87,2.66
"Kevin Lankinen","2022-04-27","2021021286","20212022","CHI","VGK","1","G",65,100,3.04,40.55,54.67,1.89,92.51,94.45,96.54,-2.09,-1.14
"Kevin Lankinen","Total","-","21-22","CHI","-","-","G",56.74,92.97,104.94,980.6,1311.38,80.66,89.3,92,93.85,-1.85,-24.27
