"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Laurent Brossoit","2021-10-14","2021020016","20212022","VGK","L.A","0","G",20,33.33,1.98,17.49,26.41,1.27,88.67,92.49,95.18,-2.68,-0.71
"Laurent Brossoit","2021-10-27","2021020100","20212022","VGK","DAL","0","G",60.7,97.93,1.89,33.83,48.69,3.1,94.41,96.12,93.63,2.48,1.21
"Laurent Brossoit","2021-11-07","2021020174","20212022","VGK","DET","0","G",55.93,93.22,3.78,30.44,36.84,3.36,87.6,89.75,90.88,-1.13,-0.41
"Laurent Brossoit","2021-11-11","2021020204","20212022","VGK","MIN","1","G",60,100,2.02,25.22,41.65,2.89,91.97,95.14,93.07,2.07,0.86
"Laurent Brossoit","2021-11-20","2021020271","20212022","VGK","CBJ","1","G",60,100,2.24,32.16,46.34,2.8,93.02,95.16,93.97,1.19,0.55
"Laurent Brossoit","2021-12-03","2021020364","20212022","VGK","ARI","0","G",60,100,0.94,26.88,39.01,1.66,96.51,97.6,95.74,1.86,0.72
"Laurent Brossoit","2021-12-08","2021020401","20212022","VGK","DAL","1","G",32.25,53.75,1.07,14.13,20.97,0.95,92.42,94.89,95.48,-0.59,-0.12
"Laurent Brossoit","2021-12-10","2021020418","20212022","VGK","PHI","1","G",57.5,95.83,4.4,27.39,39.64,3.06,83.92,88.89,92.27,-3.38,-1.34
"Laurent Brossoit","2021-12-16","2021020457","20212022","VGK","N.J","0","G",0.25,0.42,0,0,0,0,0,0,0,0,0
"Laurent Brossoit","2021-12-17","2021020465","20212022","VGK","NYR","0","G",65,100,1.97,28.36,40.08,2.78,93.05,95.08,93.07,2.02,0.81
"Laurent Brossoit","2021-12-21","2021020501","20212022","VGK","T.B","1","G",58.2,97,4.16,19.45,31.84,2.17,78.6,86.93,93.2,-6.27,-2
"Laurent Brossoit","2021-12-28","2021020539","20212022","VGK","L.A","0","G",59.98,99.97,2.74,23.5,34.65,2.73,88.33,92.09,92.11,-0.02,-0.01
"Laurent Brossoit","2021-12-31","2021020565","20212022","VGK","ANA","1","G",59.98,99.97,1.01,15.06,20.66,1.71,93.32,95.13,91.7,3.43,0.71
"Laurent Brossoit","2022-01-02","2021020582","20212022","VGK","WPG","1","G",61.17,97.63,5.24,38.92,52.06,5.07,86.55,89.94,90.25,-0.31,-0.16
"Laurent Brossoit","2022-01-25","2021020748","20212022","VGK","CAR","0","G",63.82,100,3.96,29.9,44.94,4.22,86.76,91.19,90.61,0.58,0.26
"Laurent Brossoit","2022-02-08","2021020664","20212022","VGK","EDM","0","G",60,100,0,24.96,33.78,2.8,100,100,91.7,8.3,2.8
"Laurent Brossoit","2022-02-16","2021020535","20212022","VGK","COL","1","G",57.53,95.89,2.24,26.56,39.38,2.59,91.55,94.3,93.42,0.88,0.35
"Laurent Brossoit","2022-02-18","2021020521","20212022","VGK","L.A","1","G",62.3,100,4,31.09,53.31,4.35,87.14,92.5,91.84,0.66,0.35
"Laurent Brossoit","2022-02-25","2021020827","20212022","VGK","ARI","0","G",59.28,98.81,1.88,30.29,37.78,2.28,93.78,95.02,93.97,1.05,0.4
"Laurent Brossoit","2022-02-26","2021020836","20212022","VGK","COL","1","G",58.23,97.06,3.08,20.53,24.49,1.64,84.97,87.4,93.3,-5.9,-1.44
"Laurent Brossoit","2022-03-04","2021020879","20212022","VGK","ANA","0","G",60,100,3.62,21.78,33.4,1.98,83.41,89.18,94.06,-4.88,-1.63
"Laurent Brossoit","2022-03-10","2021020916","20212022","VGK","BUF","0","G",58.63,97.72,1.88,23.27,34.2,1.91,91.93,94.51,94.41,0.1,0.04
"Laurent Brossoit","2022-03-11","2021020929","20212022","VGK","PIT","0","G",59.52,99.19,3.87,31.51,39.26,3.15,87.71,90.14,91.98,-1.84,-0.72
"Laurent Brossoit","2022-03-15","2021020959","20212022","VGK","WPG","0","G",31.15,51.92,3.91,13.08,18.11,1.35,70.12,78.42,92.55,-14.13,-2.56
"Laurent Brossoit","Total","-","21-22","VGK","-","-","G",53.39,88.03,61.89,585.81,837.48,59.84,89.44,92.61,92.86,-0.25,-2.05
