"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Linus Ullmark","2021-10-22","2021020062","20212022","BOS","BUF","0","G",60,100,0.94,31.93,40.59,2.05,97.06,97.69,94.94,2.75,1.12
"Linus Ullmark","2021-10-24","2021020079","20212022","BOS","S.J","1","G",60,100,3.04,24.71,32.15,1.46,87.71,90.56,95.46,-4.9,-1.58
"Linus Ullmark","2021-10-27","2021020097","20212022","BOS","FLA","0","G",57.27,95.44,2.87,26.4,37.54,1.63,89.13,92.35,95.66,-3.31,-1.24
"Linus Ullmark","2021-10-30","2021020117","20212022","BOS","FLA","1","G",65,100,2.09,36.35,41.6,1.4,94.25,94.98,96.64,-1.66,-0.69
"Linus Ullmark","2021-11-06","2021020163","20212022","BOS","TOR","0","G",58.57,97.61,3.85,35.13,40.85,3.42,89.03,90.57,91.62,-1.06,-0.43
"Linus Ullmark","2021-11-11","2021020195","20212022","BOS","EDM","1","G",57.87,96.44,5.17,28.46,36.85,2.76,81.84,85.98,92.5,-6.52,-2.4
"Linus Ullmark","2021-11-20","2021020267","20212022","BOS","PHI","0","G",60,100,1.8,28.17,37.39,1.99,93.6,95.18,94.69,0.49,0.18
"Linus Ullmark","2021-11-28","2021020326","20212022","BOS","VAN","1","G",60,100,2.14,40.33,47.96,2.46,94.7,95.54,94.87,0.67,0.32
"Linus Ullmark","2021-11-30","2021020337","20212022","BOS","DET","1","G",58.53,97.56,2.03,17.21,25.8,1.37,88.21,92.13,94.67,-2.54,-0.66
"Linus Ullmark","2021-12-09","2021020408","20212022","BOS","EDM","0","G",60,100,1.73,39.16,52.67,3.38,95.58,96.71,93.57,3.14,1.65
"Linus Ullmark","2021-12-11","2021020425","20212022","BOS","CGY","0","G",60,100,1.8,37.52,55.29,3.96,95.19,96.74,92.83,3.91,2.16
"Linus Ullmark","2021-12-16","2021020458","20212022","BOS","NYI","0","G",58.35,97.25,1.94,27.71,37.04,3.28,93,94.76,91.14,3.62,1.34
"Linus Ullmark","2022-01-01","2021020566","20212022","BOS","BUF","1","G",60.57,100,3.31,25.85,41.13,2.01,87.21,91.96,95.11,-3.14,-1.29
"Linus Ullmark","2022-01-04","2021020586","20212022","BOS","N.J","1","G",60,100,3.04,25.6,32.55,1.76,88.14,90.67,94.58,-3.9,-1.27
"Linus Ullmark","2022-01-08","2021020615","20212022","BOS","T.B","0","G",60,100,1.88,25.39,37.36,1.98,92.61,94.98,94.69,0.29,0.11
"Linus Ullmark","2022-01-10","2021020632","20212022","BOS","WSH","0","G",59.97,99.94,2.87,27.95,47.78,2.8,89.73,93.99,94.14,-0.15,-0.07
"Linus Ullmark","2022-01-12","2021021000","20212022","BOS","MTL","1","G",60,100,1.01,24.01,31.7,1.87,95.79,96.81,94.09,2.72,0.86
"Linus Ullmark","2022-01-15","2021020665","20212022","BOS","NSH","1","G",61.58,99.84,3.04,28.9,41.99,2.26,89.5,92.77,94.63,-1.86,-0.78
"Linus Ullmark","2022-01-18","2021020691","20212022","BOS","CAR","1","G",40,66.67,2.37,26.38,34.75,2.03,91.03,93.19,94.15,-0.95,-0.33
"Linus Ullmark","2022-01-20","2021020704","20212022","BOS","WSH","1","G",60,100,3.08,17.41,25.84,1.37,82.28,88.06,94.7,-6.64,-1.72
"Linus Ullmark","2022-01-26","2021020756","20212022","BOS","COL","0","G",63.02,100,3.84,38.84,51.11,3.31,90.12,92.49,93.52,-1.03,-0.53
"Linus Ullmark","2022-01-28","2021020771","20212022","BOS","ARI","0","G",60,100,0.94,28.92,43.54,2.94,96.76,97.85,93.25,4.6,2
"Linus Ullmark","2022-01-30","2021020789","20212022","BOS","DAL","0","G",27.65,46.08,3.91,15.73,23.98,1.24,75.15,83.7,94.81,-11.12,-2.67
"Linus Ullmark","2022-02-01","2021020795","20212022","BOS","SEA","1","G",59.72,99.53,2.02,27.14,44.4,3.16,92.54,95.44,92.88,2.56,1.14
"Linus Ullmark","2022-02-10","2021020494","20212022","BOS","CAR","1","G",60,100,6.54,49.88,62.92,3.58,86.88,89.6,94.32,-4.72,-2.97
"Linus Ullmark","2022-02-17","2021021006","20212022","BOS","NYI","0","G",58.32,97.19,2.8,26.9,31.72,2.25,89.59,91.18,92.9,-1.72,-0.55
"Linus Ullmark","2022-02-24","2021020822","20212022","BOS","SEA","0","G",60.55,100,1.87,26.43,36.88,1.78,92.92,94.93,95.18,-0.26,-0.1
"Linus Ullmark","2022-03-01","2021020859","20212022","BOS","ANA","0","G",59.8,99.67,3.8,27.9,38.73,2.56,86.38,90.19,93.38,-3.19,-1.24
"Linus Ullmark","2022-03-07","2021020898","20212022","BOS","L.A","1","G",61.88,100,2.95,28.25,42.28,2.52,89.56,93.02,94.03,-1.01,-0.43
"Linus Ullmark","2022-03-15","2021020957","20212022","BOS","CHI","0","G",61.55,99.81,0.94,19.24,22.02,0.98,95.13,95.74,95.54,0.2,0.04
"Linus Ullmark","2022-03-18","2021020979","20212022","BOS","WPG","0","G",59.88,99.81,1.88,27.34,37.24,2.69,93.14,94.96,92.78,2.19,0.81
"Linus Ullmark","2022-03-26","2021021034","20212022","BOS","NYI","1","G",60,100,3.02,25.64,31.37,2.4,88.21,90.36,92.36,-2,-0.63
"Linus Ullmark","2022-03-29","2021021059","20212022","BOS","TOR","1","G",18.07,30.11,0,8.36,13.19,0.34,100,100,97.43,2.57,0.34
"Linus Ullmark","2022-03-31","2021021074","20212022","BOS","N.J","1","G",60,100,1.01,24.27,34.72,1.81,95.83,97.09,94.8,2.29,0.8
"Linus Ullmark","2022-04-04","2021021110","20212022","BOS","CBJ","0","G",60.73,99.48,1.88,21.16,32.54,1.69,91.1,94.21,94.8,-0.59,-0.19
"Linus Ullmark","2022-04-08","2021021137","20212022","BOS","T.B","0","G",63.62,100,0.94,27.61,38.02,2.47,96.6,97.53,93.51,4.02,1.53
"Linus Ullmark","2022-04-10","2021021158","20212022","BOS","WSH","0","G",58.13,96.89,2.83,31.72,44.31,3.44,91.08,93.62,92.24,1.38,0.61
"Linus Ullmark","2022-04-14","2021021181","20212022","BOS","OTT","1","G",20,33.33,0,8.04,12.2,0.43,100,100,96.51,3.49,0.43
"Linus Ullmark","2022-04-23","2021021248","20212022","BOS","NYR","1","G",60,100,1.01,30.66,34.61,2.59,96.72,97.09,92.51,4.58,1.59
"Linus Ullmark","2022-04-26","2021021272","20212022","BOS","FLA","1","G",59.92,99.86,2.07,20.76,32.57,1.78,90.05,93.65,94.52,-0.87,-0.28
"Linus Ullmark","2022-04-28","2021021290","20212022","BOS","BUF","1","G",59.9,99.83,0,36.61,44.69,2.45,100,100,94.52,5.48,2.45
"Linus Ullmark","Total","-","21-22","BOS","-","-","G",56.84,94.01,94.23,1125.97,1531.86,91.69,91.63,93.85,94.01,-0.17,-2.55
