"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Logan Thompson","2022-01-04","2021020593","20212022","VGK","NSH","1","G",55.73,92.89,3.2,28.12,37.82,2.4,88.61,91.53,93.65,-2.12,-0.8
"Logan Thompson","2022-02-20","2021021161","20212022","VGK","S.J","0","G",60,100,0.94,32.33,42.08,2.38,97.1,97.77,94.36,3.42,1.44
"Logan Thompson","2022-03-13","2021020946","20212022","VGK","CBJ","0","G",57.93,96.56,4.79,38.05,44.07,3.45,87.4,89.13,92.16,-3.04,-1.34
"Logan Thompson","2022-03-15","2021020959","20212022","VGK","WPG","0","G",28.85,48.08,2.98,10.75,15.04,1.3,72.32,80.21,91.32,-11.12,-1.67
"Logan Thompson","2022-03-17","2021020975","20212022","VGK","FLA","1","G",59.88,99.81,3.08,36.43,45.59,3.94,91.55,93.25,91.36,1.89,0.86
"Logan Thompson","2022-03-19","2021020992","20212022","VGK","L.A","1","G",60,100,1.01,37.93,51.34,2.72,97.33,98.03,94.71,3.32,1.7
"Logan Thompson","2022-03-21","2021021001","20212022","VGK","MIN","0","G",57.07,95.11,1.93,36.27,46.5,2.57,94.67,95.84,94.46,1.38,0.64
"Logan Thompson","2022-03-22","2021021011","20212022","VGK","WPG","0","G",60,100,3.84,27.01,41.4,3.04,85.79,90.73,92.66,-1.93,-0.8
"Logan Thompson","2022-03-24","2021021026","20212022","VGK","NSH","1","G",59.68,99.47,1.01,33.62,46.62,2.87,97.01,97.84,93.85,3.99,1.86
"Logan Thompson","2022-03-26","2021021043","20212022","VGK","CHI","1","G",62.08,100,4.26,36.7,48.12,3.62,88.38,91.14,92.47,-1.33,-0.64
"Logan Thompson","2022-03-30","2021021073","20212022","VGK","SEA","0","G",60,100,0,20.5,27.93,1.97,100,100,92.95,7.05,1.97
"Logan Thompson","2022-04-01","2021021089","20212022","VGK","SEA","0","G",60,100,1.88,24.82,37.28,1.92,92.44,94.97,94.85,0.12,0.04
"Logan Thompson","2022-04-14","2021021191","20212022","VGK","CGY","0","G",60,100,0.93,32.55,45.94,2.75,97.13,97.97,94.02,3.95,1.81
"Logan Thompson","2022-04-16","2021021195","20212022","VGK","EDM","0","G",60,100,3.92,37.16,49.29,3.45,89.47,92.06,93.01,-0.95,-0.47
"Logan Thompson","2022-04-20","2021021231","20212022","VGK","WSH","1","G",41.98,67.55,2.07,15.76,22.2,1.08,86.84,90.66,95.14,-4.48,-0.99
"Logan Thompson","2022-04-24","2021021269","20212022","VGK","S.J","1","G",64.88,99.82,4.01,28.92,45.69,3.07,86.13,91.22,93.27,-2.05,-0.94
"Logan Thompson","2022-04-26","2021021281","20212022","VGK","DAL","0","G",65,100,1.88,28.64,37.07,2.5,93.45,94.94,93.26,1.67,0.62
"Logan Thompson","2022-04-27","2021021286","20212022","VGK","CHI","0","G",65,100,2.84,39.54,48.21,3.39,92.83,94.12,92.96,1.16,0.56
"Logan Thompson","2022-04-29","2021021306","20212022","VGK","STL","0","G",59.63,99.39,3.68,17.13,31.6,2.03,78.5,88.35,93.58,-5.23,-1.65
"Logan Thompson","Total","-","21-22","VGK","-","-","G",57.78,94.69,48.24,562.24,763.76,50.44,91.42,93.68,93.4,0.29,2.2
