"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Mackenzie Blackwood","2021-11-05","2021020161","20212022","N.J","L.A","0","G",59.77,98.46,2.91,28.13,37.69,2.38,89.65,92.28,93.69,-1.41,-0.53
"Mackenzie Blackwood","2021-11-09","2021020186","20212022","N.J","FLA","1","G",60,100,3.13,38.12,49.4,3.67,91.78,93.66,92.58,1.08,0.53
"Mackenzie Blackwood","2021-11-11","2021020199","20212022","N.J","NYI","1","G",59.88,99.81,0,40.44,52.93,3.4,100,100,93.58,6.42,3.4
"Mackenzie Blackwood","2021-11-14","2021020226","20212022","N.J","NYR","0","G",48.63,74.82,2.83,31.96,36.57,2.99,91.15,92.27,91.84,0.43,0.16
"Mackenzie Blackwood","2021-11-18","2021020251","20212022","N.J","FLA","0","G",28.25,47.08,3.86,26.7,31.49,2.3,85.55,87.75,92.69,-4.95,-1.56
"Mackenzie Blackwood","2021-11-20","2021020264","20212022","N.J","T.B","0","G",60,100,2.87,34.1,47.79,3.15,91.6,94,93.4,0.6,0.29
"Mackenzie Blackwood","2021-11-24","2021020293","20212022","N.J","MIN","1","G",64.4,99.08,2.24,29.77,36.76,2.03,92.46,93.89,94.47,-0.57,-0.21
"Mackenzie Blackwood","2021-11-28","2021020327","20212022","N.J","PHI","1","G",60,100,2.02,24.42,42.99,2,91.74,95.31,95.35,-0.04,-0.02
"Mackenzie Blackwood","2021-11-30","2021020339","20212022","N.J","S.J","1","G",59.28,98.81,4.39,34.45,43.75,3.12,87.27,89.97,92.86,-2.88,-1.26
"Mackenzie Blackwood","2021-12-02","2021020360","20212022","N.J","MIN","0","G",59.73,99.56,4.9,40.16,56.12,3.55,87.81,91.27,93.68,-2.41,-1.35
"Mackenzie Blackwood","2021-12-03","2021020363","20212022","N.J","WPG","0","G",19.83,33.06,1.98,8.64,11.88,0.81,77.14,83.37,93.22,-9.85,-1.17
"Mackenzie Blackwood","2021-12-06","2021020234","20212022","N.J","OTT","1","G",65,100,2.02,23.02,35.06,2,91.21,94.23,94.29,-0.07,-0.02
"Mackenzie Blackwood","2021-12-08","2021020398","20212022","N.J","PHI","1","G",59.87,99.78,0,24.49,33.39,1.56,100,100,95.34,4.66,1.56
"Mackenzie Blackwood","2021-12-10","2021020413","20212022","N.J","NSH","1","G",55.5,92.5,3.16,28.56,44.68,2.75,88.93,92.93,93.85,-0.92,-0.41
"Mackenzie Blackwood","2021-12-14","2021020441","20212022","N.J","PHI","0","G",40,66.67,4.84,22.69,33.01,2.42,78.65,85.32,92.67,-7.34,-2.42
"Mackenzie Blackwood","2021-12-16","2021020457","20212022","N.J","VGK","1","G",58.92,98.19,4.21,30.33,47.94,2.46,86.12,91.22,94.87,-3.65,-1.75
"Mackenzie Blackwood","2021-12-29","2021020541","20212022","N.J","BUF","0","G",60,100,2.81,20.48,26.7,1.53,86.26,89.46,94.25,-4.79,-1.28
"Mackenzie Blackwood","2021-12-31","2021020562","20212022","N.J","EDM","1","G",62.25,98.94,5.11,37.81,51.53,3.21,86.49,90.09,93.78,-3.69,-1.9
"Mackenzie Blackwood","2022-01-02","2021020578","20212022","N.J","WSH","0","G",62.93,100,2.81,27.16,39.61,2.4,89.67,92.92,93.95,-1.03,-0.41
"Mackenzie Blackwood","2022-01-04","2021020586","20212022","N.J","BOS","0","G",58.82,98.03,4.77,34.5,49.86,2.91,86.18,90.44,94.16,-3.73,-1.86
"Mackenzie Blackwood","2022-01-06","2021020603","20212022","N.J","CBJ","1","G",60,100,1.01,32.42,51.02,3.05,96.88,98.02,94.03,3.99,2.03
"Mackenzie Blackwood","2022-01-08","2021020618","20212022","N.J","CBJ","0","G",58,96.67,3.81,34.24,44.13,2.32,88.87,91.36,94.75,-3.39,-1.49
"Mackenzie Blackwood","2022-01-19","2021020701","20212022","N.J","ARI","1","G",56.88,94.81,4.22,19.06,32.92,2.22,77.89,87.19,93.25,-6.05,-1.99
"Mackenzie Blackwood","2022-04-26","2021021274","20212022","N.J","OTT","0","G",63.28,100,4.94,34.34,44.54,3.73,85.61,88.9,91.63,-2.73,-1.22
"Mackenzie Blackwood","2022-04-29","2021021301","20212022","N.J","DET","1","G",57.82,96.36,4.24,36.69,49.12,2.57,88.43,91.36,94.76,-3.4,-1.67
"Mackenzie Blackwood","Total","-","21-22","N.J","-","-","G",55.96,91.75,79.08,742.7,1030.85,64.51,89.35,92.33,93.74,-1.41,-14.57
