"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Marc-Andre Fleury","2021-10-13","2021020005","20212022","CHI","COL","0","G",56.57,94.28,3.91,38.49,52.33,3.65,89.84,92.53,93.02,-0.49,-0.25
"Marc-Andre Fleury","2021-10-16","2021020026","20212022","CHI","PIT","0","G",11.42,19.03,3.91,10.43,14.61,0.84,62.52,73.24,94.26,-21.02,-3.07
"Marc-Andre Fleury","2021-10-19","2021020046","20212022","CHI","NYI","1","G",59.9,99.83,4.27,32.07,40.84,1.7,86.67,89.53,95.84,-6.31,-2.58
"Marc-Andre Fleury","2021-10-24","2021020080","20212022","CHI","DET","1","G",60,100,6.52,41.15,47.01,3.63,84.16,86.13,92.28,-6.14,-2.89
"Marc-Andre Fleury","2021-10-30","2021020120","20212022","CHI","STL","0","G",58.4,97.33,0.93,36.16,53.66,3.36,97.42,98.26,93.73,4.53,2.43
"Marc-Andre Fleury","2021-11-01","2021020133","20212022","CHI","OTT","1","G",59.88,99.81,1.01,29.32,39.84,3,96.55,97.46,92.46,5,1.99
"Marc-Andre Fleury","2021-11-03","2021020144","20212022","CHI","CAR","1","G",57.23,95.39,4.1,32.44,43.76,2.45,87.37,90.64,94.4,-3.76,-1.65
"Marc-Andre Fleury","2021-11-05","2021020157","20212022","CHI","WPG","0","G",60,100,4.9,35.82,44.63,3.44,86.31,89.02,92.29,-3.28,-1.46
"Marc-Andre Fleury","2021-11-09","2021020187","20212022","CHI","PIT","1","G",64.78,99.67,2.02,43.58,57.52,3.04,95.36,96.48,94.72,1.76,1.01
"Marc-Andre Fleury","2021-11-12","2021020210","20212022","CHI","ARI","1","G",59.72,99.53,1.01,22.92,32.03,1.79,95.61,96.86,94.42,2.44,0.78
"Marc-Andre Fleury","2021-11-17","2021020246","20212022","CHI","SEA","0","G",60,100,1.9,30.07,40.82,2.63,93.68,95.35,93.55,1.8,0.73
"Marc-Andre Fleury","2021-11-21","2021020278","20212022","CHI","VAN","0","G",59.95,99.92,0,38.13,46.55,3.14,100,100,93.26,6.74,3.14
"Marc-Andre Fleury","2021-11-23","2021020289","20212022","CHI","CGY","0","G",58.65,97.75,2.84,36.95,49.51,2.57,92.33,94.27,94.82,-0.55,-0.27
"Marc-Andre Fleury","2021-11-28","2021020330","20212022","CHI","S.J","1","G",57.53,95.89,1.06,21.81,31.46,1.29,95.13,96.63,95.91,0.72,0.23
"Marc-Andre Fleury","2021-12-02","2021020356","20212022","CHI","WSH","0","G",65,100,2.82,27.39,42.92,3.5,89.7,93.43,91.85,1.58,0.68
"Marc-Andre Fleury","2021-12-05","2021020377","20212022","CHI","NYI","0","G",65,100,1.9,22.3,37.25,2.72,91.49,94.9,92.71,2.2,0.82
"Marc-Andre Fleury","2021-12-07","2021020393","20212022","CHI","NYR","1","G",59.67,99.44,5.29,30.14,36.28,2.57,82.46,85.43,92.92,-7.49,-2.72
"Marc-Andre Fleury","2021-12-09","2021020403","20212022","CHI","MTL","0","G",59.62,99.36,0,28.54,39.8,1.85,100,100,95.36,4.64,1.85
"Marc-Andre Fleury","2021-12-15","2021020451","20212022","CHI","WSH","1","G",61.35,100,4.07,46.29,55.64,4.49,91.21,92.68,91.92,0.76,0.42
"Marc-Andre Fleury","2021-12-17","2021020467","20212022","CHI","NSH","1","G",60.97,100,3.12,32.34,41.89,2.27,90.34,92.55,94.57,-2.03,-0.85
"Marc-Andre Fleury","2022-01-04","2021020591","20212022","CHI","COL","1","G",62.63,100,4.11,35.66,49.9,2.63,88.47,91.76,94.73,-2.97,-1.48
"Marc-Andre Fleury","2022-01-06","2021020607","20212022","CHI","ARI","0","G",58.48,97.47,4.85,25.62,37.74,2.65,81.08,87.16,92.98,-5.82,-2.2
"Marc-Andre Fleury","2022-01-08","2021020626","20212022","CHI","VGK","0","G",60,100,0.94,30.49,38.98,2.36,96.9,97.58,93.94,3.64,1.42
"Marc-Andre Fleury","2022-01-11","2021020640","20212022","CHI","CBJ","0","G",59.72,99.53,1.81,24.29,29.65,1.77,92.54,93.89,94.01,-0.12,-0.04
"Marc-Andre Fleury","2022-01-13","2021020655","20212022","CHI","MTL","1","G",62.03,99.41,2.09,29.31,38.37,2.52,92.87,94.56,93.43,1.13,0.43
"Marc-Andre Fleury","2022-01-15","2021020673","20212022","CHI","ANA","1","G",60,100,0,37.1,51.27,3.57,100,100,93.03,6.97,3.57
"Marc-Andre Fleury","2022-01-17","2021020690","20212022","CHI","SEA","0","G",65,100,1.88,35.49,52.86,4.48,94.71,96.45,91.52,4.93,2.61
"Marc-Andre Fleury","2022-01-21","2021020717","20212022","CHI","MIN","1","G",31.55,52.58,4.27,14.68,19.39,1.32,70.88,77.96,93.19,-15.23,-2.95
"Marc-Andre Fleury","2022-01-24","2021020742","20212022","CHI","COL","0","G",56.62,94.36,1.92,28.66,41.57,2.81,93.3,95.38,93.23,2.15,0.89
"Marc-Andre Fleury","2022-01-26","2021020753","20212022","CHI","DET","0","G",60,100,4.62,29.78,41.21,2.09,84.5,88.8,94.94,-6.14,-2.53
"Marc-Andre Fleury","2022-01-28","2021020769","20212022","CHI","COL","1","G",58.42,97.36,4.4,27.6,38.68,1.84,84.05,88.62,95.24,-6.62,-2.56
"Marc-Andre Fleury","2022-01-31","2021020794","20212022","CHI","VAN","1","G",59.52,99.19,2.13,34.59,43.76,1.9,93.84,95.13,95.66,-0.54,-0.23
"Marc-Andre Fleury","2022-02-02","2021020809","20212022","CHI","MIN","1","G",52.03,86.72,5.36,33.16,37.66,2.01,83.84,85.76,94.65,-8.89,-3.35
"Marc-Andre Fleury","2022-02-09","2021020699","20212022","CHI","EDM","0","G",60,100,0.87,36.01,48.05,3.88,97.6,98.2,91.92,6.28,3.02
"Marc-Andre Fleury","2022-02-12","2021020788","20212022","CHI","STL","0","G",60,100,4.88,32.82,46.47,3.09,85.12,89.49,93.35,-3.86,-1.79
"Marc-Andre Fleury","2022-02-14","2021020548","20212022","CHI","WPG","0","G",59.75,99.58,0.94,30.19,45.25,3.29,96.89,97.93,92.72,5.21,2.36
"Marc-Andre Fleury","2022-02-18","2021020516","20212022","CHI","DAL","1","G",65,100,0,30.01,38.35,1.97,100,100,94.86,5.14,1.97
"Marc-Andre Fleury","2022-02-20","2021020498","20212022","CHI","FLA","1","G",59.72,99.53,3.2,25,35.18,1.57,87.19,90.89,95.54,-4.65,-1.64
"Marc-Andre Fleury","2022-02-27","2021020842","20212022","CHI","STL","1","G",60,100,4.39,39.78,49.52,3.72,88.98,91.14,92.48,-1.34,-0.66
"Marc-Andre Fleury","2022-03-03","2021020869","20212022","CHI","EDM","1","G",62.38,100,3.06,31.7,42.96,2.82,90.36,92.88,93.43,-0.55,-0.24
"Marc-Andre Fleury","2022-03-06","2021020893","20212022","CHI","T.B","1","G",60,100,6.3,34.26,45.62,2.63,81.61,86.2,94.23,-8.03,-3.67
"Marc-Andre Fleury","2022-03-08","2021020907","20212022","CHI","ANA","1","G",58.68,97.81,3.03,29.57,36.05,1.42,89.75,91.6,96.06,-4.46,-1.61
"Marc-Andre Fleury","2022-03-12","2021020934","20212022","CHI","OTT","0","G",59.97,99.94,2.86,22.39,29.6,1.59,87.23,90.34,94.62,-4.28,-1.27
"Marc-Andre Fleury","2022-03-15","2021020957","20212022","CHI","BOS","1","G",61.67,100,2.03,49.99,67.13,4.86,95.94,96.98,92.76,4.22,2.83
