"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Martin Jones","2021-10-20","2021020050","20212022","PHI","BOS","1","G",60,100,3.04,38.77,47.48,3.17,92.17,93.61,93.32,0.29,0.14
"Martin Jones","2021-10-28","2021020106","20212022","PHI","VAN","0","G",59.22,98.69,0.94,25.42,34.43,2.36,96.31,97.28,93.14,4.14,1.42
"Martin Jones","2021-11-06","2021020168","20212022","PHI","WSH","0","G",59.95,99.92,0.94,29.4,41.31,3.1,96.81,97.73,92.49,5.24,2.16
"Martin Jones","2021-11-13","2021020219","20212022","PHI","DAL","0","G",58.6,97.67,3.92,31.33,47.87,3.7,87.5,91.82,92.28,-0.46,-0.22
"Martin Jones","2021-11-20","2021020267","20212022","PHI","BOS","1","G",60,100,5.35,47.41,57.64,3.41,88.72,90.72,94.08,-3.36,-1.93
"Martin Jones","2021-11-24","2021020292","20212022","PHI","FLA","0","G",62.42,99.63,1.9,42.48,53.55,4.13,95.53,96.45,92.29,4.17,2.23
"Martin Jones","2021-11-28","2021020327","20212022","PHI","N.J","0","G",58.12,96.86,3.82,34.47,47.68,3.3,88.91,91.98,93.08,-1.1,-0.52
"Martin Jones","2021-12-05","2021020378","20212022","PHI","T.B","1","G",31.43,52.39,2.25,14.36,20.41,1.5,84.31,88.96,92.67,-3.71,-0.76
"Martin Jones","2021-12-06","2021020383","20212022","PHI","COL","1","G",60,100,7.81,56.77,67.58,4.26,86.24,88.45,93.7,-5.26,-3.55
"Martin Jones","2021-12-11","2021020427","20212022","PHI","ARI","0","G",60,100,2.81,29.51,39.47,1.99,90.46,92.87,94.97,-2.1,-0.83
"Martin Jones","2021-12-18","2021020473","20212022","PHI","OTT","1","G",61.07,99.16,3.08,31.02,41.29,2.49,90.08,92.54,93.97,-1.43,-0.59
"Martin Jones","2021-12-29","2021020551","20212022","PHI","SEA","0","G",62.07,99.73,1.81,34.39,47.72,2.3,94.73,96.2,95.18,1.03,0.49
"Martin Jones","2022-01-01","2021020573","20212022","PHI","L.A","0","G",58.12,96.86,4.8,34.43,52.09,4.8,86.06,90.78,90.78,0,0
"Martin Jones","2022-01-08","2021020616","20212022","PHI","S.J","1","G",60.4,100,2.99,47.29,58.53,2.93,93.67,94.89,94.99,-0.11,-0.06
"Martin Jones","2022-01-17","2021020684","20212022","PHI","NYI","0","G",57.85,96.42,2.92,30,42.82,2.85,90.26,93.18,93.33,-0.16,-0.07
"Martin Jones","2022-01-22","2021020722","20212022","PHI","BUF","0","G",18,30,3.73,7.74,10.84,0.55,51.81,65.57,94.9,-29.34,-3.18
"Martin Jones","2022-01-25","2021020746","20212022","PHI","NYI","0","G",57.52,95.86,3.75,32.18,47.15,2.95,88.33,92.04,93.75,-1.71,-0.81
"Martin Jones","2022-02-17","2021020496","20212022","PHI","WSH","1","G",59.75,99.58,4.21,24.94,32.47,2.51,83.12,87.03,92.27,-5.24,-1.7
"Martin Jones","2022-02-21","2021020639","20212022","PHI","CAR","1","G",64.7,100,4.15,33.46,50.69,3.82,87.59,91.81,92.46,-0.65,-0.33
"Martin Jones","2022-02-22","2021020848","20212022","PHI","STL","1","G",58.15,96.92,2.12,25.84,44.63,3.5,91.79,95.25,92.17,3.08,1.37
"Martin Jones","2022-03-05","2021020883","20212022","PHI","CHI","1","G",60,100,3.13,29.16,37.51,1.88,89.25,91.64,94.98,-3.34,-1.25
"Martin Jones","2022-03-12","2021020936","20212022","PHI","CAR","0","G",57.65,96.08,1.89,34.25,54.8,3.38,94.48,96.55,93.83,2.72,1.49
"Martin Jones","2022-03-18","2021020977","20212022","PHI","OTT","0","G",56.7,94.5,1.88,34.72,45.53,2.58,94.59,95.87,94.33,1.54,0.7
"Martin Jones","2022-03-24","2021021023","20212022","PHI","STL","0","G",60,100,1.8,25.2,39.5,3.47,92.84,95.43,91.21,4.22,1.67
"Martin Jones","2022-03-27","2021021051","20212022","PHI","NSH","0","G",59,98.33,4.7,32.26,51.9,3.15,85.42,90.94,93.93,-2.99,-1.55
"Martin Jones","2022-03-29","2021021065","20212022","PHI","MIN","0","G",60,100,3.96,38.81,48.43,2.73,89.8,91.82,94.36,-2.54,-1.23
"Martin Jones","2022-04-03","2021021103","20212022","PHI","NYR","0","G",65,100,2.81,41.43,59.19,3.69,93.21,95.25,93.76,1.48,0.88
"Martin Jones","2022-04-07","2021021131","20212022","PHI","CBJ","0","G",59.45,99.08,0.93,25.58,33.31,1.24,96.35,97.2,96.29,0.91,0.3
"Martin Jones","2022-04-09","2021021145","20212022","PHI","ANA","1","G",57.05,95.08,5.23,34.82,48.17,3.09,84.97,89.14,93.58,-4.44,-2.14
"Martin Jones","2022-04-12","2021021170","20212022","PHI","WSH","0","G",40,66.67,5.93,29.55,37.13,2.55,79.92,84.02,93.15,-9.13,-3.39
"Martin Jones","2022-04-16","2021021197","20212022","PHI","BUF","0","G",57.5,95.83,3.67,26.75,36.1,2.38,86.26,89.82,93.41,-3.59,-1.3
"Martin Jones","2022-04-19","2021021220","20212022","PHI","TOR","0","G",59.47,99.11,3.85,28.34,40.24,2.46,86.4,90.42,93.89,-3.47,-1.4
"Martin Jones","2022-04-21","2021021233","20212022","PHI","MTL","0","G",60,100,2.81,30.55,40.06,3.35,90.79,92.98,91.63,1.34,0.54
"Martin Jones","2022-04-24","2021021264","20212022","PHI","PIT","1","G",60,100,0.97,36.7,50.29,2.6,97.36,98.07,94.83,3.24,1.63
"Martin Jones","2022-04-29","2021021303","20212022","PHI","OTT","1","G",57.97,96.61,3.15,36.36,43.87,3.86,91.34,92.82,91.19,1.62,0.71
"Martin Jones","Total","-","21-22","PHI","-","-","G",57.06,94.36,113.09,1135.69,1551.65,102.03,90.04,92.71,93.42,-0.71,-11.07
