"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Matt Murray","2021-10-21","2021020053","20212022","OTT","S.J","1","G",58.13,96.89,2.09,25.23,33.7,2.19,91.72,93.8,93.49,0.31,0.1
"Matt Murray","2021-10-23","2021020067","20212022","OTT","NYR","1","G",54.28,90.47,1.01,21.98,32.53,2.27,95.42,96.91,93.03,3.88,1.26
"Matt Murray","2021-11-01","2021020133","20212022","OTT","CHI","0","G",60,100,4.95,32.38,40.94,1.95,84.72,87.91,95.23,-7.32,-3
"Matt Murray","2021-11-06","2021020165","20212022","OTT","T.B","1","G",59.53,99.22,4.27,34.38,50.84,4.28,87.58,91.6,91.58,0.02,0.01
"Matt Murray","2021-11-09","2021020182","20212022","OTT","BOS","0","G",58.03,96.72,2.74,34.39,44.49,1.66,92.03,93.84,96.27,-2.43,-1.08
"Matt Murray","2021-11-24","2021020302","20212022","OTT","S.J","0","G",59.22,98.69,3.7,27.01,36.97,2.43,86.3,89.99,93.43,-3.45,-1.27
"Matt Murray","2022-01-01","2021020567","20212022","OTT","TOR","0","G",60,100,5.88,42.03,64.09,4.48,86,90.82,93.01,-2.19,-1.41
"Matt Murray","2022-01-13","2021020658","20212022","OTT","CGY","0","G",60,100,0.94,24.84,41.5,3.22,96.22,97.74,92.25,5.49,2.28
"Matt Murray","2022-01-15","2021020635","20212022","OTT","EDM","0","G",59.25,98.75,3.74,34.89,44.5,3.4,89.29,91.6,92.37,-0.76,-0.34
"Matt Murray","2022-01-22","2021020726","20212022","OTT","WSH","0","G",61.22,100,2.91,29.62,46.74,3.33,90.18,93.78,92.88,0.9,0.42
"Matt Murray","2022-01-25","2021020744","20212022","OTT","BUF","1","G",59.8,99.67,0,30.67,33.76,2.09,100,100,93.8,6.2,2.09
"Matt Murray","2022-01-27","2021020758","20212022","OTT","CAR","1","G",65,100,2.07,29.9,53.83,4.81,93.07,96.15,91.07,5.08,2.74
"Matt Murray","2022-01-31","2021020791","20212022","OTT","EDM","1","G",64.37,100,2.02,39.72,48.83,3.51,94.9,95.85,92.82,3.04,1.48
"Matt Murray","2022-02-07","2021021128","20212022","OTT","N.J","1","G",60,100,1.08,32.29,46.13,3.26,96.66,97.67,92.94,4.73,2.18
"Matt Murray","2022-02-10","2021020559","20212022","OTT","PIT","1","G",58.73,97.89,1.06,46.53,60.77,3.32,97.72,98.25,94.54,3.71,2.26
"Matt Murray","2022-02-12","2021020543","20212022","OTT","BOS","1","G",56.45,94.08,2.13,41.97,51.7,2.81,94.92,95.88,94.56,1.32,0.68
"Matt Murray","2022-02-15","2021020495","20212022","OTT","STL","1","G",50.82,84.69,4.28,33.88,48.38,4.07,87.37,91.15,91.59,-0.43,-0.21
"Matt Murray","2022-02-26","2021020830","20212022","OTT","MTL","1","G",58.75,97.92,2.12,34.55,44.35,4.39,93.86,95.22,90.1,5.11,2.27
"Matt Murray","2022-03-01","2021020852","20212022","OTT","T.B","0","G",60,100,4.78,22.01,32.82,2.04,78.26,85.42,93.79,-8.37,-2.75
"Matt Murray","2022-03-05","2021020888","20212022","OTT","ARI","0","G",57.93,96.56,7.74,31.65,40.95,3.81,75.53,81.09,90.7,-9.61,-3.93
"Matt Murray","Total","-","21-22","OTT","-","-","G",59.08,97.6,59.52,649.93,897.83,63.31,90.84,93.37,92.95,0.42,3.79
