"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Mike Smith","2021-10-13","2021020006","20212022","EDM","VAN","1","G",65,100,2.02,37.19,43.06,2.89,94.57,95.31,93.28,2.03,0.87
"Mike Smith","2021-10-16","2021020031","20212022","EDM","CGY","1","G",60,100,2.02,45.27,56.86,3.44,95.54,96.45,93.95,2.5,1.42
"Mike Smith","2021-10-19","2021020049","20212022","EDM","ANA","1","G",31.07,51.78,4.15,15.34,20.55,1.63,72.96,79.83,92.07,-12.25,-2.52
"Mike Smith","2021-12-29","2021020547","20212022","EDM","STL","0","G",57.05,95.08,3.87,33.99,47.33,3.25,88.61,91.82,93.13,-1.31,-0.62
"Mike Smith","2021-12-31","2021020562","20212022","EDM","N.J","0","G",62.92,100,5.83,40.32,50.81,3.03,85.53,88.52,94.04,-5.53,-2.81
"Mike Smith","2022-01-05","2021020596","20212022","EDM","TOR","0","G",58.67,97.78,2.82,31.34,46.87,2.45,91.02,93.99,94.77,-0.77,-0.36
"Mike Smith","2022-02-08","2021020664","20212022","EDM","VGK","1","G",60,100,4.39,32.53,43.98,2.91,86.52,90.03,93.37,-3.35,-1.47
"Mike Smith","2022-02-09","2021020699","20212022","EDM","CHI","1","G",59.92,99.86,4.4,34.71,41.83,3.72,87.32,89.48,91.1,-1.63,-0.68
"Mike Smith","2022-02-11","2021020623","20212022","EDM","NYI","1","G",60,100,1.01,37.91,51.07,3.87,97.35,98.03,92.42,5.61,2.87
"Mike Smith","2022-02-15","2021020507","20212022","EDM","L.A","0","G",60,100,1.88,30.91,38.77,2.52,93.91,95.14,93.5,1.65,0.64
"Mike Smith","2022-02-17","2021020493","20212022","EDM","ANA","1","G",60,100,3.27,30.24,38.26,2.8,89.18,91.45,92.68,-1.23,-0.47
"Mike Smith","2022-02-20","2021020648","20212022","EDM","MIN","1","G",13.63,22.72,4.39,7.91,9.15,0.69,44.54,52.09,92.46,-40.37,-3.7
"Mike Smith","2022-02-23","2021020812","20212022","EDM","T.B","0","G",58.22,97.03,3.87,22.73,32.06,2.65,82.97,87.92,91.74,-3.82,-1.22
"Mike Smith","2022-02-27","2021020840","20212022","EDM","CAR","0","G",57.78,96.31,1.94,29.2,42.37,2.9,93.36,95.42,93.16,2.26,0.96
"Mike Smith","2022-03-05","2021020887","20212022","EDM","MTL","1","G",59.72,99.53,4.4,31.08,40.91,3.88,85.85,89.25,90.51,-1.26,-0.52
"Mike Smith","2022-03-17","2021020973","20212022","EDM","BUF","1","G",60,100,1.01,26.2,29.85,1.54,96.14,96.61,94.84,1.77,0.53
"Mike Smith","2022-03-21","2021021002","20212022","EDM","COL","0","G",60.58,99.53,2.9,30.2,44.87,3.14,90.4,93.54,93,0.54,0.24
"Mike Smith","2022-03-24","2021021025","20212022","EDM","S.J","1","G",60,100,2.07,29.85,37.81,3,93.06,94.52,92.08,2.44,0.92
"Mike Smith","2022-03-26","2021021042","20212022","EDM","CGY","0","G",34.57,57.61,3.95,27.8,42.68,3.67,85.78,90.74,91.4,-0.66,-0.28
"Mike Smith","2022-04-01","2021021087","20212022","EDM","STL","1","G",61.18,100,5.06,34.5,42.17,4.44,85.33,88,89.47,-1.47,-0.62
"Mike Smith","2022-04-03","2021021107","20212022","EDM","ANA","0","G",60,100,0.94,28,39.18,2.36,96.65,97.61,93.97,3.64,1.43
"Mike Smith","2022-04-05","2021021122","20212022","EDM","S.J","0","G",60.37,99.75,0.93,32.03,48.24,2.5,97.09,98.07,94.81,3.26,1.57
"Mike Smith","2022-04-07","2021021135","20212022","EDM","L.A","0","G",60,100,1.8,30.73,39.66,2.69,94.13,95.45,93.22,2.24,0.89
"Mike Smith","2022-04-14","2021021172","20212022","EDM","NSH","0","G",59.88,99.81,0,26.72,37.06,2.05,100,100,94.48,5.52,2.05
"Mike Smith","2022-04-16","2021021195","20212022","EDM","VGK","1","G",59.88,99.81,0,37.95,49.66,2.82,100,100,94.32,5.68,2.82
"Mike Smith","2022-04-20","2021021229","20212022","EDM","DAL","1","G",60,100,2.02,35.12,40.97,2.87,94.24,95.06,93,2.05,0.84
"Mike Smith","2022-04-22","2021021246","20212022","EDM","COL","1","G",60,100,3.04,38.2,50.59,3.99,92.04,93.99,92.11,1.87,0.95
"Mike Smith","2022-04-26","2021021278","20212022","EDM","PIT","0","G",59.53,99.22,0.94,31.14,37.45,3.98,96.99,97.5,89.37,8.12,3.04
"Mike Smith","Total","-","21-22","EDM","-","-","G",56.43,93.46,74.92,869.11,1144.06,81.68,91.38,93.45,92.86,0.59,6.76
