"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Mikko Koskinen","2021-10-19","2021020049","20212022","EDM","ANA","1","G",27.7,46.17,0.97,21.59,27.25,2.08,95.51,96.44,92.36,4.08,1.11
"Mikko Koskinen","2021-10-21","2021020061","20212022","EDM","ARI","0","G",60,100,0.94,25.4,33.25,1.45,96.31,97.18,95.63,1.54,0.51
"Mikko Koskinen","2021-10-22","2021020065","20212022","EDM","VGK","0","G",59.95,99.92,2.83,36.3,52.01,2.87,92.21,94.56,94.49,0.08,0.04
"Mikko Koskinen","2021-10-27","2021020101","20212022","EDM","PHI","1","G",58.12,96.86,4.25,35.92,44.95,3.82,88.16,90.54,91.51,-0.97,-0.44
"Mikko Koskinen","2021-10-30","2021020124","20212022","EDM","VAN","0","G",60,100,1.03,28.06,42.79,2.68,96.32,97.59,93.74,3.85,1.65
"Mikko Koskinen","2021-11-01","2021020134","20212022","EDM","SEA","1","G",59.58,99.31,2.02,27.54,35.28,2.93,92.65,94.26,91.69,2.57,0.91
"Mikko Koskinen","2021-11-03","2021020146","20212022","EDM","NSH","1","G",60,100,2.02,31.89,41.72,3.12,93.67,95.16,92.53,2.64,1.1
"Mikko Koskinen","2021-11-05","2021020158","20212022","EDM","NYR","1","G",63.45,100,5.44,27.48,38.05,2.49,80.21,85.71,93.46,-7.75,-2.95
"Mikko Koskinen","2021-11-11","2021020195","20212022","EDM","BOS","0","G",60,100,2.84,27.64,37.87,2,89.74,92.51,94.73,-2.21,-0.84
"Mikko Koskinen","2021-11-14","2021020228","20212022","EDM","STL","0","G",60,100,3.75,36.49,49.35,3.85,89.73,92.41,92.19,0.22,0.11
"Mikko Koskinen","2021-11-16","2021020241","20212022","EDM","WPG","0","G",39.15,65.25,3.92,27.22,35.71,2.33,85.62,89.04,93.49,-4.45,-1.59
"Mikko Koskinen","2021-11-24","2021020300","20212022","EDM","ARI","0","G",59.67,99.44,2.82,26.14,32.94,1.66,89.21,91.44,94.95,-3.52,-1.16
"Mikko Koskinen","2021-11-27","2021020324","20212022","EDM","VGK","0","G",60,100,1.88,35.06,45.21,3.68,94.65,95.85,91.87,3.98,1.8
"Mikko Koskinen","2021-12-01","2021020350","20212022","EDM","PIT","1","G",60,100,2.02,34.24,48.54,2.46,94.09,95.83,94.92,0.91,0.44
"Mikko Koskinen","2021-12-05","2021020381","20212022","EDM","L.A","1","G",60,100,5.68,45.13,59.18,3.97,87.41,90.4,93.29,-2.89,-1.71
"Mikko Koskinen","2021-12-07","2021020396","20212022","EDM","MIN","1","G",59.93,99.89,4.19,29.42,37.66,3.58,85.77,88.88,90.49,-1.61,-0.61
"Mikko Koskinen","2021-12-11","2021020426","20212022","EDM","CAR","1","G",57.62,96.03,3.22,34.17,51.36,3.85,90.58,93.73,92.5,1.23,0.63
"Mikko Koskinen","2021-12-14","2021020448","20212022","EDM","TOR","1","G",59.38,98.97,5.36,27.86,41.72,3.52,80.76,87.15,91.56,-4.41,-1.84
"Mikko Koskinen","2022-01-01","2021020569","20212022","EDM","NYI","0","G",63.87,100,2.9,27.89,39.26,2.74,89.59,92.6,93.03,-0.43,-0.17
"Mikko Koskinen","2022-01-03","2021020585","20212022","EDM","NYR","0","G",60,100,3.92,28.84,37.06,2.17,86.42,89.44,94.14,-4.7,-1.74
"Mikko Koskinen","2022-01-20","2021020709","20212022","EDM","FLA","1","G",60,100,6.66,31.5,45.01,2.84,78.87,85.21,93.68,-8.47,-3.81
"Mikko Koskinen","2022-01-22","2021020730","20212022","EDM","CGY","1","G",60,100,3.26,50.18,60.32,4.16,93.51,94.6,93.1,1.5,0.91
"Mikko Koskinen","2022-01-25","2021020750","20212022","EDM","VAN","0","G",64.33,99.59,1.92,26.85,32.74,1.81,92.84,94.13,94.47,-0.34,-0.11
"Mikko Koskinen","2022-01-27","2021020766","20212022","EDM","NSH","1","G",64.88,99.82,2.12,31.45,37.93,3.11,93.25,94.41,91.81,2.6,0.99
"Mikko Koskinen","2022-01-31","2021020791","20212022","EDM","OTT","0","G",64.03,99.48,2.91,30.43,45.72,2.91,90.43,93.63,93.63,0,0
"Mikko Koskinen","2022-02-02","2021020808","20212022","EDM","WSH","0","G",60,100,2.81,24.8,39.22,2.27,88.66,92.83,94.2,-1.37,-0.54
"Mikko Koskinen","2022-02-19","2021020681","20212022","EDM","WPG","0","G",60,100,1.73,21.62,29.55,2.24,91.99,94.14,92.42,1.71,0.51
"Mikko Koskinen","2022-02-20","2021020648","20212022","EDM","MIN","1","G",46.28,77.14,3.21,17.93,27.59,1.83,82.09,88.36,93.35,-5,-1.38
"Mikko Koskinen","2022-02-26","2021020831","20212022","EDM","FLA","0","G",60,100,2.74,44.56,56.52,4.88,93.86,95.16,91.36,3.8,2.15
"Mikko Koskinen","2022-03-01","2021020853","20212022","EDM","PHI","0","G",60,100,0,35.85,49.34,3.2,100,100,93.52,6.48,3.2
"Mikko Koskinen","2022-03-03","2021020869","20212022","EDM","CHI","0","G",61.63,98.8,3.76,31.88,40.59,2.45,88.21,90.74,93.96,-3.22,-1.31
"Mikko Koskinen","2022-03-07","2021020532","20212022","EDM","CGY","0","G",58.08,96.81,2.91,29.39,41.47,2.38,90.1,92.99,94.25,-1.27,-0.53
