"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Nico Daws","2021-10-23","2021020069","20212022","N.J","BUF","1","G",62.55,99.05,1.08,27.02,38.25,2.46,96.01,97.18,93.56,3.62,1.38
"Nico Daws","2021-10-26","2021020090","20212022","N.J","CGY","1","G",12.17,20.28,3.32,7.78,12.04,0.74,57.4,72.46,93.88,-21.42,-2.58
"Nico Daws","2022-02-07","2021021128","20212022","N.J","OTT","0","G",60,100,3.86,25.04,36.2,2.77,84.59,89.34,92.34,-3,-1.08
"Nico Daws","2022-02-15","2021020631","20212022","N.J","T.B","1","G",9.65,16.08,0,2.42,3.62,0.26,100,100,92.95,7.05,0.26
"Nico Daws","2022-02-24","2021020497","20212022","N.J","PIT","0","G",60,100,0.87,32.92,42.34,2.14,97.37,97.95,94.95,3,1.27
"Nico Daws","2022-02-28","2021020847","20212022","N.J","VAN","1","G",60,100,2.02,35.66,49.7,2.7,94.32,95.93,94.56,1.37,0.68
"Nico Daws","2022-03-01","2021020854","20212022","N.J","CBJ","0","G",57.85,96.42,3.81,31.77,45.7,2.94,88.02,91.67,93.57,-1.9,-0.87
"Nico Daws","2022-03-04","2021020875","20212022","N.J","NYR","0","G",59.3,98.83,2.88,32.26,46.19,3.25,91.08,93.77,92.97,0.8,0.37
"Nico Daws","2022-03-06","2021020891","20212022","N.J","STL","1","G",61.2,100,2.02,20.83,34.71,1.8,90.28,94.17,94.82,-0.65,-0.23
"Nico Daws","2022-03-08","2021020904","20212022","N.J","COL","1","G",59.48,99.14,3.33,28.6,42.46,3.34,88.35,92.15,92.13,0.02,0.01
"Nico Daws","2022-03-10","2021020921","20212022","N.J","WPG","1","G",58.18,96.97,2.12,32.45,43.44,2.2,93.46,95.12,94.94,0.18,0.08
"Nico Daws","2022-03-12","2021020935","20212022","N.J","ANA","1","G",64.23,98.82,1.06,35.57,45.25,2.57,97.02,97.66,94.33,3.33,1.51
"Nico Daws","2022-03-15","2021020961","20212022","N.J","VAN","0","G",28.85,48.08,3.87,21.17,24.17,1.54,81.74,84,93.61,-9.6,-2.32
"Nico Daws","2022-03-16","2021020966","20212022","N.J","CGY","0","G",29.52,49.19,3.82,19.31,25.37,1.34,80.21,84.93,94.7,-9.77,-2.48
"Nico Daws","2022-03-22","2021021005","20212022","N.J","NYR","1","G",60,100,4.15,36.24,43.41,2.92,88.55,90.44,93.27,-2.83,-1.23
"Nico Daws","2022-03-23","2021021015","20212022","N.J","TOR","0","G",58.37,97.28,2.74,29.9,42.31,2.37,90.85,93.53,94.4,-0.87,-0.37
"Nico Daws","2022-03-26","2021021038","20212022","N.J","WSH","0","G",57.48,95.81,3.91,21.38,36.45,2.2,81.71,89.27,93.96,-4.69,-1.71
"Nico Daws","2022-03-27","2021021047","20212022","N.J","MTL","1","G",65,100,1.98,32.28,44.16,4.26,93.86,95.51,90.34,5.17,2.28
"Nico Daws","2022-03-31","2021021074","20212022","N.J","BOS","0","G",29.02,48.36,4.86,20.66,27.82,1.73,76.48,82.53,93.8,-11.26,-3.13
"Nico Daws","2022-04-03","2021021102","20212022","N.J","NYI","1","G",57.02,95.03,4.39,31.84,41.04,2.79,86.23,89.31,93.21,-3.9,-1.6
"Nico Daws","2022-04-05","2021021117","20212022","N.J","NYR","1","G",58.43,97.39,3.15,17.84,32.23,1.95,82.32,90.21,93.96,-3.75,-1.21
"Nico Daws","2022-04-07","2021020512","20212022","N.J","MTL","1","G",18.57,30.94,1.07,8.24,16.59,0.91,87,93.54,94.52,-0.98,-0.16
"Nico Daws","2022-04-09","2021021149","20212022","N.J","DAL","0","G",59.97,99.94,0.93,27.03,43.31,2.52,96.55,97.85,94.18,3.66,1.59
"Nico Daws","2022-04-12","2021021176","20212022","N.J","ARI","0","G",60,100,1.81,19.57,35.14,1.84,90.75,94.85,94.76,0.09,0.03
"Nico Daws","2022-04-16","2021021209","20212022","N.J","SEA","0","G",64.7,99.54,2.81,24.48,37.6,2.18,88.52,92.53,94.21,-1.68,-0.63
"Nico Daws","Total","-","21-22","N.J","-","-","G",50.86,83.69,65.85,622.26,889.52,55.71,89.42,92.6,93.74,-1.14,-10.15
