"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Pavel Francouz","2021-12-16","2021020460","20212022","COL","NSH","0","G",58.35,97.25,3.92,34.83,45.89,2.61,88.74,91.46,94.31,-2.86,-1.31
"Pavel Francouz","2022-01-08","2021020622","20212022","COL","TOR","1","G",46.37,75.76,1.18,21.6,26.49,1.92,94.52,95.53,92.76,2.78,0.74
"Pavel Francouz","2022-01-10","2021020634","20212022","COL","SEA","1","G",60,100,3.14,27.08,37.93,2.31,88.41,91.73,93.91,-2.19,-0.83
"Pavel Francouz","2022-01-14","2021020663","20212022","COL","ARI","1","G",64.75,99.62,3.08,25.94,29.03,2.04,88.13,89.39,92.97,-3.58,-1.04
"Pavel Francouz","2022-01-17","2021020686","20212022","COL","MIN","1","G",35.57,54.72,1.98,26.65,33.65,2.21,92.57,94.11,93.44,0.68,0.23
"Pavel Francouz","2022-01-19","2021020703","20212022","COL","ANA","0","G",59.87,99.78,0,32.21,44.4,2.01,100,100,95.48,4.52,2.01
"Pavel Francouz","2022-01-24","2021020742","20212022","COL","CHI","1","G",59.83,99.72,0,24.08,43.07,2.47,100,100,94.27,5.73,2.47
"Pavel Francouz","2022-01-28","2021020769","20212022","COL","CHI","0","G",60,100,3.85,39.73,48.8,2.66,90.32,92.12,94.55,-2.44,-1.19
"Pavel Francouz","2022-02-15","2021020549","20212022","COL","DAL","1","G",57.93,96.56,3.33,21,30.16,2.38,84.13,88.96,92.11,-3.15,-0.95
"Pavel Francouz","2022-02-23","2021020490","20212022","COL","DET","0","G",60,100,1.8,30.35,44.28,3.65,94.06,95.93,91.75,4.17,1.85
"Pavel Francouz","2022-02-25","2021020826","20212022","COL","WPG","1","G",60,100,3.32,31.08,37.65,2.15,89.33,91.19,94.29,-3.1,-1.17
"Pavel Francouz","2022-03-03","2021020871","20212022","COL","ARI","0","G",58.7,97.83,1.88,27.5,31.15,2.14,93.15,93.95,93.14,0.82,0.26
"Pavel Francouz","2022-03-05","2021020886","20212022","COL","CGY","1","G",39.17,64.61,0.97,22.91,30.25,1.46,95.77,96.8,95.17,1.63,0.49
"Pavel Francouz","2022-03-07","2021020900","20212022","COL","NYI","0","G",60,100,3.77,34.17,43.58,3.25,88.97,91.35,92.55,-1.2,-0.52
"Pavel Francouz","2022-03-18","2021020982","20212022","COL","S.J","0","G",60,100,2.91,25.13,32.88,2.7,88.42,91.15,91.78,-0.63,-0.21
"Pavel Francouz","2022-03-25","2021021031","20212022","COL","PHI","1","G",59.7,99.5,3.04,28.96,29.83,2.43,89.52,89.82,91.84,-2.02,-0.6
"Pavel Francouz","2022-03-31","2021021080","20212022","COL","S.J","1","G",60,100,2.02,26.93,32.87,1.65,92.48,93.84,94.99,-1.15,-0.38
"Pavel Francouz","2022-04-08","2021021141","20212022","COL","WPG","0","G",62.7,100,3.85,40.5,50.62,4.36,90.48,92.39,91.38,1,0.51
"Pavel Francouz","2022-04-14","2021021190","20212022","COL","N.J","1","G",59.82,99.69,1.01,26.62,44.52,1.72,96.2,97.73,96.14,1.58,0.71
"Pavel Francouz","2022-04-20","2021021232","20212022","COL","SEA","0","G",58.77,97.94,2.92,30.94,41.6,2.25,90.56,92.98,94.59,-1.61,-0.67
"Pavel Francouz","2022-04-29","2021021308","20212022","COL","MIN","0","G",58.63,97.72,2.92,22.05,34.48,2.55,86.75,91.53,92.6,-1.07,-0.37
"Pavel Francouz","Total","-","21-22","COL","-","-","G",57.15,94.17,50.9,600.25,793.14,50.91,91.52,93.58,93.58,0,0.01
