"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Petr Mrazek","2021-10-14","2021020008","20212022","TOR","OTT","0","G",40,66.67,2.93,27.42,43.36,3.56,89.33,93.25,91.79,1.46,0.63
"Petr Mrazek","2021-10-30","2021020118","20212022","TOR","DET","1","G",60,100,4,30.76,39.82,1.75,87,89.96,95.6,-5.64,-2.25
"Petr Mrazek","2021-12-11","2021020420","20212022","TOR","CHI","1","G",60,100,4.1,33.72,41.71,2.4,87.85,90.18,94.24,-4.06,-1.69
"Petr Mrazek","2022-01-12","2021020649","20212022","TOR","ARI","0","G",57.42,95.69,1.89,18.07,26.93,1.9,89.54,92.98,92.95,0.04,0.01
"Petr Mrazek","2022-01-22","2021021211","20212022","TOR","NYI","0","G",59.78,99.64,0.94,25.73,34.81,2.36,96.35,97.31,93.22,4.09,1.42
"Petr Mrazek","2022-01-29","2021020774","20212022","TOR","DET","0","G",59.85,99.75,3.87,36.04,44.37,3.42,89.26,91.27,92.29,-1.02,-0.45
"Petr Mrazek","2022-01-31","2021020683","20212022","TOR","N.J","1","G",50.82,84.69,1.07,22.72,27.35,1.88,95.29,96.08,93.12,2.96,0.81
"Petr Mrazek","2022-02-07","2021020583","20212022","TOR","CAR","1","G",62.63,99.66,3.13,32.56,43.43,2.94,90.37,92.78,93.23,-0.45,-0.2
"Petr Mrazek","2022-02-12","2021020479","20212022","TOR","VAN","0","G",58.52,97.53,2.88,25.1,36.75,2.33,88.51,92.15,93.66,-1.51,-0.55
"Petr Mrazek","2022-02-21","2021020601","20212022","TOR","MTL","0","G",60,100,4.9,25.72,30.14,2.66,80.96,83.75,91.19,-7.44,-2.24
"Petr Mrazek","2022-02-24","2021020815","20212022","TOR","MIN","1","G",59.63,99.39,1.06,30.83,42.37,2.41,96.56,97.5,94.3,3.19,1.35
"Petr Mrazek","2022-02-26","2021021275","20212022","TOR","DET","0","G",15.3,25.5,1.88,7.11,10.57,0.52,73.63,82.25,95.07,-12.83,-1.36
"Petr Mrazek","2022-02-28","2021020849","20212022","TOR","WSH","0","G",60,100,2.67,30.24,41.02,2.06,91.17,93.49,94.98,-1.49,-0.61
"Petr Mrazek","2022-03-02","2021020860","20212022","TOR","BUF","1","G",60,100,5.35,34.62,41.68,2.54,84.54,87.16,93.91,-6.74,-2.81
"Petr Mrazek","2022-03-07","2021020901","20212022","TOR","CBJ","0","G",60,100,3.77,32.02,42.84,3.19,88.24,91.21,92.56,-1.35,-0.58
"Petr Mrazek","2022-03-10","2021020917","20212022","TOR","ARI","1","G",31.95,51.3,4.27,13.4,16.99,1.02,68.11,74.85,94.01,-19.16,-3.26
"Petr Mrazek","2022-03-13","2021020942","20212022","TOR","BUF","0","G",58.48,97.47,3.81,36.27,45.03,2.97,89.5,91.54,93.41,-1.87,-0.84
"Petr Mrazek","2022-03-23","2021021015","20212022","TOR","N.J","1","G",60,100,2.14,23.07,34.73,1.99,90.73,93.84,94.27,-0.43,-0.15
"Petr Mrazek","2022-03-27","2021021046","20212022","TOR","FLA","1","G",60,100,2.07,35.86,43.85,2.64,94.22,95.27,93.98,1.29,0.57
"Petr Mrazek","2022-03-29","2021021059","20212022","TOR","BOS","0","G",7.73,12.89,0.87,3.76,5.56,0.21,76.97,84.42,96.21,-11.79,-0.66
"Petr Mrazek","Total","-","21-22","TOR","-","-","G",52.11,86.47,57.59,525.02,693.32,44.74,89.03,91.69,93.55,-1.85,-12.85
