"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Philipp Grubauer","2021-10-12","2021020002","20212022","SEA","VGK","0","G",58.65,97.75,3.87,31.31,48.12,4.12,87.65,91.97,91.44,0.53,0.25
"Philipp Grubauer","2021-10-14","2021020014","20212022","SEA","NSH","0","G",59.98,99.97,2.72,27.78,35.69,2.44,90.2,92.37,93.16,-0.79,-0.28
"Philipp Grubauer","2021-10-16","2021020028","20212022","SEA","CBJ","0","G",62.27,100,1.97,23.71,34.88,1.87,91.69,94.35,94.63,-0.28,-0.1
"Philipp Grubauer","2021-10-18","2021020036","20212022","SEA","PHI","0","G",28.82,48.03,4.9,20.97,26.07,1.94,76.64,81.22,92.58,-11.36,-2.96
"Philipp Grubauer","2021-10-23","2021020078","20212022","SEA","VAN","1","G",58.97,98.28,3.08,25.62,43.12,1.69,87.98,92.86,96.07,-3.21,-1.38
"Philipp Grubauer","2021-10-26","2021020096","20212022","SEA","MTL","1","G",60,100,1.01,22.93,28.45,1.58,95.59,96.44,94.46,1.99,0.57
"Philipp Grubauer","2021-10-28","2021020110","20212022","SEA","MIN","1","G",60,100,1.06,31,38.11,2.66,96.58,97.22,93.03,4.18,1.59
"Philipp Grubauer","2021-10-31","2021020131","20212022","SEA","NYR","1","G",58.32,97.19,2.12,18.34,27.2,1.16,88.43,92.2,95.72,-3.52,-0.96
"Philipp Grubauer","2021-11-04","2021020156","20212022","SEA","BUF","1","G",60,100,2.09,20.78,27.89,1.12,89.95,92.51,96,-3.49,-0.97
"Philipp Grubauer","2021-11-06","2021020172","20212022","SEA","ARI","0","G",58.83,98.06,4.69,20.25,26.49,1.19,76.83,82.29,95.49,-13.21,-3.5
"Philipp Grubauer","2021-11-11","2021020205","20212022","SEA","ANA","1","G",57.82,96.36,5.36,37.49,47.73,1.97,85.71,88.78,95.88,-7.1,-3.39
"Philipp Grubauer","2021-11-13","2021020223","20212022","SEA","MIN","1","G",55.97,93.28,3.2,23.41,31.38,2.01,86.32,89.79,93.6,-3.81,-1.2
"Philipp Grubauer","2021-11-17","2021020246","20212022","SEA","CHI","1","G",56.78,94.64,3.2,19.78,25.67,1.48,83.8,87.52,94.22,-6.7,-1.72
"Philipp Grubauer","2021-11-19","2021020260","20212022","SEA","COL","1","G",34.15,56.92,3.21,20.28,24.04,1.52,84.16,86.63,93.68,-7.05,-1.7
"Philipp Grubauer","2021-11-21","2021020280","20212022","SEA","WSH","1","G",59.73,99.56,2.07,38.72,52.78,3.63,94.65,96.07,93.12,2.95,1.56
"Philipp Grubauer","2021-11-24","2021020303","20212022","SEA","CAR","1","G",59.48,99.14,1.06,37.55,50.32,3.38,97.17,97.89,93.28,4.62,2.32
"Philipp Grubauer","2021-11-26","2021020306","20212022","SEA","T.B","0","G",59.93,99.89,2.92,27.36,39.8,2.34,89.33,92.66,94.12,-1.46,-0.58
"Philipp Grubauer","2021-12-01","2021020348","20212022","SEA","DET","0","G",64.75,99.62,2.82,25.26,31.09,1.8,88.85,90.94,94.22,-3.28,-1.02
"Philipp Grubauer","2021-12-03","2021020366","20212022","SEA","EDM","1","G",60,100,3.03,30.81,43.47,2.76,90.16,93.03,93.66,-0.63,-0.27
"Philipp Grubauer","2021-12-06","2021020387","20212022","SEA","PIT","1","G",5.12,8.53,3.2,4.37,5.52,0.26,26.77,42,95.25,-53.26,-2.94
"Philipp Grubauer","2021-12-09","2021020411","20212022","SEA","WPG","1","G",59.93,99.89,3.2,36.92,57.64,3.01,91.32,94.44,94.78,-0.34,-0.2
"Philipp Grubauer","2021-12-11","2021020430","20212022","SEA","CBJ","1","G",60.63,99.53,5.24,30,46.21,2.86,82.52,88.65,93.82,-5.16,-2.38
"Philipp Grubauer","2021-12-15","2021020453","20212022","SEA","ANA","0","G",40,66.67,2.93,18.61,26.81,1.63,84.24,89.06,93.9,-4.84,-1.3
