"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Robin Lehner","2021-10-12","2021020002","20212022","VGK","SEA","1","G",59.73,99.56,3.04,29.96,42.32,2.71,89.87,92.83,93.6,-0.78,-0.33
"Robin Lehner","2021-10-14","2021020016","20212022","VGK","L.A","0","G",40,66.67,3.85,30.83,37.99,2.79,87.52,89.87,92.66,-2.79,-1.06
"Robin Lehner","2021-10-20","2021020051","20212022","VGK","STL","1","G",58.82,98.03,2.07,37.86,47.33,4.37,94.52,95.62,90.77,4.85,2.29
"Robin Lehner","2021-10-22","2021020065","20212022","VGK","EDM","1","G",58.6,97.67,4.14,34.99,46.73,4.59,88.17,91.14,90.17,0.97,0.45
"Robin Lehner","2021-10-24","2021020082","20212022","VGK","NYI","1","G",57.65,96.08,2.13,29.08,43.9,3.74,92.67,95.14,91.49,3.66,1.6
"Robin Lehner","2021-10-26","2021020093","20212022","VGK","COL","0","G",60,100,0.93,24.39,33.91,2.16,96.19,97.26,93.62,3.64,1.23
"Robin Lehner","2021-10-29","2021020116","20212022","VGK","ANA","1","G",65,100,4.05,36.59,48.14,5.64,88.94,91.59,88.28,3.31,1.59
"Robin Lehner","2021-11-02","2021020135","20212022","VGK","TOR","0","G",60,100,3.92,34.48,44.93,3.49,88.65,91.29,92.24,-0.95,-0.43
"Robin Lehner","2021-11-04","2021020151","20212022","VGK","OTT","0","G",59.88,99.81,0.94,35.89,47.61,2.97,97.39,98.03,93.76,4.27,2.03
"Robin Lehner","2021-11-06","2021020164","20212022","VGK","MTL","0","G",60,100,1.92,36.46,46.74,3.52,94.73,95.89,92.47,3.42,1.6
"Robin Lehner","2021-11-09","2021020191","20212022","VGK","SEA","1","G",60,100,2.14,27.63,35.97,2.7,92.26,94.06,92.51,1.55,0.56
"Robin Lehner","2021-11-13","2021020222","20212022","VGK","VAN","1","G",59.55,99.25,4.16,43.98,54.33,4.78,90.55,92.35,91.2,1.15,0.62
"Robin Lehner","2021-11-16","2021020242","20212022","VGK","CAR","1","G",57.33,95.56,4.38,44.75,56.76,3.5,90.22,92.29,93.84,-1.55,-0.88
"Robin Lehner","2021-11-18","2021020257","20212022","VGK","DET","1","G",60,100,2.02,27.45,34.35,3.43,92.63,94.11,90.03,4.08,1.4
"Robin Lehner","2021-11-22","2021020282","20212022","VGK","STL","0","G",60,100,4.8,31.93,35.12,2.38,84.96,86.33,93.22,-6.89,-2.42
"Robin Lehner","2021-11-24","2021020298","20212022","VGK","NSH","0","G",60,100,1.8,25.31,38.32,2.36,92.87,95.29,93.83,1.46,0.56
"Robin Lehner","2021-11-27","2021020324","20212022","VGK","EDM","1","G",57.78,96.31,3.2,32.87,38.82,3.32,90.25,91.75,91.45,0.3,0.12
"Robin Lehner","2021-12-01","2021020351","20212022","VGK","ANA","0","G",58.1,96.83,4.9,33.7,43.59,2.59,85.47,88.76,94.06,-5.3,-2.31
"Robin Lehner","2021-12-05","2021020382","20212022","VGK","CGY","1","G",60,100,1.98,24.57,35.47,2.17,91.94,94.41,93.88,0.53,0.19
"Robin Lehner","2021-12-08","2021020401","20212022","VGK","DAL","1","G",27.63,46.06,3.34,11.01,18.64,0.82,69.68,82.1,95.61,-13.51,-2.52
"Robin Lehner","2021-12-12","2021020435","20212022","VGK","MIN","1","G",60,100,4.05,26.86,44.1,4.28,84.93,90.82,90.29,0.54,0.24
"Robin Lehner","2021-12-14","2021020437","20212022","VGK","BOS","0","G",60,100,0.94,21.32,32.59,1.26,95.6,97.12,96.14,0.98,0.32
"Robin Lehner","2021-12-16","2021020457","20212022","VGK","N.J","0","G",59.53,99.22,2.68,23.91,37.61,2.89,88.8,92.88,92.3,0.58,0.22
"Robin Lehner","2021-12-19","2021020483","20212022","VGK","NYI","0","G",64.32,98.95,2.75,30.57,35.33,2.38,91.01,92.22,93.27,-1.05,-0.37
"Robin Lehner","2022-01-06","2021020608","20212022","VGK","NYR","1","G",60,100,1.01,20.01,30.99,2.52,94.94,96.73,91.85,4.88,1.51
"Robin Lehner","2022-01-08","2021020626","20212022","VGK","CHI","1","G",58.58,97.64,2.07,22.09,37.04,1.8,90.61,94.4,95.13,-0.73,-0.27
"Robin Lehner","2022-01-11","2021020643","20212022","VGK","TOR","1","G",65,100,3.19,19.41,28.41,3.07,83.55,88.76,89.2,-0.44,-0.13
"Robin Lehner","2022-01-17","2021020688","20212022","VGK","PIT","1","G",58.65,97.75,4.09,35.18,43.9,5.14,88.37,90.68,88.3,2.38,1.05
"Robin Lehner","2022-01-20","2021020710","20212022","VGK","MTL","1","G",61.48,99.43,3.08,26.97,32.16,2.95,88.58,90.43,90.82,-0.4,-0.13
"Robin Lehner","2022-01-24","2021020740","20212022","VGK","WSH","0","G",60,100,0,31.14,40.72,3.88,100,100,90.46,9.54,3.88
"Robin Lehner","2022-01-27","2021020760","20212022","VGK","FLA","0","G",59.35,98.92,1.81,29.66,36.68,2.04,93.89,95.06,94.43,0.63,0.23
"Robin Lehner","2022-01-29","2021020775","20212022","VGK","T.B","0","G",64.62,99.41,1.97,26.36,41.02,3.52,92.52,95.19,91.41,3.78,1.55
"Robin Lehner","2022-02-01","2021020806","20212022","VGK","BUF","1","G",60,100,2.02,29.97,40.22,3.22,93.25,94.97,91.99,2.98,1.2
"Robin Lehner","2022-02-09","2021020676","20212022","VGK","CGY","0","G",60,100,5.89,35.58,46.25,3.06,83.44,87.26,93.38,-6.12,-2.83
"Robin Lehner","2022-03-01","2021020858","20212022","VGK","S.J","1","G",60,100,1.01,16.63,22.42,1.06,93.91,95.49,95.28,0.21,0.05
"Robin Lehner","2022-03-03","2021020872","20212022","VGK","BOS","1","G",57.62,96.03,4.27,38.59,46.73,2.99,88.92,90.85,93.61,-2.76,-1.29
"Robin Lehner","2022-03-06","2021020896","20212022","VGK","OTT","1","G",60,100,1.01,41.26,51.84,3.12,97.56,98.06,93.99,4.07,2.11
"Robin Lehner","2022-03-08","2021020905","20212022","VGK","PHI","0","G",58.25,97.08,1.93,21.91,30.11,1.45,91.18,93.58,95.18,-1.6,-0.48
"Robin Lehner","2022-04-03","2021021106","20212022","VGK","VAN","0","G",62.08,100,1.78,26.02,37.92,2.77,93.17,95.31,92.69,2.62,0.99
"Robin Lehner","2022-04-06","2021021126","20212022","VGK","VAN","1","G",60,100,5.39,34.17,40.92,3.07,84.22,86.82,92.49,-5.67,-2.32
"Robin Lehner","2022-04-09","2021021153","20212022","VGK","ARI","1","G",59.8,99.67,1.01,28.27,37.68,2.72,96.42,97.31,92.79,4.52,1.7
"Robin Lehner","2022-04-12","2021021175","20212022","VGK","VAN","0","G",59.78,98.25,4.88,27.64,37.77,3.44,82.36,87.09,90.89,-3.8,-1.44
"Robin Lehner","2022-04-18","2021021219","20212022","VGK","N.J","1","G",57.5,95.83,3.19,30.1,35.78,2.71,89.39,91.08,92.44,-1.36,-0.49
"Robin Lehner","2022-04-20","2021021231","20212022","VGK","WSH","1","G",20,32.18,1.06,13.67,17.01,1.24,92.24,93.76,92.73,1.03,0.17
"Robin Lehner","Total","-","21-22","VGK","-","-","G",57.88,95.49,120.79,1291.01,1716.16,130.6,90.64,92.96,92.39,0.57,9.81
