"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Sam Montembeault","2021-10-14","2021020007","20212022","MTL","BUF","0","G",60,100,4.9,37.7,51.46,2.61,87.01,90.48,94.94,-4.45,-2.29
"Sam Montembeault","2021-10-31","2021020129","20212022","MTL","ANA","0","G",58.23,97.06,2.81,24.69,32.63,1.87,88.61,91.39,94.27,-2.88,-0.94
"Sam Montembeault","2021-11-04","2021020150","20212022","MTL","NYI","1","G",18.28,30.47,0,12.19,13.46,2.27,100,100,83.12,16.88,2.27
"Sam Montembeault","2021-11-13","2021020213","20212022","MTL","DET","0","G",42.48,68.87,2.92,25.25,34.55,1.42,88.45,91.56,95.89,-4.33,-1.5
"Sam Montembeault","2021-11-14","2021020224","20212022","MTL","BOS","0","G",59.45,99.08,3.74,37.52,43.87,3.27,90.04,91.48,92.55,-1.07,-0.47
"Sam Montembeault","2021-11-18","2021020249","20212022","MTL","PIT","1","G",20,33.33,1.07,14.29,15.56,0.67,92.51,93.12,95.71,-2.59,-0.4
"Sam Montembeault","2021-11-20","2021020262","20212022","MTL","NSH","1","G",59.97,99.94,2.98,34.24,48.4,3.45,91.3,93.84,92.87,0.97,0.47
"Sam Montembeault","2021-11-26","2021020305","20212022","MTL","BUF","0","G",60,100,3.87,40.67,58.23,3.33,90.48,93.35,94.28,-0.93,-0.54
"Sam Montembeault","2021-12-28","2021020537","20212022","MTL","T.B","0","G",60.37,99.62,4.89,36.73,49.62,4.43,86.68,90.14,91.07,-0.93,-0.46
"Sam Montembeault","2021-12-30","2021020554","20212022","MTL","CAR","0","G",59.75,99.58,3.92,40.15,52.91,2.64,90.25,92.6,95.02,-2.42,-1.28
"Sam Montembeault","2022-01-01","2021020568","20212022","MTL","FLA","0","G",59.65,99.42,4.73,47.63,58.48,5.31,90.06,91.91,90.93,0.98,0.57
"Sam Montembeault","2022-01-12","2021021000","20212022","MTL","BOS","0","G",42.82,71.36,2.97,36.92,44.6,3.25,91.96,93.34,92.71,0.63,0.28
"Sam Montembeault","2022-01-13","2021020655","20212022","MTL","CHI","0","G",62.4,100,2.84,30.57,35.42,2.73,90.7,91.97,92.29,-0.31,-0.11
"Sam Montembeault","2022-01-17","2021020687","20212022","MTL","ARI","0","G",19.25,32.08,0,6.34,13.82,0.86,100,100,93.76,6.24,0.86
"Sam Montembeault","2022-01-18","2021020697","20212022","MTL","DAL","0","G",59.7,99.5,2.91,47.3,74.93,5.62,93.85,96.12,92.5,3.61,2.71
"Sam Montembeault","2022-01-20","2021020710","20212022","MTL","VGK","0","G",61.83,100,3.78,51.91,67.39,4.89,92.72,94.39,92.74,1.66,1.12
"Sam Montembeault","2022-01-27","2021020757","20212022","MTL","ANA","1","G",37.92,63.19,2.14,17.44,22.25,1.34,87.72,90.37,93.97,-3.59,-0.8
"Sam Montembeault","2022-01-29","2021020772","20212022","MTL","EDM","1","G",40,66.67,6.42,18.24,23.94,1.7,64.83,73.2,92.89,-19.69,-4.71
"Sam Montembeault","2022-01-30","2021020783","20212022","MTL","CBJ","1","G",9.52,15.86,3.26,7.15,9.16,0.39,54.45,64.46,95.74,-31.28,-2.87
"Sam Montembeault","2022-02-10","2021020587","20212022","MTL","WSH","1","G",31.73,52.89,0,9.39,11.83,0.92,100,100,92.26,7.74,0.92
"Sam Montembeault","2022-02-12","2021020630","20212022","MTL","CBJ","1","G",59.87,99.78,2.14,45.84,60.53,4.3,95.34,96.47,92.89,3.57,2.16
"Sam Montembeault","2022-02-13","2021020614","20212022","MTL","BUF","1","G",58.25,97.08,5.26,33.64,42.53,3.83,84.36,87.63,90.99,-3.35,-1.43
"Sam Montembeault","2022-02-17","2021020796","20212022","MTL","STL","1","G",61.43,98.5,2.07,27.69,38.21,2.33,92.54,94.59,93.91,0.68,0.26
"Sam Montembeault","2022-02-21","2021020601","20212022","MTL","TOR","1","G",60,100,2.02,34.48,45.64,2.96,94.13,95.57,93.52,2.05,0.93
"Sam Montembeault","2022-02-23","2021021273","20212022","MTL","BUF","1","G",60,100,0,30.32,36.98,2.49,100,100,93.27,6.73,2.49
"Sam Montembeault","2022-03-01","2021020856","20212022","MTL","WPG","0","G",45.48,75.81,6.71,23.34,27.37,1.99,71.24,75.48,92.73,-17.25,-4.72
"Sam Montembeault","2022-03-05","2021020887","20212022","MTL","EDM","0","G",60,100,1.88,27.43,38.59,2.78,93.16,95.14,92.81,2.33,0.9
"Sam Montembeault","2022-03-09","2021020914","20212022","MTL","VAN","0","G",59.52,99.19,3.81,31.66,51.88,3.02,87.96,92.66,94.18,-1.52,-0.79
"Sam Montembeault","2022-03-12","2021020933","20212022","MTL","SEA","1","G",65,100,3.32,38.8,49.12,3.24,91.44,93.24,93.41,-0.17,-0.08
"Sam Montembeault","2022-03-13","2021020944","20212022","MTL","PHI","0","G",61.62,99.12,2.84,29.49,41.59,3.09,90.39,93.18,92.56,0.62,0.26
"Sam Montembeault","2022-03-15","2021020954","20212022","MTL","ARI","1","G",20,33.33,4.27,7.61,8.82,0.57,43.81,51.55,93.56,-42,-3.71
"Sam Montembeault","2022-03-27","2021021047","20212022","MTL","N.J","0","G",64.77,99.64,1.94,32.36,46.39,3.82,94.01,95.82,91.77,4.05,1.88
"Sam Montembeault","2022-04-09","2021021142","20212022","MTL","TOR","0","G",44.8,74.67,1.98,25.94,40.25,2.97,92.38,95.09,92.62,2.47,0.99
"Sam Montembeault","2022-04-11","2021021162","20212022","MTL","WPG","1","G",59.9,99.83,3.13,36,44.85,2.74,91.3,93.01,93.89,-0.88,-0.39
"Sam Montembeault","2022-04-13","2021021178","20212022","MTL","CBJ","0","G",59.88,99.81,4.9,32.53,49.11,3.29,84.93,90.02,93.3,-3.28,-1.61
"Sam Montembeault","2022-04-16","2021021198","20212022","MTL","WSH","1","G",60,100,8.8,46.51,68.46,6,81.07,87.14,91.24,-4.1,-2.81
"Sam Montembeault","2022-04-24","2021020471","20212022","MTL","BOS","1","G",58.9,98.17,4.18,44.45,54.65,2.84,90.59,92.35,94.8,-2.45,-1.34
"Sam Montembeault","2022-04-27","2021020505","20212022","MTL","NYR","0","G",60,100,2.84,25.59,34.05,2.5,88.92,91.67,92.67,-1,-0.34
"Sam Montembeault","Total","-","21-22","MTL","-","-","G",51.13,84.43,122.23,1150,1541.53,107.71,89.37,92.07,93.01,-0.94,-14.52
