"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Scott Wedgewood","2021-10-21","2021020056","20212022","N.J","WSH","1","G",60,100,4.27,30.85,48.65,4.1,86.14,91.21,91.58,-0.37,-0.18
"Scott Wedgewood","2021-10-26","2021020090","20212022","N.J","CGY","1","G",44.43,74.06,2.25,26.34,36.1,1.93,91.44,93.76,94.66,-0.9,-0.33
"Scott Wedgewood","2021-10-31","2021020127","20212022","N.J","CBJ","1","G",65,100,3.08,26.36,37.35,2.48,88.32,91.76,93.36,-1.6,-0.6
"Scott Wedgewood","2021-11-06","2021020172","20212022","ARI","SEA","1","G",59.02,98.36,2.04,31.48,44.65,2.42,93.52,95.43,94.57,0.86,0.38
"Scott Wedgewood","2021-11-10","2021020194","20212022","ARI","MIN","1","G",20,33.33,0,9.53,11.97,0.66,100,100,94.51,5.49,0.66
"Scott Wedgewood","2021-11-12","2021020210","20212022","ARI","CHI","0","G",58.53,97.56,1.97,28.73,37.64,2.89,93.16,94.78,92.33,2.44,0.92
"Scott Wedgewood","2021-11-16","2021020238","20212022","ARI","STL","0","G",60,100,1.87,33.76,41.08,2.7,94.47,95.46,93.42,2.03,0.84
"Scott Wedgewood","2021-11-18","2021020256","20212022","ARI","CBJ","1","G",65,100,4.16,46.88,61.32,4.72,91.13,93.22,92.31,0.91,0.56
"Scott Wedgewood","2021-11-20","2021020270","20212022","ARI","DET","1","G",60.42,100,1.06,37.92,49.5,1.94,97.2,97.86,96.08,1.78,0.88
"Scott Wedgewood","2021-11-24","2021020300","20212022","ARI","EDM","1","G",59.23,98.72,4.32,46.04,60.58,4.6,90.62,92.87,92.41,0.45,0.27
"Scott Wedgewood","2021-11-27","2021020323","20212022","ARI","DAL","1","G",58.87,98.11,3.18,31.01,42.45,2.89,89.73,92.5,93.19,-0.69,-0.29
"Scott Wedgewood","2021-11-30","2021020344","20212022","ARI","MIN","0","G",60,100,4.85,38.14,45.24,2.64,87.29,89.29,94.16,-4.87,-2.21
"Scott Wedgewood","2021-12-06","2021020385","20212022","ARI","DAL","0","G",60,100,3.87,26.81,33.57,2.63,85.56,88.46,92.17,-3.7,-1.24
"Scott Wedgewood","2021-12-10","2021020416","20212022","ARI","FLA","1","G",56.73,94.56,3.32,25.86,39.9,1.58,87.18,91.69,96.04,-4.35,-1.74
"Scott Wedgewood","2021-12-15","2021020452","20212022","ARI","NYR","1","G",58.83,98.06,3.1,30.34,39.73,1.89,89.8,92.21,95.25,-3.04,-1.21
"Scott Wedgewood","2021-12-17","2021020470","20212022","ARI","ANA","0","G",62.15,100,4.7,36.52,45.34,3.12,87.14,89.64,93.12,-3.48,-1.58
"Scott Wedgewood","2021-12-28","2021020540","20212022","ARI","S.J","0","G",64.85,99.77,6.79,27.15,41.19,3.33,75,83.52,91.91,-8.39,-3.46
"Scott Wedgewood","2022-01-21","2021020714","20212022","ARI","NYI","0","G",60,100,3.91,37.18,45.69,3.8,89.49,91.44,91.67,-0.23,-0.1
