"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Semyon Varlamov","2021-11-07","2021020176","20212022","NYI","MIN","0","G",58.65,97.75,2.82,35.38,47.63,2.45,92.03,94.08,94.87,-0.79,-0.38
"Semyon Varlamov","2021-11-15","2021020230","20212022","NYI","T.B","0","G",60,100,3.87,28.26,41.6,2.8,86.33,90.71,93.27,-2.56,-1.07
"Semyon Varlamov","2021-11-16","2021020233","20212022","NYI","FLA","0","G",40,66.67,1.98,20.69,27.38,1.48,90.45,92.78,94.59,-1.8,-0.49
"Semyon Varlamov","2021-11-20","2021020266","20212022","NYI","CGY","1","G",58.77,97.94,3.43,33.06,39.01,2.6,89.63,91.21,93.33,-2.12,-0.83
"Semyon Varlamov","2021-11-24","2021020294","20212022","NYI","NYR","1","G",60,100,4.29,23.13,34.67,2.67,81.46,87.63,92.31,-4.68,-1.62
"Semyon Varlamov","2021-12-05","2021020377","20212022","NYI","CHI","1","G",63.7,98,2.14,27.95,40.98,2.77,92.35,94.78,93.23,1.55,0.63
"Semyon Varlamov","2021-12-09","2021020404","20212022","NYI","NSH","1","G",59.8,99.67,4.15,29.25,40.4,3.29,85.83,89.74,91.86,-2.13,-0.86
"Semyon Varlamov","2021-12-16","2021020458","20212022","NYI","BOS","1","G",60,100,1.01,38.87,48.4,2.95,97.4,97.91,93.9,4.01,1.94
"Semyon Varlamov","2021-12-30","2021020553","20212022","NYI","BUF","1","G",59.23,98.72,1.01,35.94,40.67,2.72,97.2,97.53,93.32,4.2,1.71
"Semyon Varlamov","2022-01-15","2021020670","20212022","NYI","WSH","1","G",58.05,96.75,1.06,38.7,46.87,2.77,97.26,97.74,94.09,3.65,1.71
"Semyon Varlamov","2022-01-18","2021020340","20212022","NYI","PHI","0","G",65,100,2.75,32.59,43.15,2.82,91.57,93.63,93.46,0.17,0.07
"Semyon Varlamov","2022-01-22","2021021211","20212022","NYI","TOR","1","G",57.9,96.5,3.21,25.15,31.05,2.6,87.24,89.66,91.63,-1.96,-0.61
"Semyon Varlamov","2022-01-27","2021020761","20212022","NYI","L.A","1","G",58.05,96.75,2.13,32.34,45.95,3.73,93.41,95.36,91.88,3.48,1.6
"Semyon Varlamov","2022-02-02","2021020777","20212022","NYI","SEA","1","G",58.27,97.11,2.13,31.34,42.32,2.5,93.2,94.96,94.09,0.87,0.37
"Semyon Varlamov","2022-02-26","2021020837","20212022","NYI","L.A","0","G",59.28,98.81,3.91,37.49,55.66,3.71,89.57,92.98,93.33,-0.35,-0.2
"Semyon Varlamov","2022-03-03","2021020866","20212022","NYI","VAN","1","G",58.12,96.86,4.15,39.23,51.16,2.96,89.43,91.9,94.21,-2.31,-1.18
"Semyon Varlamov","2022-03-07","2021020900","20212022","NYI","COL","1","G",57,95,5.28,51.41,64.78,3.94,89.73,91.85,93.91,-2.06,-1.34
"Semyon Varlamov","2022-03-11","2021020928","20212022","NYI","WPG","1","G",60,100,2.02,27.73,40.22,3.9,92.7,94.97,90.3,4.66,1.88
"Semyon Varlamov","2022-03-15","2021020956","20212022","NYI","WSH","0","G",64.85,99.77,2.83,31.32,44.92,2.85,90.97,93.7,93.66,0.04,0.02
"Semyon Varlamov","2022-03-19","2021020985","20212022","NYI","DAL","1","G",60,100,2.02,38.46,48.65,3.37,94.74,95.84,93.07,2.77,1.35
"Semyon Varlamov","2022-03-22","2021021021","20212022","NYI","OTT","1","G",59.63,99.39,0,24.53,29.71,2.21,100,100,92.56,7.44,2.21
"Semyon Varlamov","2022-03-26","2021021034","20212022","NYI","BOS","0","G",60,100,5.89,46.56,66.65,5.13,87.35,91.16,92.3,-1.14,-0.76
"Semyon Varlamov","2022-03-27","2021021048","20212022","NYI","T.B","1","G",20,33.33,2.14,15.91,18.38,2.63,86.54,88.34,85.68,2.67,0.49
"Semyon Varlamov","2022-03-29","2021021063","20212022","NYI","CBJ","0","G",60,100,2.82,41.77,51.98,3.04,93.25,94.57,94.15,0.42,0.22
"Semyon Varlamov","2022-03-31","2021021077","20212022","NYI","CBJ","1","G",59.65,99.42,2.02,31.14,41.71,2.5,93.5,95.15,94.01,1.14,0.47
"Semyon Varlamov","2022-04-01","2021021086","20212022","NYI","NYR","0","G",60,100,0,23.9,34.41,1.85,100,100,94.61,5.39,1.85
"Semyon Varlamov","2022-04-05","2021021121","20212022","NYI","DAL","0","G",57.93,96.56,2.82,39.96,49.95,3.55,92.94,94.35,92.9,1.45,0.73
"Semyon Varlamov","2022-04-09","2021021147","20212022","NYI","STL","0","G",60,100,5.88,32.82,49.79,4.21,82.07,88.18,91.55,-3.37,-1.68
"Semyon Varlamov","2022-04-21","2021021237","20212022","NYI","NYR","1","G",59.55,99.25,6.54,26.07,33.16,2.89,74.91,80.28,91.28,-11.01,-3.65
"Semyon Varlamov","2022-04-24","2021021262","20212022","NYI","CAR","1","G",58.85,98.08,3.31,35.04,50.51,2.76,90.57,93.46,94.53,-1.07,-0.54
"Semyon Varlamov","2022-04-28","2021020513","20212022","NYI","WSH","1","G",60,100,1.01,25.58,42.58,2.67,96.04,97.62,93.74,3.89,1.66
"Semyon Varlamov","Total","-","21-22","NYI","-","-","G",57.82,95.59,88.62,1001.6,1344.28,92.32,91.15,93.41,93.13,0.28,3.71
