"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Sergei Bobrovsky","2021-10-14","2021020010","20212022","FLA","PIT","1","G",61.32,99.51,4.14,47.89,60.91,4.99,91.35,93.2,91.8,1.4,0.85
"Sergei Bobrovsky","2021-10-16","2021020025","20212022","FLA","NYI","1","G",60,100,1.01,28.83,41.53,2.09,96.51,97.58,94.97,2.61,1.08
"Sergei Bobrovsky","2021-10-21","2021020055","20212022","FLA","COL","1","G",60,100,1.01,30.57,36.92,2.52,96.69,97.26,93.18,4.08,1.51
"Sergei Bobrovsky","2021-10-23","2021020070","20212022","FLA","PHI","0","G",59.95,99.92,1.8,27.49,37.88,2.85,93.46,95.25,92.49,2.76,1.05
"Sergei Bobrovsky","2021-10-27","2021020097","20212022","FLA","BOS","1","G",60,100,1.06,31.52,41.6,3.72,96.63,97.45,91.06,6.39,2.66
"Sergei Bobrovsky","2021-10-29","2021020111","20212022","FLA","DET","0","G",63.48,100,1.88,27.53,37.45,3.27,93.19,94.99,91.27,3.72,1.39
"Sergei Bobrovsky","2021-11-04","2021020152","20212022","FLA","WSH","1","G",20,32.3,0,12.53,16.52,0.97,100,100,94.13,5.87,0.97
"Sergei Bobrovsky","2021-11-11","2021020200","20212022","FLA","PIT","0","G",65,100,1.89,30,39.53,2.84,93.7,95.22,92.8,2.41,0.95
"Sergei Bobrovsky","2021-11-13","2021020214","20212022","FLA","T.B","0","G",62.22,100,2.95,23.71,32.55,2.55,87.54,90.93,92.16,-1.23,-0.4
"Sergei Bobrovsky","2021-11-16","2021020233","20212022","FLA","NYI","1","G",60,100,1.01,26.43,32.2,1.81,96.17,96.86,94.39,2.47,0.79
"Sergei Bobrovsky","2021-11-20","2021020265","20212022","FLA","MIN","1","G",60,100,3.96,38,42.64,3.74,89.59,90.72,91.22,-0.5,-0.21
"Sergei Bobrovsky","2021-11-24","2021020292","20212022","FLA","PHI","1","G",62.65,100,1.06,35.86,40.21,3.03,97.04,97.36,92.46,4.9,1.97
"Sergei Bobrovsky","2021-11-26","2021020309","20212022","FLA","WSH","0","G",45.15,75.25,2.79,21.59,29.41,1.92,87.09,90.52,93.49,-2.96,-0.87
"Sergei Bobrovsky","2021-11-30","2021020338","20212022","FLA","WSH","1","G",59.88,99.81,4.27,30.41,39.52,2.61,85.95,89.19,93.4,-4.22,-1.67
"Sergei Bobrovsky","2021-12-02","2021020354","20212022","FLA","BUF","1","G",31.22,52.03,4.27,13.59,20.72,1.23,68.55,79.37,94.06,-14.69,-3.04
"Sergei Bobrovsky","2021-12-04","2021020370","20212022","FLA","STL","1","G",64.3,98.92,3.2,26.94,29.19,2.52,88.11,89.02,91.35,-2.33,-0.68
"Sergei Bobrovsky","2021-12-10","2021020416","20212022","FLA","ARI","0","G",59.8,99.67,0.87,20.72,30.5,1.78,95.82,97.16,94.15,3.01,0.92
"Sergei Bobrovsky","2021-12-12","2021020433","20212022","FLA","COL","0","G",57.68,96.14,2.87,25.64,33.41,1.89,88.82,91.42,94.33,-2.91,-0.97
"Sergei Bobrovsky","2021-12-16","2021020456","20212022","FLA","L.A","1","G",57.85,96.42,4.22,33.38,43.64,1.83,87.37,90.34,95.81,-5.47,-2.39
"Sergei Bobrovsky","2021-12-29","2021020544","20212022","FLA","NYR","1","G",60,100,3.09,35.54,43.33,4.1,91.3,92.87,90.54,2.33,1.01
"Sergei Bobrovsky","2022-01-01","2021020568","20212022","FLA","MTL","1","G",59.93,99.89,2.09,31.05,35.22,3.1,93.26,94.05,91.2,2.85,1
"Sergei Bobrovsky","2022-01-04","2021020589","20212022","FLA","CGY","1","G",60,100,2.07,47.47,52.53,5.13,95.63,96.05,90.24,5.81,3.05
"Sergei Bobrovsky","2022-01-06","2021020605","20212022","FLA","DAL","0","G",62.78,96.59,4.63,34.66,45.43,3.07,86.64,89.8,93.24,-3.44,-1.56
"Sergei Bobrovsky","2022-01-08","2021020617","20212022","FLA","CAR","0","G",62.88,100,2.74,25.15,36.95,2.68,89.1,92.58,92.73,-0.15,-0.06
"Sergei Bobrovsky","2022-01-11","2021020638","20212022","FLA","VAN","1","G",60,100,2.02,41.51,45.34,3.7,95.12,95.54,91.84,3.69,1.67
"Sergei Bobrovsky","2022-01-14","2021020661","20212022","FLA","DAL","1","G",59.67,99.44,1.01,28.1,34.56,2.98,96.4,97.07,91.37,5.7,1.97
"Sergei Bobrovsky","2022-01-15","2021020669","20212022","FLA","CBJ","1","G",60,100,2.02,27.77,32.44,1.64,92.73,93.78,94.95,-1.17,-0.38
"Sergei Bobrovsky","2022-01-20","2021020709","20212022","FLA","EDM","0","G",60,100,0,36.84,55,3.47,100,100,93.69,6.31,3.47
"Sergei Bobrovsky","2022-01-23","2021020736","20212022","FLA","SEA","0","G",57.7,96.17,3.82,26.98,42.27,3.02,85.85,90.97,92.86,-1.89,-0.8
"Sergei Bobrovsky","2022-01-25","2021020749","20212022","FLA","WPG","0","G",59.75,99.58,2.74,31.81,40.94,2.95,91.38,93.3,92.8,0.5,0.2
"Sergei Bobrovsky","2022-01-29","2021020776","20212022","FLA","S.J","1","G",61.13,100,4.5,37.77,44.65,3.68,88.09,89.93,91.75,-1.82,-0.81
"Sergei Bobrovsky","2022-01-31","2021020793","20212022","FLA","CBJ","0","G",60,100,3.74,31.36,37.31,2.83,88.06,89.97,92.41,-2.44,-0.91
"Sergei Bobrovsky","2022-02-16","2021020527","20212022","FLA","CAR","0","G",58.55,97.15,1.89,17.55,28.4,2.07,89.23,93.35,92.71,0.64,0.18
"Sergei Bobrovsky","2022-02-18","2021020476","20212022","FLA","MIN","0","G",60,100,1.97,23.87,29.3,1.37,91.76,93.29,95.32,-2.03,-0.6
"Sergei Bobrovsky","2022-02-20","2021020498","20212022","FLA","CHI","0","G",60,100,1.8,22.06,31.1,1.3,91.82,94.2,95.84,-1.64,-0.51
"Sergei Bobrovsky","2022-02-22","2021020511","20212022","FLA","NSH","1","G",57,95,5.12,32.24,38.27,3.22,84.12,86.62,91.58,-4.95,-1.9
"Sergei Bobrovsky","2022-02-26","2021020831","20212022","FLA","EDM","1","G",56.22,93.69,4.22,23.35,27.76,1.93,81.92,84.8,93.06,-8.27,-2.3
"Sergei Bobrovsky","2022-03-03","2021020865","20212022","FLA","OTT","1","G",59.85,99.75,0,17.52,27.24,2.2,100,100,91.91,8.09,2.2
"Sergei Bobrovsky","2022-03-05","2021020881","20212022","FLA","DET","1","G",60,100,2.02,23.38,28.09,2.39,91.34,92.79,91.49,1.3,0.37
"Sergei Bobrovsky","2022-03-08","2021020906","20212022","FLA","PIT","0","G",60,100,2.91,32.16,43.89,2.45,90.96,93.37,94.42,-1.04,-0.46
"Sergei Bobrovsky","2022-03-10","2021020920","20212022","FLA","PHI","1","G",59.6,99.33,3.03,35.16,41.93,3.36,91.38,92.77,91.98,0.8,0.33
"Sergei Bobrovsky","2022-03-26","2021021036","20212022","FLA","OTT","0","G",64.17,98.72,2.92,22.44,40.01,3.36,86.98,92.7,91.61,1.09,0.44
"Sergei Bobrovsky","2022-03-29","2021021061","20212022","FLA","MTL","1","G",59.05,98.42,4.1,24.92,29.84,2.85,83.56,86.27,90.45,-4.18,-1.25
"Sergei Bobrovsky","2022-03-31","2021021076","20212022","FLA","CHI","1","G",60,100,0,35.75,55.31,4.68,100,100,91.55,8.45,4.68
"Sergei Bobrovsky","2022-04-02","2021021092","20212022","FLA","N.J","0","G",40,64.78,5.89,26.5,31.91,1.97,77.77,81.54,93.81,-12.28,-3.92
"Sergei Bobrovsky","2022-04-05","2021021116","20212022","FLA","TOR","1","G",21.95,34.96,4.34,14.3,23.73,1.94,69.68,81.72,91.83,-10.1,-2.4
"Sergei Bobrovsky","2022-04-08","2021021138","20212022","FLA","BUF","1","G",60,100,3.21,23.95,35.91,1.91,86.6,91.06,94.67,-3.61,-1.3
"Sergei Bobrovsky","2022-04-12","2021021167","20212022","FLA","ANA","1","G",63.68,100,2.12,25.58,34.53,2.01,91.7,93.85,94.18,-0.33,-0.11
"Sergei Bobrovsky","2022-04-15","2021021194","20212022","FLA","WPG","1","G",60,100,1.01,29,37.21,2.99,96.51,97.28,91.97,5.31,1.97
"Sergei Bobrovsky","2022-04-19","2021021223","20212022","FLA","NYI","0","G",60.17,99.72,1.88,25.58,36.19,3.26,92.66,94.81,91,3.81,1.38
"Sergei Bobrovsky","2022-04-21","2021021235","20212022","FLA","DET","1","G",59.97,99.94,2.07,29.47,34.61,2.85,92.97,94.01,91.75,2.26,0.78
"Sergei Bobrovsky","2022-04-23","2021021253","20212022","FLA","TOR","1","G",62.43,100,2.13,39.21,54.52,5.13,94.56,96.09,90.58,5.51,3
"Sergei Bobrovsky","2022-04-24","2021021260","20212022","FLA","T.B","1","G",27.02,45.03,3.44,19.02,28.68,2.49,81.93,88.02,91.32,-3.3,-0.95
"Sergei Bobrovsky","2022-04-26","2021021272","20212022","FLA","BOS","0","G",58.03,96.72,2.83,37.36,53.15,3.53,92.43,94.68,93.36,1.32,0.7
"Sergei Bobrovsky","Total","-","21-22","FLA","-","-","G",57.07,93.76,137.64,1549.02,2023.85,149.78,91.11,93.2,92.6,0.6,12.14
