"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Spencer Knight","2021-10-19","2021020042","20212022","FLA","T.B","0","G",59.52,99.19,0.94,28.55,38.61,2.43,96.71,97.57,93.7,3.87,1.49
"Spencer Knight","2021-10-25","2021020085","20212022","FLA","ARI","1","G",60,100,3.08,19.94,25.9,1.23,84.53,88.09,95.23,-7.14,-1.85
"Spencer Knight","2021-10-30","2021020117","20212022","FLA","BOS","0","G",65,100,1.81,31.76,36.36,2.3,94.3,95.02,93.68,1.34,0.49
"Spencer Knight","2021-11-04","2021020152","20212022","FLA","WSH","1","G",41.92,67.7,4.05,28.21,31.06,2.29,85.65,86.97,92.61,-5.65,-1.75
"Spencer Knight","2021-11-06","2021020166","20212022","FLA","CAR","1","G",59.85,99.75,2.02,30.08,44.21,3.13,93.29,95.44,92.91,2.53,1.12
"Spencer Knight","2021-11-08","2021020180","20212022","FLA","NYR","0","G",58.62,97.69,3.79,18.34,30.17,2.25,79.36,87.45,92.54,-5.09,-1.54
"Spencer Knight","2021-11-09","2021020186","20212022","FLA","N.J","0","G",58.47,97.44,5.68,29.21,45,2.41,80.57,87.39,94.65,-7.26,-3.27
"Spencer Knight","2021-11-18","2021020251","20212022","FLA","N.J","1","G",59.68,99.47,1.06,45.88,49.95,3.36,97.69,97.88,93.28,4.6,2.3
"Spencer Knight","2021-11-26","2021020309","20212022","FLA","WSH","0","G",11.77,19.61,0.99,7.27,9.34,0.43,86.41,89.42,95.43,-6.02,-0.56
"Spencer Knight","2021-11-27","2021020318","20212022","FLA","SEA","1","G",59.4,99,3.21,28.86,35.93,3.35,88.88,91.07,90.69,0.38,0.14
"Spencer Knight","2021-12-02","2021020354","20212022","FLA","BUF","1","G",28.73,47.89,0,18.98,22.31,1.48,100,100,93.38,6.62,1.48
"Spencer Knight","2021-12-07","2021020394","20212022","FLA","STL","0","G",60.88,100,3.78,28.35,37.47,2.08,86.66,89.91,94.46,-4.55,-1.7
"Spencer Knight","2021-12-14","2021020440","20212022","FLA","OTT","1","G",60,100,8.88,43.32,49.16,4.78,79.5,81.94,90.28,-8.35,-4.1
"Spencer Knight","2021-12-30","2021020552","20212022","FLA","T.B","1","G",60,100,3.03,39.75,49.25,3.21,92.38,93.85,93.48,0.37,0.18
"Spencer Knight","2022-01-18","2021020698","20212022","FLA","CGY","0","G",59.93,99.89,4.89,32.8,40.18,2.76,85.09,87.83,93.12,-5.3,-2.13
"Spencer Knight","2022-01-21","2021020718","20212022","FLA","VAN","0","G",64.95,99.92,0.93,28.12,38.17,2.13,96.68,97.56,94.41,3.14,1.2
"Spencer Knight","2022-01-27","2021020760","20212022","FLA","VGK","1","G",59.87,99.78,1.06,25.25,37.44,2.25,95.8,97.17,94,3.17,1.19
"Spencer Knight","2022-02-01","2021020800","20212022","FLA","NYR","0","G",57.27,95.44,3.81,33.9,43.64,3.17,88.76,91.27,92.73,-1.46,-0.64
"Spencer Knight","2022-03-07","2021020899","20212022","FLA","BUF","0","G",60,100,0.94,26.52,37.58,1.91,96.46,97.5,94.9,2.6,0.98
"Spencer Knight","2022-03-13","2021020951","20212022","FLA","L.A","0","G",64.75,99.62,1.98,34.74,51.76,3.28,94.31,96.18,93.67,2.51,1.3
"Spencer Knight","2022-03-15","2021020963","20212022","FLA","S.J","0","G",61.18,100,1.88,26.32,33.18,2.48,92.86,94.34,92.51,1.83,0.61
"Spencer Knight","2022-03-17","2021020975","20212022","FLA","VGK","0","G",58.72,97.86,3.82,31.62,44.52,3.55,87.91,91.42,92.04,-0.62,-0.28
"Spencer Knight","2022-03-18","2021020981","20212022","FLA","ANA","0","G",60,100,0,15.03,22.77,1.36,100,100,94.02,5.98,1.36
"Spencer Knight","2022-03-24","2021021020","20212022","FLA","MTL","0","G",60,100,2.9,28.73,36.92,3.76,89.89,92.14,89.82,2.32,0.86
"Spencer Knight","2022-03-27","2021021046","20212022","FLA","TOR","0","G",55.85,93.08,3.73,23.84,34.06,2.26,84.34,89.04,93.36,-4.32,-1.47
"Spencer Knight","2022-04-02","2021021092","20212022","FLA","N.J","0","G",20.63,33.41,0,6.32,7.42,0.28,100,100,96.19,3.81,0.28
"Spencer Knight","2022-04-03","2021021100","20212022","FLA","BUF","0","G",60,100,2.68,27.37,37.32,2.02,90.22,92.83,94.59,-1.77,-0.66
"Spencer Knight","2022-04-05","2021021116","20212022","FLA","TOR","1","G",40.72,64.85,2.08,22.4,37.3,2.42,90.73,94.43,93.5,0.93,0.35
"Spencer Knight","2022-04-09","2021021148","20212022","FLA","NSH","0","G",59.8,99.67,0.94,23.62,37.67,2.22,96.03,97.51,94.11,3.4,1.28
"Spencer Knight","2022-04-17","2021021210","20212022","FLA","DET","0","G",59.42,99.03,0.94,31.07,39.22,3.23,96.98,97.61,91.77,5.83,2.29
"Spencer Knight","2022-04-24","2021021260","20212022","FLA","T.B","1","G",32.98,54.97,5.36,18.9,25.02,2.2,71.65,78.59,91.2,-12.62,-3.16
"Spencer Knight","2022-04-28","2021021291","20212022","FLA","OTT","0","G",60,100,0,24.22,32.81,2.52,100,100,92.31,7.69,2.52
"Spencer Knight","Total","-","21-22","FLA","-","-","G",54.37,89.52,80.25,859.26,1141.71,78.53,90.66,92.97,93.12,-0.15,-1.71
