"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Stuart Skinner","2021-11-09","2021020184","20212022","EDM","DET","0","G",58.33,97.22,2.92,39.09,50.28,5.4,92.53,94.19,89.26,4.93,2.48
"Stuart Skinner","2021-11-12","2021020206","20212022","EDM","BUF","0","G",57.8,96.33,2.83,22.42,26.36,1.66,87.38,89.27,93.71,-4.44,-1.17
"Stuart Skinner","2021-11-16","2021020241","20212022","EDM","WPG","0","G",19.03,31.72,0,8.61,11.83,0.73,100,100,93.87,6.13,0.73
"Stuart Skinner","2021-11-18","2021020255","20212022","EDM","WPG","1","G",64.7,99.54,1.06,49.14,59.62,3.7,97.84,98.22,93.79,4.43,2.64
"Stuart Skinner","2021-11-20","2021020269","20212022","EDM","CHI","1","G",59.8,99.67,2.02,29.31,38.84,2.01,93.09,94.79,94.82,-0.03,-0.01
"Stuart Skinner","2021-11-23","2021020288","20212022","EDM","DAL","0","G",60,100,3.9,34.81,46.37,3.25,88.79,91.58,93,-1.42,-0.66
"Stuart Skinner","2021-12-03","2021020366","20212022","EDM","SEA","0","G",58.08,96.81,3.82,35.03,46.4,2.36,89.09,91.76,94.91,-3.15,-1.46
"Stuart Skinner","2021-12-09","2021020408","20212022","EDM","BOS","1","G",57.72,96.19,3.32,32.24,41.29,2.16,89.7,91.96,94.77,-2.81,-1.16
"Stuart Skinner","2021-12-16","2021020463","20212022","EDM","CBJ","1","G",60,100,2.02,35.8,44.97,3.97,94.35,95.5,91.16,4.34,1.95
"Stuart Skinner","2021-12-18","2021020480","20212022","EDM","SEA","0","G",60,100,2.87,16.64,24.52,1.49,82.75,88.29,93.92,-5.63,-1.38
"Stuart Skinner","2022-01-15","2021020635","20212022","EDM","OTT","1","G",58.92,98.19,5.24,25.58,35.89,2.62,79.52,85.4,92.71,-7.31,-2.62
"Stuart Skinner","2022-01-29","2021020772","20212022","EDM","MTL","0","G",60,100,1.8,20.12,28.02,1.86,91.03,93.56,93.38,0.19,0.05
"Stuart Skinner","2022-02-14","2021020522","20212022","EDM","S.J","0","G",59.77,99.61,0,17.93,21.38,1.63,100,100,92.37,7.63,1.63
"Stuart Skinner","Total","-","21-22","EDM","-","-","G",56.47,93.52,31.82,366.73,475.77,32.83,91.32,93.31,93.1,0.21,1.02
