"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Thatcher Demko","2021-10-13","2021020006","20212022","VAN","EDM","0","G",65,100,1.94,34.68,45.69,3.65,94.41,95.76,92.02,3.73,1.71
"Thatcher Demko","2021-10-15","2021020018","20212022","VAN","PHI","0","G",64.17,98.72,3.95,32.97,44.46,2.71,88.02,91.12,93.9,-2.78,-1.23
"Thatcher Demko","2021-10-19","2021020039","20212022","VAN","BUF","0","G",59.27,98.78,3.81,40.24,50.43,2.75,90.53,92.45,94.55,-2.1,-1.06
"Thatcher Demko","2021-10-21","2021020058","20212022","VAN","CHI","0","G",60,100,0.87,27.63,33.96,2.37,96.87,97.45,93.01,4.44,1.51
"Thatcher Demko","2021-10-23","2021020078","20212022","VAN","SEA","0","G",59.67,99.44,1.89,30.61,50.31,2.59,93.83,96.24,94.85,1.39,0.7
"Thatcher Demko","2021-10-26","2021020094","20212022","VAN","MIN","1","G",58.77,97.94,3.2,33.1,38.83,2.7,90.32,91.75,93.06,-1.31,-0.51
"Thatcher Demko","2021-10-30","2021020124","20212022","VAN","EDM","1","G",55.87,93.11,2.26,37.65,51.2,3.74,94,95.59,92.69,2.9,1.48
"Thatcher Demko","2021-11-02","2021020141","20212022","VAN","NYR","1","G",61.42,98.48,2.26,27.19,35.76,2.04,91.69,93.68,94.29,-0.62,-0.22
"Thatcher Demko","2021-11-05","2021020159","20212022","VAN","NSH","1","G",57.98,96.64,3.17,30.13,39.83,2.99,89.49,92.05,92.5,-0.45,-0.18
"Thatcher Demko","2021-11-07","2021020177","20212022","VAN","DAL","1","G",60,100,3.1,27.84,36.2,2.58,88.88,91.45,92.87,-1.42,-0.51
"Thatcher Demko","2021-11-11","2021020203","20212022","VAN","COL","0","G",40,66.67,5.88,27.69,35.43,2.3,78.77,83.41,93.51,-10.1,-3.58
"Thatcher Demko","2021-11-13","2021020222","20212022","VAN","VGK","0","G",60,100,6.56,37.15,46.72,4.93,82.34,85.96,89.46,-3.5,-1.64
"Thatcher Demko","2021-11-17","2021020244","20212022","VAN","COL","1","G",58.35,97.25,3.17,31.11,45.09,2.24,89.8,92.96,95.03,-2.07,-0.93
"Thatcher Demko","2021-11-19","2021020259","20212022","VAN","WPG","1","G",59.48,99.14,1.98,37.81,45.52,2.56,94.76,95.65,94.38,1.27,0.58
"Thatcher Demko","2021-11-21","2021020278","20212022","VAN","CHI","1","G",58.37,97.28,1.06,25.52,31.93,1.83,95.84,96.68,94.28,2.4,0.76
"Thatcher Demko","2021-11-24","2021020295","20212022","VAN","PIT","0","G",58.75,97.92,2.91,36.61,44.87,3.32,92.05,93.52,92.61,0.91,0.41
"Thatcher Demko","2021-11-26","2021020310","20212022","VAN","CBJ","0","G",58.28,97.14,2.82,20.05,29,1.09,85.92,90.26,96.23,-5.97,-1.73
"Thatcher Demko","2021-11-29","2021020334","20212022","VAN","MTL","0","G",59.62,99.36,0.94,31.07,39.91,2.17,96.98,97.65,94.57,3.08,1.23
"Thatcher Demko","2021-12-01","2021020347","20212022","VAN","OTT","0","G",60,100,1.8,18.69,26.64,1.77,90.35,93.23,93.35,-0.12,-0.03
"Thatcher Demko","2021-12-04","2021020376","20212022","VAN","PIT","1","G",57.98,96.64,4.45,48.11,61.04,4.31,90.75,92.71,92.94,-0.23,-0.14
"Thatcher Demko","2021-12-06","2021020386","20212022","VAN","L.A","1","G",59.87,99.78,0,30.21,38.21,1.72,100,100,95.51,4.49,1.72
"Thatcher Demko","2021-12-08","2021020400","20212022","VAN","BOS","1","G",64.75,99.62,1.07,36.52,48.06,3.91,97.06,97.76,91.86,5.9,2.84
"Thatcher Demko","2021-12-10","2021020417","20212022","VAN","WPG","1","G",64.93,99.9,3.03,37.43,50.45,4.46,91.91,93.99,91.15,2.84,1.43
"Thatcher Demko","2021-12-12","2021020434","20212022","VAN","CAR","1","G",60,100,1.01,28.35,39.99,2.45,96.43,97.47,93.88,3.59,1.43
"Thatcher Demko","2021-12-16","2021020464","20212022","VAN","S.J","0","G",60,100,1.88,33.11,40.36,2.28,94.33,95.35,94.36,0.99,0.4
"Thatcher Demko","2021-12-29","2021020550","20212022","VAN","ANA","0","G",60.43,100,0.94,22.86,45.36,2.45,95.87,97.92,94.6,3.32,1.51
"Thatcher Demko","2022-01-01","2021020574","20212022","VAN","SEA","0","G",60,100,1.88,28.74,33.86,1.92,93.47,94.46,94.33,0.13,0.04
"Thatcher Demko","2022-01-11","2021020638","20212022","VAN","FLA","0","G",58,96.67,4.91,27.66,42.59,2.43,82.25,88.47,94.3,-5.82,-2.48
"Thatcher Demko","2022-01-13","2021020652","20212022","VAN","T.B","0","G",58.82,98.03,2.87,20.41,28.43,2.35,85.96,89.92,91.75,-1.83,-0.52
"Thatcher Demko","2022-01-15","2021020672","20212022","VAN","CAR","0","G",59.98,99.97,3.85,34.26,49.98,3.61,88.75,92.29,92.77,-0.48,-0.24
"Thatcher Demko","2022-01-16","2021020680","20212022","VAN","WSH","0","G",60,100,1.8,30.66,40.06,3.02,94.13,95.51,92.47,3.04,1.22
"Thatcher Demko","2022-01-18","2021020696","20212022","VAN","NSH","0","G",59.72,99.53,0.93,30.67,42.08,2.73,96.96,97.78,93.52,4.27,1.8
"Thatcher Demko","2022-01-29","2021020781","20212022","VAN","CGY","0","G",60.38,99.83,1.03,30.76,51.79,2.16,96.64,98.01,95.83,2.17,1.13
"Thatcher Demko","2022-02-01","2021020803","20212022","VAN","NSH","0","G",57.37,95.61,3.8,28.26,42.64,2.67,86.54,91.08,93.73,-2.65,-1.13
"Thatcher Demko","2022-02-08","2021020487","20212022","VAN","ARI","1","G",59.82,99.69,1.01,35.04,41.84,2.39,97.11,97.58,94.3,3.29,1.37
"Thatcher Demko","2022-02-09","2021020598","20212022","VAN","NYI","1","G",43.68,72.81,1.07,17.67,25.97,1.64,93.94,95.88,93.69,2.19,0.57
"Thatcher Demko","2022-02-12","2021020479","20212022","VAN","TOR","1","G",60,100,2.01,50.88,69.94,4.4,96.05,97.12,93.71,3.41,2.39
"Thatcher Demko","2022-02-17","2021020502","20212022","VAN","S.J","0","G",62.27,99.39,3.7,25.66,38.7,2.33,85.57,90.43,93.98,-3.55,-1.37
"Thatcher Demko","2022-02-19","2021020520","20212022","VAN","ANA","1","G",24.33,40.56,5.57,16.51,21.33,1.64,66.28,73.89,92.33,-18.44,-3.93
"Thatcher Demko","2022-02-21","2021020534","20212022","VAN","SEA","1","G",60,100,2.09,26.89,32.81,1.94,92.23,93.63,94.1,-0.47,-0.15
"Thatcher Demko","2022-02-24","2021020820","20212022","VAN","CGY","1","G",60,100,1.01,29.17,42.31,2.66,96.53,97.61,93.71,3.9,1.65
"Thatcher Demko","2022-02-27","2021020839","20212022","VAN","NYR","0","G",60,100,1.88,29.57,45.97,3.05,93.66,95.92,93.37,2.55,1.17
"Thatcher Demko","2022-02-28","2021020847","20212022","VAN","N.J","0","G",33.68,56.14,0.99,20.74,25.16,2.16,95.24,96.07,91.42,4.66,1.17
"Thatcher Demko","2022-03-03","2021020866","20212022","VAN","NYI","0","G",60,100,2.83,26.07,36.55,1.68,89.15,92.26,95.4,-3.13,-1.15
"Thatcher Demko","2022-03-05","2021020880","20212022","VAN","TOR","0","G",60,100,3.69,36.03,59.5,3.48,89.77,93.8,94.16,-0.35,-0.21
"Thatcher Demko","2022-03-09","2021020914","20212022","VAN","MTL","1","G",59.93,99.89,3.04,25.31,37.49,2.09,87.98,91.89,94.43,-2.54,-0.95
