"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Thomas Greiss","2021-10-16","2021020024","20212022","DET","VAN","1","G",59.97,99.94,1.01,40.27,51.08,3.67,97.49,98.02,92.81,5.21,2.66
"Thomas Greiss","2021-10-19","2021020041","20212022","DET","CBJ","1","G",59.9,99.83,1.01,23.41,38.67,2.41,95.7,97.4,93.76,3.64,1.41
"Thomas Greiss","2021-10-23","2021020066","20212022","DET","MTL","0","G",29.98,49.97,4.84,17.51,22.49,1.52,72.39,78.5,93.22,-14.72,-3.31
"Thomas Greiss","2021-10-27","2021020098","20212022","DET","WSH","0","G",61.6,99.97,1.93,27.45,39.23,3.5,92.98,95.09,91.06,4.02,1.58
"Thomas Greiss","2021-10-30","2021020118","20212022","DET","TOR","0","G",58.53,97.56,4.84,37.93,49.67,3.1,87.24,90.25,93.77,-3.52,-1.75
"Thomas Greiss","2021-11-04","2021020148","20212022","DET","BOS","0","G",60,100,4.9,38.77,55.42,3.03,87.35,91.15,94.53,-3.37,-1.87
"Thomas Greiss","2021-11-07","2021020174","20212022","DET","VGK","1","G",59.42,99.03,2.07,39.06,51.41,4.3,94.69,95.97,91.63,4.34,2.23
"Thomas Greiss","2021-11-11","2021020198","20212022","DET","WSH","1","G",57.67,96.11,2.13,33.36,49.62,2.77,93.61,95.7,94.41,1.29,0.64
"Thomas Greiss","2021-11-15","2021020231","20212022","DET","CBJ","0","G",58.93,98.22,3.76,34.3,44.22,3.08,89.04,91.5,93.04,-1.54,-0.68
"Thomas Greiss","2021-11-18","2021020257","20212022","DET","VGK","0","G",40,66.67,3.91,22.18,28.23,2.09,82.37,86.15,92.59,-6.43,-1.82
"Thomas Greiss","2021-12-01","2021020348","20212022","DET","SEA","1","G",64.73,99.59,3.08,24.47,35.84,2.09,87.42,91.41,94.17,-2.76,-0.99
"Thomas Greiss","2021-12-09","2021020406","20212022","DET","STL","0","G",16.42,27.36,1.98,7.56,9.76,0.63,73.87,79.75,93.54,-13.79,-1.35
"Thomas Greiss","2021-12-10","2021020415","20212022","DET","COL","0","G",10.82,18.03,2.92,7.1,11.21,0.45,58.88,73.95,95.98,-22.03,-2.47
"Thomas Greiss","2021-12-18","2021020472","20212022","DET","N.J","1","G",60,100,2.02,32.32,44.22,2,93.76,95.44,95.47,-0.04,-0.02
"Thomas Greiss","2021-12-31","2021020560","20212022","DET","WSH","1","G",58.32,97.19,2.09,26.49,36.77,2.39,92.12,94.32,93.51,0.81,0.3
"Thomas Greiss","2022-01-09","2021020609","20212022","DET","ANA","0","G",65,100,2.82,26.57,37.4,2.1,89.4,92.47,94.38,-1.91,-0.71
"Thomas Greiss","2022-02-12","2021020811","20212022","DET","PHI","1","G",60,100,2.02,32.83,52.25,3.98,93.85,96.14,92.38,3.76,1.96
"Thomas Greiss","2022-02-17","2021020525","20212022","DET","NYR","0","G",65,100,1.8,35.98,45.92,3.19,94.99,96.07,93.04,3.03,1.39
"Thomas Greiss","2022-02-23","2021020490","20212022","DET","COL","1","G",57.67,96.11,4.27,34.22,53.94,3.39,87.51,92.08,93.71,-1.64,-0.88
"Thomas Greiss","2022-02-26","2021021275","20212022","DET","TOR","1","G",28.9,48.17,4.28,16.52,20.18,0.78,74.07,78.77,96.11,-17.34,-3.5
"Thomas Greiss","2022-03-05","2021020881","20212022","DET","FLA","0","G",31.02,51.69,4.85,23.64,33.09,2.42,79.49,85.35,92.7,-7.35,-2.43
"Thomas Greiss","2022-03-08","2021020903","20212022","DET","ARI","1","G",3.75,6.25,2.14,3.57,3.59,0.23,40.05,40.35,93.7,-53.35,-1.92
"Thomas Greiss","2022-03-12","2021020939","20212022","DET","CGY","0","G",58.28,97.14,2.92,44.2,60.72,2.77,93.4,95.2,95.43,-0.23,-0.14
"Thomas Greiss","2022-03-15","2021020960","20212022","DET","EDM","0","G",4.58,7.64,2.92,6.17,6.17,0.34,52.67,52.63,94.41,-41.78,-2.58
"Thomas Greiss","2022-03-24","2021020545","20212022","DET","NYI","0","G",40,66.67,2.93,17.01,26.68,1.95,82.79,89.03,92.69,-3.66,-0.98
"Thomas Greiss","2022-04-03","2021021101","20212022","DET","OTT","0","G",59.07,98.44,2.86,34.15,45.94,2.92,91.63,93.78,93.63,0.14,0.07
"Thomas Greiss","2022-04-06","2021021125","20212022","DET","WPG","0","G",59.35,98.92,0.94,31.45,46.38,3.54,97.02,97.98,92.38,5.6,2.6
"Thomas Greiss","2022-04-12","2021021166","20212022","DET","OTT","1","G",58.83,98.06,2.12,32.17,45.43,2.74,93.4,95.33,93.97,1.36,0.62
"Thomas Greiss","2022-04-16","2021021201","20212022","DET","NYR","0","G",60,100,3.89,38.48,55.15,3.18,89.89,92.94,94.24,-1.3,-0.72
"Thomas Greiss","2022-04-19","2021021222","20212022","DET","T.B","0","G",60,100,2.75,38.58,54.53,3.89,92.87,94.96,92.86,2.1,1.14
"Thomas Greiss","2022-04-23","2021021251","20212022","DET","PIT","1","G",40,66.67,5.45,25.07,35.97,3.25,78.27,84.86,90.96,-6.1,-2.2
"Thomas Greiss","Total","-","21-22","DET","-","-","G",48.64,80.34,91.44,852.82,1191.16,77.74,89.28,92.32,93.47,-1.15,-13.7
