"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Ukko-Pekka Luukkonen","2021-12-07","2021020388","20212022","BUF","ANA","1","G",57.98,96.64,2.13,24.76,35.74,0.9,91.39,94.03,97.49,-3.46,-1.24
"Ukko-Pekka Luukkonen","2021-12-10","2021020412","20212022","BUF","NYR","1","G",58.8,98,2.15,34.62,42.71,3.09,93.79,94.97,92.76,2.21,0.94
"Ukko-Pekka Luukkonen","2021-12-11","2021020419","20212022","BUF","WSH","1","G",65,100,2.07,42.33,55.74,3.35,95.1,96.28,93.98,2.3,1.28
"Ukko-Pekka Luukkonen","2021-12-14","2021020446","20212022","BUF","WPG","0","G",60,100,1.88,34.07,55.31,3.61,94.49,96.61,93.48,3.13,1.73
"Ukko-Pekka Luukkonen","2021-12-16","2021020461","20212022","BUF","MIN","0","G",64.4,99.08,1.89,31.47,47.27,2.37,93.99,96,94.99,1.01,0.48
"Ukko-Pekka Luukkonen","2021-12-29","2021020541","20212022","BUF","N.J","1","G",58.42,97.36,4.28,44.94,63.76,2.57,90.48,93.29,95.97,-2.68,-1.71
"Ukko-Pekka Luukkonen","2022-01-01","2021020566","20212022","BUF","BOS","0","G",60.57,100,3.85,37.81,52.22,3.48,89.82,92.63,93.33,-0.7,-0.36
"Ukko-Pekka Luukkonen","2022-01-06","2021020600","20212022","BUF","S.J","1","G",57.9,96.5,3.2,23.41,33.67,1.47,86.32,90.49,95.62,-5.13,-1.73
"Ukko-Pekka Luukkonen","2022-01-11","2021020637","20212022","BUF","T.B","1","G",20,33.33,2.13,9.97,15.93,0.78,78.62,86.62,95.1,-8.48,-1.35
"Ukko-Pekka Luukkonen","Total","-","21-22","BUF","-","-","G",55.9,91.37,23.58,283.38,402.35,21.62,91.68,94.14,94.63,-0.49,-1.96
