"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Vitek Vanecek","2021-10-13","2021020004","20212022","WSH","NYR","1","G",60,100,1.01,23.38,37,2.74,95.7,97.28,92.6,4.68,1.73
"Vitek Vanecek","2021-10-16","2021020027","20212022","WSH","T.B","1","G",64.75,100,1.98,24.4,40.95,2.6,91.88,95.16,93.65,1.51,0.62
"Vitek Vanecek","2021-10-21","2021020056","20212022","WSH","N.J","0","G",60,100,0.87,23.06,31.71,2.62,96.25,97.27,91.73,5.54,1.76
"Vitek Vanecek","2021-10-23","2021020072","20212022","WSH","CGY","1","G",20,31.86,3.33,14.31,15.49,1.24,76.73,78.5,91.99,-13.48,-2.09
"Vitek Vanecek","2021-10-27","2021020098","20212022","WSH","DET","1","G",61.2,99.32,2.99,25.09,36.5,1.56,88.07,91.8,95.73,-3.93,-1.43
"Vitek Vanecek","2021-11-01","2021020132","20212022","WSH","T.B","0","G",58.75,97.92,2.85,25.36,31.17,2.29,88.75,90.85,92.64,-1.79,-0.56
"Vitek Vanecek","2021-11-04","2021020152","20212022","WSH","FLA","0","G",36.37,58.73,2.03,15.45,19.64,1.33,86.88,89.68,93.24,-3.57,-0.7
"Vitek Vanecek","2021-11-06","2021020168","20212022","WSH","PHI","1","G",57.85,96.42,2.13,34.22,45.07,2.59,93.77,95.27,94.26,1.01,0.46
"Vitek Vanecek","2021-11-08","2021020181","20212022","WSH","BUF","1","G",60,100,3.04,26.71,38.06,2.09,88.63,92.02,94.5,-2.48,-0.94
"Vitek Vanecek","2021-11-14","2021020227","20212022","WSH","PIT","1","G",59.65,99.42,1.01,23.68,32.21,1.53,95.73,96.86,95.24,1.62,0.52
"Vitek Vanecek","2021-11-16","2021020243","20212022","WSH","ANA","0","G",64.23,100,2.92,31.67,41,2.15,90.77,92.87,94.75,-1.88,-0.77
"Vitek Vanecek","2021-11-21","2021020280","20212022","WSH","SEA","0","G",57.7,96.17,3.88,29.76,41.77,2.31,86.98,90.72,94.46,-3.74,-1.56
"Vitek Vanecek","2021-12-02","2021020356","20212022","WSH","CHI","1","G",65,100,3.15,28.8,39.14,2.93,89.06,91.95,92.5,-0.55,-0.22
"Vitek Vanecek","2021-12-11","2021020419","20212022","WSH","BUF","0","G",64.78,99.67,1.88,30.31,39.22,2.23,93.79,95.2,94.31,0.89,0.35
"Vitek Vanecek","2021-12-17","2021020469","20212022","WSH","WPG","0","G",60,100,1.8,38.62,46.82,3.11,95.33,96.15,93.37,2.78,1.3
"Vitek Vanecek","2021-12-19","2021020484","20212022","WSH","L.A","1","G",58.22,97.03,3.15,24.03,36.54,1.92,86.9,91.38,94.75,-3.37,-1.23
"Vitek Vanecek","2022-01-10","2021020632","20212022","WSH","BOS","1","G",32.05,53.42,3.21,17.85,25.16,1.51,82,87.23,94.01,-6.78,-1.71
"Vitek Vanecek","2022-01-15","2021020670","20212022","WSH","NYI","0","G",60,100,0,20.89,29.11,2.27,100,100,92.2,7.8,2.27
"Vitek Vanecek","2022-01-18","2021020695","20212022","WSH","WPG","1","G",60.05,99.37,3.12,35.09,50.99,4.01,91.12,93.89,92.13,1.75,0.89
"Vitek Vanecek","2022-01-20","2021020704","20212022","WSH","BOS","0","G",59.37,98.94,3.75,32.79,38.47,2.39,88.57,90.25,93.8,-3.54,-1.36
"Vitek Vanecek","2022-01-22","2021020726","20212022","WSH","OTT","1","G",61.22,100,2.13,24.36,43.47,2.55,91.25,95.1,94.13,0.97,0.42
"Vitek Vanecek","2022-01-24","2021020740","20212022","WSH","VGK","1","G",58.75,97.92,1.06,31.84,47.6,3.82,96.67,97.77,91.98,5.79,2.76
"Vitek Vanecek","2022-01-28","2021020770","20212022","WSH","DAL","0","G",59.45,99.08,0,25.11,37.93,2.28,100,100,93.99,6.01,2.28
"Vitek Vanecek","2022-02-01","2021020802","20212022","WSH","PIT","0","G",6.72,10.45,0.87,1.82,4.72,0.23,52.31,81.63,95.07,-13.44,-0.63
"Vitek Vanecek","2022-02-28","2021020849","20212022","WSH","TOR","1","G",38.75,64.58,1.08,18.84,30.8,1.53,94.26,96.49,95.03,1.45,0.45
"Vitek Vanecek","2022-03-03","2021020868","20212022","WSH","CAR","1","G",60,100,0,34.12,41.72,1.93,100,100,95.38,4.62,1.93
"Vitek Vanecek","2022-03-05","2021020884","20212022","WSH","SEA","1","G",60,100,2.02,29.9,40.98,2.39,93.23,95.06,94.17,0.89,0.37
"Vitek Vanecek","2022-03-08","2021020912","20212022","WSH","CGY","0","G",60,100,3.91,35.24,47.97,3.09,88.9,91.85,93.55,-1.7,-0.82
"Vitek Vanecek","2022-03-11","2021020931","20212022","WSH","VAN","0","G",60.7,100,2.75,23.98,33.96,2.01,88.54,91.9,94.08,-2.17,-0.74
"Vitek Vanecek","2022-03-15","2021020956","20212022","WSH","NYI","1","G",65,100,3.04,32.66,46.21,2.02,90.68,93.42,95.64,-2.22,-1.03
"Vitek Vanecek","2022-03-17","2021020971","20212022","WSH","CBJ","0","G",60,100,1.8,35.65,46.13,2.67,94.94,96.09,94.21,1.87,0.86
"Vitek Vanecek","2022-03-20","2021020995","20212022","WSH","DAL","1","G",58.02,96.69,3.43,25.39,41.43,3.08,86.5,91.73,92.56,-0.83,-0.34
"Vitek Vanecek","2022-03-22","2021021008","20212022","WSH","STL","1","G",57.13,95.22,4.15,39.44,52,3.88,89.48,92.02,92.54,-0.52,-0.27
"Vitek Vanecek","2022-03-26","2021021038","20212022","WSH","N.J","1","G",59.67,99.44,3.11,39.43,61.22,4.09,92.12,94.92,93.32,1.6,0.98
