"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Ilya Sorokin","2021-10-14","2021020012","20212022","NYI","CAR","0","G",57.97,96.61,4.81,40.33,57.7,4.02,88.07,91.66,93.03,-1.37,-0.79
"Ilya Sorokin","2021-10-16","2021020025","20212022","NYI","FLA","0","G",60,100,4.9,30.85,46.95,2.39,84.13,89.57,94.91,-5.34,-2.51
"Ilya Sorokin","2021-10-19","2021020046","20212022","NYI","CHI","0","G",60,100,0.94,36.93,45.84,3.04,97.46,97.95,93.37,4.58,2.1
"Ilya Sorokin","2021-10-21","2021020057","20212022","NYI","CBJ","0","G",61.82,100,2.84,30.94,41.4,2.73,90.81,93.13,93.41,-0.28,-0.12
"Ilya Sorokin","2021-10-23","2021020077","20212022","NYI","ARI","0","G",60,100,0,23.83,34.42,1.53,100,100,95.56,4.44,1.53
"Ilya Sorokin","2021-10-24","2021020082","20212022","NYI","VGK","0","G",60,100,0,38.35,52.75,3.93,100,100,92.55,7.45,3.93
"Ilya Sorokin","2021-10-30","2021020121","20212022","NYI","NSH","0","G",65,100,1.88,21.39,39.32,2.58,91.23,95.23,93.44,1.79,0.7
"Ilya Sorokin","2021-11-04","2021020150","20212022","NYI","MTL","0","G",60,100,1.71,33.43,41.23,2.26,94.9,95.86,94.51,1.35,0.56
"Ilya Sorokin","2021-11-06","2021020170","20212022","NYI","WPG","0","G",60,100,0,21.92,37.1,1.36,100,100,96.34,3.66,1.36
"Ilya Sorokin","2021-11-11","2021020199","20212022","NYI","N.J","0","G",60,100,3.9,35.28,47.76,2.58,88.94,91.83,94.61,-2.78,-1.33
"Ilya Sorokin","2021-11-16","2021020233","20212022","NYI","FLA","0","G",19.67,32.78,3.91,17.58,22.63,1.18,77.77,82.72,94.78,-12.06,-2.73
"Ilya Sorokin","2021-11-21","2021020276","20212022","NYI","TOR","1","G",60,100,3.23,44.98,57.97,4.93,92.81,94.42,91.5,2.93,1.7
"Ilya Sorokin","2021-11-26","2021020307","20212022","NYI","PIT","1","G",58.22,97.03,1.06,31.7,47.69,2.85,96.65,97.78,94.03,3.75,1.79
"Ilya Sorokin","2021-12-02","2021020355","20212022","NYI","S.J","1","G",60.65,100,1.98,35.81,51.45,3.85,94.47,96.15,92.51,3.64,1.87
"Ilya Sorokin","2021-12-04","2021020369","20212022","NYI","DET","0","G",63.25,99.53,3.86,29.78,39.71,2.86,87.04,90.28,92.8,-2.52,-1
"Ilya Sorokin","2021-12-07","2021020391","20212022","NYI","OTT","0","G",59.63,99.39,2.67,30.04,47.09,2.46,91.11,94.33,94.77,-0.44,-0.21
"Ilya Sorokin","2021-12-11","2021020422","20212022","NYI","N.J","1","G",59.9,99.83,2.12,32.35,41.88,2.59,93.44,94.93,93.8,1.13,0.47
"Ilya Sorokin","2021-12-14","2021020438","20212022","NYI","DET","0","G",57.95,96.58,1.92,39.03,48.93,3.19,95.08,96.07,93.48,2.59,1.27
"Ilya Sorokin","2021-12-19","2021020483","20212022","NYI","VGK","1","G",65,100,3.11,35.47,43.87,2.63,91.24,92.92,94.02,-1.1,-0.48
"Ilya Sorokin","2022-01-01","2021020569","20212022","NYI","EDM","1","G",63.82,99.92,2.07,19.51,32.97,2.86,89.37,93.71,91.32,2.4,0.79
"Ilya Sorokin","2022-01-13","2021020653","20212022","NYI","N.J","1","G",60,100,2.07,32.81,39.92,3.83,93.7,94.82,90.4,4.42,1.77
"Ilya Sorokin","2022-01-17","2021020684","20212022","NYI","PHI","1","G",60,100,1.01,27.27,42.26,2.52,96.29,97.61,94.03,3.58,1.51
"Ilya Sorokin","2022-01-21","2021020714","20212022","NYI","ARI","1","G",59.55,99.25,0,16.07,21.88,1.05,100,100,95.21,4.79,1.05
"Ilya Sorokin","2022-01-25","2021020746","20212022","NYI","PHI","1","G",60,100,3.21,17.75,27.32,1.25,81.9,88.24,95.41,-7.17,-1.96
"Ilya Sorokin","2022-01-30","2021020784","20212022","NYI","MIN","1","G",57.22,95.36,4.39,23.44,30.46,2.26,81.29,85.6,92.57,-6.97,-2.12
"Ilya Sorokin","2022-02-01","2021020799","20212022","NYI","OTT","1","G",60,100,1.06,26.6,36.51,2.2,96.01,97.09,93.98,3.11,1.14
"Ilya Sorokin","2022-02-09","2021020598","20212022","NYI","VAN","0","G",60,100,2.81,32.43,46.04,2.31,91.32,93.89,94.98,-1.09,-0.5
"Ilya Sorokin","2022-02-11","2021020623","20212022","NYI","EDM","0","G",58.27,97.11,2.93,36.9,44.06,3.17,92.07,93.36,92.82,0.54,0.24
"Ilya Sorokin","2022-02-12","2021020642","20212022","NYI","CGY","0","G",60,100,4.85,29.99,46.76,2.36,83.81,89.62,94.95,-5.33,-2.49
"Ilya Sorokin","2022-02-15","2021020524","20212022","NYI","BUF","0","G",58.38,97.31,3.76,38.09,47.84,2.07,90.14,92.15,95.66,-3.52,-1.68
"Ilya Sorokin","2022-02-17","2021021006","20212022","NYI","BOS","1","G",60,100,1.06,27.83,38.16,2.15,96.19,97.22,94.38,2.84,1.09
"Ilya Sorokin","2022-02-20","2021020491","20212022","NYI","MTL","1","G",65,100,2.12,28.83,35.4,2.13,92.64,94,93.99,0.01,0
"Ilya Sorokin","2022-02-22","2021020595","20212022","NYI","SEA","0","G",60,100,1.88,22.25,41.6,2.14,91.57,95.49,94.86,0.63,0.26
"Ilya Sorokin","2022-02-24","2021020821","20212022","NYI","S.J","0","G",64.65,99.46,2.74,27.42,36.3,1.71,89.99,92.44,95.28,-2.84,-1.03
"Ilya Sorokin","2022-02-27","2021020845","20212022","NYI","ANA","0","G",60,100,0,30.97,38.83,1.47,100,100,96.22,3.78,1.47
"Ilya Sorokin","2022-03-01","2021020857","20212022","NYI","COL","0","G",58.42,97.36,3.7,40.66,56.56,3.66,90.9,93.46,93.53,-0.07,-0.04
"Ilya Sorokin","2022-03-05","2021020882","20212022","NYI","STL","1","G",60,100,0.97,29.85,37.51,1.75,96.75,97.42,95.34,2.07,0.78
"Ilya Sorokin","2022-03-10","2021020693","20212022","NYI","CBJ","1","G",59.58,99.31,0,24.18,31.9,2.05,100,100,93.57,6.43,2.05
"Ilya Sorokin","2022-03-13","2021020943","20212022","NYI","ANA","1","G",60,100,3.06,40.38,48.11,4.33,92.41,93.63,90.99,2.64,1.27
"Ilya Sorokin","2022-03-17","2021020328","20212022","NYI","NYR","0","G",59.77,99.61,0.87,28.24,34.73,2.16,96.93,97.51,93.78,3.73,1.29
"Ilya Sorokin","2022-03-20","2021020994","20212022","NYI","PHI","0","G",57.77,96.28,1.87,36,46.71,2.64,94.8,95.99,94.35,1.64,0.77
"Ilya Sorokin","2022-03-24","2021020545","20212022","NYI","DET","1","G",60,100,2.02,37.08,47.61,4.04,94.54,95.75,91.52,4.23,2.01
"Ilya Sorokin","2022-03-27","2021021048","20212022","NYI","T.B","1","G",40,66.67,2.07,20.71,33.43,2.24,90.02,93.82,93.3,0.52,0.17
"Ilya Sorokin","2022-04-08","2021021139","20212022","NYI","CAR","0","G",59.75,99.58,1.03,20.05,37.09,1.64,94.85,97.21,95.57,1.65,0.61
"Ilya Sorokin","2022-04-12","2021020922","20212022","NYI","PIT","1","G",65,100,4.09,46.75,53.97,4.29,91.25,92.42,92.06,0.36,0.19
"Ilya Sorokin","2022-04-14","2021021185","20212022","NYI","PIT","0","G",58.78,97.97,3.91,27.15,36.86,2.41,85.6,89.4,93.45,-4.06,-1.5
"Ilya Sorokin","2022-04-15","2021021193","20212022","NYI","MTL","0","G",60,100,0,41.43,55.15,2.87,100,100,94.79,5.21,2.87
"Ilya Sorokin","2022-04-17","2021020723","20212022","NYI","TOR","0","G",58.08,96.81,2.81,35.32,49.03,3.66,92.05,94.27,92.53,1.74,0.85
"Ilya Sorokin","2022-04-19","2021021223","20212022","NYI","FLA","1","G",60.33,100,3.06,42.16,57.43,6.35,92.75,94.68,88.95,5.73,3.29
"Ilya Sorokin","2022-04-23","2021021249","20212022","NYI","BUF","0","G",59.1,98.5,4.84,36.31,49.79,3.47,86.67,90.27,93.03,-2.76,-1.37
"Ilya Sorokin","2022-04-26","2021021279","20212022","NYI","WSH","0","G",60,100,0.94,30.88,44.47,1.89,96.94,97.88,95.76,2.12,0.94
"Ilya Sorokin","2022-04-29","2021021292","20212022","NYI","T.B","1","G",59.77,99.61,5.16,32.84,46.81,4.87,84.28,88.97,89.59,-0.62,-0.29
"Ilya Sorokin","Total","-","21-22","NYI","-","-","G",59.08,97.37,121.22,1618.15,2219.14,142.77,92.51,94.54,93.57,0.97,21.55
