"Player","Season","Team","Position","GP","TOI","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAA","GSAx"
"Adin Hill","22-23","VGK","G",7,368.98,14.14,202.18,263.15,21.13,93.01,94.63,91.97,2.66,5.16,6.99
"Akira Schmid","22-23","N.J","G",9,459.77,17.3,224.96,332.7,21.81,92.31,94.8,93.44,1.36,4.17,4.51
"Alex Lyon","22-23","FLA","G",3,165.7,8.78,93.45,139.21,8.05,90.6,93.69,94.22,-0.52,0.14,-0.73
"Alexandar Georgiev","22-23","COL","G",7,415.37,18.27,216.08,303.58,18.84,91.54,93.98,93.79,0.19,2.35,0.57
"Andrei Vasilevskiy","22-23","T.B","G",6,387.82,22.95,181.16,251.51,19.26,87.33,90.88,92.34,-1.47,-5.67,-3.69
"Antti Raanta","22-23","CAR","G",6,363.18,15.06,162.34,238.57,16.64,90.72,93.69,93.03,0.66,0.43,1.58
"Connor Hellebuyck","22-23","WPG","G",5,314.03,18.36,164.03,216.48,16.86,88.81,91.52,92.21,-0.69,-2.71,-1.5
"Filip Gustavsson","22-23","MIN","G",5,308.53,12.26,153.77,233.46,15.51,92.03,94.75,93.36,1.39,2.41,3.25
"Frederik Andersen","22-23","CAR","G",7,473.75,13.1,205.2,303.4,20.4,93.62,95.68,93.28,2.41,6.48,7.3
"Igor Shesterkin","22-23","NYR","G",7,427.63,14.03,203.19,298.54,23.8,93.1,95.3,92.03,3.27,5.36,9.77
"Ilya Samsonov","22-23","TOR","G",9,498.15,26.93,263.65,391.96,26.64,89.79,93.13,93.2,-0.07,-1.78,-0.29
"Ilya Sorokin","22-23","NYI","G",6,369.45,16.18,213.7,299.83,21.6,92.43,94.6,92.8,1.81,4.21,5.42
"Jack Campbell","22-23","EDM","G",4,118.27,2.03,54.2,71.7,5.85,96.25,97.17,91.84,5.33,3.14,3.82
"Jake Oettinger","22-23","DAL","G",15,887.4,41.35,414.11,614.96,38.19,90.01,93.28,93.79,-0.51,-1.83,-3.16
"Joonas Korpisalo","22-23","L.A","G",6,350.25,22.26,207.82,296.08,21.47,89.29,92.48,92.75,-0.27,-2.42,-0.79
"Joseph Woll","22-23","TOR","G",4,197.92,7.9,95.92,129.04,10.04,91.76,93.88,92.22,1.66,1.26,2.14
"Laurent Brossoit","22-23","VGK","G",8,433.37,23.77,219.15,318.2,22.85,89.15,92.53,92.82,-0.29,-2.85,-0.92
"Linus Ullmark","22-23","BOS","G",6,359.85,19.88,187.18,252.42,19.12,89.38,92.12,92.43,-0.3,-2.02,-0.76
"Marc-Andre Fleury","22-23","MIN","G",2,76.68,6.88,40.29,55.52,4.38,82.92,87.61,92.11,-4.5,-3.03,-2.5
"Philipp Grubauer","22-23","SEA","G",14,822.7,41.1,416.57,616.26,43.59,90.13,93.33,92.93,0.4,-1.35,2.49
"Sergei Bobrovsky","22-23","FLA","G",12,777.03,29.77,426.37,624.54,47.07,93.02,95.23,92.46,2.77,10.91,17.3
"Stuart Skinner","22-23","EDM","G",12,618.95,37.3,311.68,400.12,30.33,88.03,90.68,92.42,-1.74,-7.55,-6.97
"Vitek Vanecek","22-23","N.J","G",7,271.6,22.16,126.33,196.21,14.08,82.46,88.71,92.82,-4.12,-10.1,-8.08
