"Name","Team","Season","GP","TOI","W","L","OL","ROW","Points","Points%","GF","GA","G±","Sh%","Sv%"
"Bruins","BOS","22-23",82,4982.8,65,12,5,61,135,82.3,305,177,128,11.1,92.9
"Blackhawks","CHI","12-13",48,2945.4,36,7,5,30,77,80.2,155,102,53,10,92.3
"Lightning","T.B","18-19",82,4979.6,62,16,4,56,128,78,325,222,103,12.2,91.6
"Penguins","PIT","12-13",48,2898.4,36,12,0,33,72,75,165,119,46,11.3,91.5
"Panthers","FLA","21-22",82,4984.2,58,18,6,55,122,74.4,340,246,94,11,90.4
"Capitals","WSH","15-16",82,4982.7,56,18,8,52,120,73.2,252,193,59,9.9,91.8
"Avalanche","COL","20-21",56,3378.7,39,13,4,39,82,73.2,197,133,64,10.2,90.7
"Golden Knights","VGK","20-21",56,3396.1,40,14,2,39,82,73.2,191,124,67,10.4,92
"Avalanche","COL","21-22",82,4967.6,56,19,7,52,119,72.6,312,234,78,10.7,91.2
"Capitals","WSH","16-17",82,4973.1,55,19,8,53,118,72,263,182,81,10.5,92.2
"Bruins","BOS","19-20",70,4260.7,44,14,12,44,100,71.4,227,174,53,10.1,92.1
"Hurricanes","CAR","20-21",56,3417.8,36,12,8,32,80,71.4,179,136,43,9.8,91.5
"Bruins","BOS","13-14",82,4978.8,54,19,9,51,117,71.3,261,177,84,9.9,92.8
"Predators","NSH","17-18",82,5006.7,53,18,11,47,117,71.3,267,211,56,9.9,92.3
"Ducks","ANA","13-14",82,4991,54,20,8,51,116,70.7,266,209,57,10.3,91.4
"Hurricanes","CAR","21-22",82,4969.4,54,20,8,53,116,70.7,278,202,76,9.9,91.3
"Panthers","FLA","20-21",56,3409.5,37,14,5,36,79,70.5,189,153,36,9.6,91
"Maple Leafs","TOR","21-22",82,4968.5,54,21,7,51,115,70.1,315,253,62,11,90
"Rangers","NYR","23-24",82,4974.6,55,23,4,51,114,69.5,282,229,53,10.8,90.7
"Jets","WPG","17-18",82,4982.2,52,20,10,48,114,69.5,277,218,59,10.3,91.7
"Stars","DAL","23-24",82,4982.1,52,21,9,48,113,68.9,298,234,64,11.4,90.1
"Rangers","NYR","14-15",82,4983.1,53,22,7,49,113,68.9,252,192,60,9.6,92.3
"Lightning","T.B","17-18",82,4979.6,54,23,5,48,113,68.9,296,236,60,10.8,91.3
"Wild","MIN","21-22",82,4996.6,53,22,7,48,113,68.9,310,253,57,11.4,90.3
"Hurricanes","CAR","22-23",82,4990.5,52,21,9,48,113,68.9,266,213,53,9.2,90.1
"Ducks","ANA","12-13",48,2936.3,30,12,6,24,66,68.8,140,118,22,9.9,91.4
"Penguins","PIT","20-21",56,3399.8,37,16,3,34,77,68.8,196,156,40,11.5,90.8
"Maple Leafs","TOR","20-21",56,3386.2,35,14,7,34,77,68.8,187,148,39,10.6,90.5
"Capitals","WSH","20-21",56,3400.7,36,15,5,33,77,68.8,191,163,28,11.4,90
"Avalanche","COL","13-14",82,5003,52,22,8,47,112,68.3,250,220,30,10.1,91.9
"Bruins","BOS","17-18",82,4982.4,50,20,12,47,112,68.3,270,214,56,9.9,91.2
"Devils","N.J","22-23",82,4987.8,52,22,8,50,112,68.3,291,226,65,10.2,90.4
"Canucks","VAN","11-12",82,5021.9,51,22,9,43,111,67.7,249,198,51,9.3,92.4
"Blues","STL","13-14",82,5002,52,23,7,43,111,67.7,248,191,57,9.9,91.3
"Sharks","S.J","13-14",82,5021,51,22,9,41,111,67.7,249,200,49,8.4,91.5
"Penguins","PIT","16-17",82,4989.8,50,21,11,46,111,67.7,282,234,48,10.1,91.4
"Flames","CGY","21-22",82,4966.2,50,21,11,48,111,67.7,293,208,85,10,91.3
"Maple Leafs","TOR","22-23",82,4964.9,50,21,11,49,111,67.7,279,222,57,10.6,90.9
"Golden Knights","VGK","22-23",82,4997.5,51,22,9,46,111,67.7,272,229,43,10.3,91.1
"Hurricanes","CAR","23-24",82,4972.7,52,23,7,50,111,67.7,279,216,63,10.1,90
"Canadiens","MTL","14-15",82,5007.1,50,22,10,43,110,67.1,221,189,32,9.2,92.6
"Rangers","NYR","21-22",82,4970.8,52,24,6,48,110,67.1,254,207,47,10.5,91.9
"Lightning","T.B","21-22",82,4988.1,51,23,8,49,110,67.1,287,233,54,11.2,90.7
"Jets","WPG","23-24",82,4951.1,52,24,6,52,110,67.1,259,199,60,10.4,91.8
"Panthers","FLA","23-24",82,4970.5,52,24,6,49,110,67.1,268,200,68,9.6,91.3
"Lightning","T.B","20-21",56,3389.3,36,17,3,35,75,67,181,147,34,10.6,90.8
"Wild","MIN","20-21",56,3401.8,35,16,5,34,75,67,181,160,21,11.3,90.7
"Rangers","NYR","11-12",82,4998,51,24,7,47,109,66.5,226,187,39,9.5,92
"Blues","STL","11-12",82,5002.1,49,22,11,45,109,66.5,210,165,45,8.2,92.9
"Penguins","PIT","13-14",82,4986.9,51,24,7,44,109,66.5,249,207,42,9.9,91.4
"Ducks","ANA","14-15",82,5002.7,51,24,7,43,109,66.5,236,226,10,9.3,90.7
"Blues","STL","14-15",82,5003.4,51,24,7,42,109,66.5,248,201,47,9.4,91.2
"Stars","DAL","15-16",82,4968.4,50,23,9,48,109,66.5,267,230,37,10.1,90.4
"Blackhawks","CHI","16-17",82,4980,50,23,9,46,109,66.5,244,213,31,9.6,91.8
"Golden Knights","VGK","17-18",82,4985.7,51,24,7,47,109,66.5,272,228,44,10,91.1
"Blues","STL","21-22",82,4964.2,49,22,11,47,109,66.5,311,242,69,12.4,90.8
"Oilers","EDM","22-23",82,4963.6,50,23,9,50,109,66.5,325,260,65,11.8,90.1
"Avalanche","COL","22-23",82,4996.8,51,24,7,45,109,66.5,280,226,54,10,91.2
"Canucks","VAN","23-24",82,4964.8,50,23,9,50,109,66.5,279,223,56,12,90.6
"Bruins","BOS","23-24",82,5002.7,47,20,15,43,109,66.5,267,224,43,11,91.2
"Blues","STL","19-20",71,4320.9,42,19,10,40,94,66.2,225,193,32,10.2,91
"Penguins","PIT","11-12",82,4995.6,51,25,6,42,108,65.9,282,221,61,9.8,90.3
"Lightning","T.B","14-15",82,4977,50,24,8,47,108,65.9,262,211,51,10.7,91
"Blue Jackets","CBJ","16-17",82,4969.7,50,24,8,48,108,65.9,249,195,54,9.7,92.2
"Stars","DAL","22-23",82,4993.1,47,21,14,43,108,65.9,285,218,67,10.7,91.2
"Avalanche","COL","19-20",70,4239.6,42,20,8,41,92,65.7,237,191,46,10.5,91.3
"Lightning","T.B","19-20",70,4243.1,43,21,6,41,92,65.7,245,195,50,11.2,91
"Canadiens","MTL","12-13",48,2918.7,29,14,5,26,63,65.6,149,126,23,9.9,90.4
"Avalanche","COL","23-24",82,4969.4,50,25,7,48,107,65.2,304,254,50,11.1,89.7
"Blackhawks","CHI","13-14",82,5007.4,46,21,15,40,107,65.2,267,220,47,9.6,90.5
"Blues","STL","15-16",82,5005.1,49,24,9,44,107,65.2,224,201,23,8.9,91.9
"Flames","CGY","18-19",82,4950.9,50,25,7,50,107,65.2,289,227,62,10.9,90.3
"Bruins","BOS","18-19",82,4983.5,49,24,9,47,107,65.2,259,215,44,9.6,91.2
"Capitals","WSH","19-20",69,4198,41,20,8,37,90,65.2,240,215,25,10.7,89.8
"Bruins","BOS","20-21",56,3410.4,33,16,7,29,73,65.2,168,136,32,8.8,91.2
"Bruins","BOS","21-22",82,4959.6,51,26,5,49,107,65.2,255,220,35,8.5,90.7
"Rangers","NYR","22-23",82,4990,47,22,13,43,107,65.2,277,219,58,10.6,91
"Bruins","BOS","12-13",48,2923.1,28,14,6,24,62,64.6,131,109,22,8.2,92.3
"Wild","MIN","16-17",82,4967.4,49,25,8,46,106,64.6,266,208,58,10.4,91.6
