"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"COL","2007-10-03","2007020006","20072008","DAL","1",50.62,79.44,47.94,40.34,42.66,56.88,3.91,1.01,21.54,23.39,25.6,37.87,35.42,47.62,1.76,1.34,2.9,-1.85,-12.27,-12.2,0.43
"COL","2007-10-04","2007020010","20072008","NSH","0",46.33,0,55.72,50.58,47.82,58.13,0,2.96,30.97,24.61,36.45,35.61,44.85,48.94,2.32,1.67,-2.96,6.36,0.84,-4.09,0.65
"COL","2007-10-07","2007020035","20072008","S.J","1",39.55,79.61,67.86,62.39,67.9,57.36,3.95,1.01,19.94,9.44,27.16,16.37,40.08,18.95,1.9,1.41,2.94,10.5,10.79,21.13,0.49
"COL","2007-10-12","2007020059","20072008","STL","0",44.8,20.75,51.43,55.43,57.58,43.73,1.01,3.87,21.24,20.06,32.32,25.99,43.68,32.18,2.02,2.59,-2.85,1.18,6.33,11.49,-0.58
"COL","2007-10-13","2007020072","20072008","CBJ","1",43.62,74.27,53.99,50.33,46.67,53.05,2.92,1.01,19.98,17.03,25.04,24.71,27.71,31.66,1.68,1.49,1.91,2.95,0.33,-3.95,0.19
"COL","2007-10-16","2007020083","20072008","CGY","1",42.32,39.7,50.57,42.48,38.78,41.18,2.81,4.27,22.71,22.2,26.2,35.47,30.55,48.23,1.58,2.26,-1.46,0.51,-9.27,-17.69,-0.68
"COL","2007-10-19","2007020100","20072008","CHI","0",40.65,34.36,56.91,54.13,50.33,51.38,2.02,3.87,29.25,22.14,31.99,27.11,33.38,32.94,2.4,2.27,-1.84,7.11,4.88,0.44,0.13
"COL","2007-10-21","2007020116","20072008","MIN","0",40.52,51.71,47.98,57.02,49.45,64.3,1.01,0.94,18.21,19.74,32.61,24.59,38.5,39.35,1.85,1.03,0.07,-1.53,8.03,-0.85,0.82
"COL","2007-10-23","2007020124","20072008","EDM","0",49.63,62.99,46.52,50.4,50.34,55.34,3.19,1.88,19.85,22.82,25.68,25.27,34.26,33.8,1.52,1.22,1.32,-2.97,0.41,0.46,0.29
"COL","2007-10-26","2007020144","20072008","CGY","0",45.1,36.04,36.47,42.2,39.5,42,1.06,1.88,16.22,28.26,24.14,33.07,27,41.35,1.36,1.87,-0.82,-12.04,-8.93,-14.35,-0.52
"COL","2007-10-28","2007020157","20072008","MIN","1",49.87,100,62.67,57.11,54.48,62.7,1.89,0,26.89,16.02,34.71,26.07,43.98,36.74,1.76,1.05,1.89,10.87,8.64,7.23,0.71
"COL","2007-11-01","2007020178","20072008","PIT","1",40.43,47.11,51.23,55.68,51.76,46.84,0.94,1.06,20.45,19.47,27.23,21.67,35.07,32.68,1.3,1.48,-0.12,0.98,5.56,2.39,-0.18
"COL","2007-11-03","2007020197","20072008","VAN","1",37.08,0,45.8,48.82,47.65,39.79,0,2.13,15.59,18.45,20.91,21.92,26.08,28.65,0.97,1.47,-2.13,-2.86,-1.01,-2.58,-0.5
"COL","2007-11-05","2007020208","20072008","CGY","1",49.2,100,51.54,50.17,50.28,62.14,2.92,0,22.91,21.54,29.8,29.6,37.99,37.57,2.17,1.32,2.92,1.37,0.2,0.43,0.85
"COL","2007-11-07","2007020218","20072008","EDM","1",45.27,58.29,46.32,43.27,41.37,53.03,2.83,2.02,21.84,25.31,27.49,36.04,31.1,44.08,2.43,2.15,0.8,-3.47,-8.55,-12.98,0.28
"COL","2007-11-09","2007020232","20072008","VAN","0",50.33,0,48.35,46.09,43.87,0,0,0.94,20.26,21.64,29.37,34.36,35.4,45.28,0,0,-0.94,-1.38,-4.99,-9.88,0
"COL","2007-11-11","2007020246","20072008","MIN","1",45.07,100,40.44,41.14,38.13,41.99,1.93,0,15.2,22.4,21.2,30.33,28.76,46.66,1.48,2.04,1.93,-7.19,-9.13,-17.91,-0.56
"COL","2007-11-16","2007020276","20072008","DAL","0",52.38,20.39,31.89,39.11,32.48,40.76,1.01,3.95,12.19,26.04,21.54,33.53,25.6,53.23,1.1,1.6,-2.94,-13.85,-11.99,-27.63,-0.5
"COL","2007-11-18","2007020289","20072008","MIN","0",47.97,20.56,46.89,45.67,47.15,44.98,1.01,3.91,20.95,23.73,28.61,34.04,37.43,41.95,1.03,1.26,-2.9,-2.78,-5.43,-4.52,-0.23
"COL","2007-11-20","2007020298","20072008","CGY","0",43.97,26.98,54.5,56.06,54.23,59.98,1.06,2.87,16.94,14.14,25.78,20.2,32.44,27.37,1.41,0.94,-1.81,2.8,5.57,5.06,0.47
"COL","2007-11-22","2007020314","20072008","EDM","0",33.17,77.24,66.07,69.2,70.34,63.88,3.18,0.94,18.15,9.32,29,12.9,39.05,16.47,2.02,1.14,2.24,8.83,16.09,22.59,0.88
"COL","2007-11-24","2007020334","20072008","CGY","1",39.97,30.5,37.65,36.71,37.13,17,1.88,4.27,15.04,24.91,19.32,33.32,24.3,41.14,0.49,2.41,-2.4,-9.87,-13.99,-16.84,-1.91
"COL","2007-11-28","2007020355","20072008","EDM","1",40.37,59.07,80.92,75.67,75.52,0,2.92,2.02,35.22,8.3,46.02,14.8,61.54,19.95,0,0,0.9,26.92,31.23,41.59,0
"COL","2007-11-30","2007020370","20072008","S.J","0",43.03,0,34.32,36.36,39.76,33.06,0,0.99,11.53,22.06,16.26,28.45,25.47,38.58,0.82,1.67,-0.99,-10.53,-12.19,-13.11,-0.84
"COL","2007-12-01","2007020382","20072008","L.A","0",47.88,73,61.96,55.36,53.82,55.81,5.23,1.93,26.21,16.1,37.43,30.18,50.9,43.67,2.74,2.17,3.29,10.12,7.24,7.23,0.57
"COL","2007-12-03","2007020390","20072008","S.J","1",47.62,37.01,58.51,56.61,55.39,52.26,1.88,3.19,26.85,19.04,35.99,27.59,45,36.24,1.73,1.58,-1.32,7.81,8.41,8.76,0.15
"COL","2007-12-05","2007020398","20072008","CBJ","0",45.82,35.46,46.85,48.47,47.24,42.22,2.07,3.77,23.42,26.57,28.55,30.36,32.26,36.03,1.78,2.44,-1.7,-3.15,-1.8,-3.77,-0.66
"COL","2007-12-07","2007020418","20072008","PHI","1",41.52,100,57.02,61.48,58.57,80.45,0.94,0,25.02,18.86,38.09,23.86,47.33,33.49,2.51,0.61,0.94,6.16,14.23,13.84,1.9
"COL","2007-12-09","2007020433","20072008","STL","1",44.85,65.41,49.92,52.53,53.93,54.58,5.84,3.08,21.47,21.54,33.72,30.47,45.08,38.51,2.09,1.74,2.75,-0.07,3.24,6.57,0.35
"COL","2007-12-12","2007020450","20072008","CBJ","0",47.35,26.02,39.05,42.54,44.74,49.24,1.01,2.88,7.92,12.36,12.83,17.33,24.99,30.87,0.93,0.96,-1.87,-4.44,-4.5,-5.88,-0.03
