"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"CHI","2007-10-06","2007020031","20072008","DET","1",45.02,100,43.9,42.71,46.1,39.36,1.88,0,14.55,18.6,18.96,25.43,26,30.39,0.78,1.2,1.88,-4.04,-6.47,-4.4,-0.42
"CHI","2007-10-10","2007020047","20072008","S.J","1",46.02,100,41.03,41.72,44.68,38.49,0.94,0,14.78,21.23,16.73,23.37,22.82,28.26,1.2,1.91,0.94,-6.46,-6.64,-5.44,-0.71
"CHI","2007-10-12","2007020058","20072008","DET","0",38.23,34.36,27.35,30.97,32.74,29.13,1.01,1.93,10.19,27.07,15.28,34.06,20.24,41.58,0.73,1.77,-0.92,-16.88,-18.78,-21.34,-1.04
"CHI","2007-10-13","2007020071","20072008","DAL","1",38.53,0,69.49,65.7,66.93,61.62,0,0,24.76,10.87,29.21,15.25,35.34,17.46,1.54,0.96,0,13.89,13.96,17.88,0.58
"CHI","2007-10-17","2007020087","20072008","STL","1",47.27,0,45.37,41.36,43.65,44.77,0,1.07,20.59,24.8,24.84,35.21,33.17,42.83,1.59,1.96,-1.07,-4.2,-10.38,-9.66,-0.37
"CHI","2007-10-19","2007020100","20072008","COL","1",40.65,65.64,43.09,45.87,49.67,48.62,3.87,2.02,22.14,29.25,27.11,31.99,32.94,33.38,2.27,2.4,1.84,-7.11,-4.88,-0.44,-0.13
"CHI","2007-10-20","2007020103","20072008","TOR","0",48.9,41.93,44.79,45.55,42,42.46,2.07,2.87,23.95,29.52,34.41,41.14,44.94,62.07,1.39,1.88,-0.8,-5.57,-6.73,-17.12,-0.49
"CHI","2007-10-23","2007020122","20072008","CBJ","1",41.05,41.24,44.83,44.39,45.43,39.51,3.75,5.34,18.02,22.18,18.79,23.54,27.43,32.94,1.21,1.86,-1.59,-4.16,-4.75,-5.51,-0.64
"CHI","2007-10-25","2007020131","20072008","BOS","0",44.2,0,54.2,59.14,58.95,48.61,0,1.93,18.88,15.96,28.74,19.86,34.53,24.05,1.33,1.4,-1.93,2.93,8.88,10.48,-0.08
"CHI","2007-10-27","2007020153","20072008","ATL","1",39.73,0,52.01,57.56,59.91,43.05,0,1.06,16.05,14.81,21.62,15.94,33.62,22.5,1.01,1.33,-1.06,1.24,5.68,11.12,-0.33
"CHI","2007-10-31","2007020170","20072008","DAL","0",47.2,68.82,56.49,59.66,53.22,49.15,4.16,1.88,23.65,18.21,32.4,21.91,37.84,33.26,1.31,1.36,2.27,5.44,10.49,4.58,-0.05
"CHI","2007-11-03","2007020195","20072008","STL","0",44.85,36.13,55.26,52.84,53.1,42.21,1.06,1.88,19.92,16.12,26.39,23.55,37.07,32.74,1.12,1.53,-0.81,3.79,2.84,4.33,-0.41
"CHI","2007-11-04","2007020201","20072008","NSH","1",36.47,22.65,56.86,53,52.51,51.67,0.94,3.2,18.94,14.37,21.46,19.03,26.49,23.96,1.29,1.21,-2.26,4.57,2.43,2.53,0.08
"CHI","2007-11-07","2007020217","20072008","CBJ","1",44,57.7,62.23,61.3,62.7,56.51,2.83,2.07,29.99,18.2,33.74,21.3,40.67,24.19,1.57,1.2,0.75,11.79,12.44,16.48,0.36
"CHI","2007-11-09","2007020231","20072008","STL","1",42.25,0,55.31,56.05,61.2,63.2,0,0,24.32,19.65,31.31,24.55,39.8,25.23,3.32,1.93,0,4.67,6.76,14.57,1.39
"CHI","2007-11-11","2007020245","20072008","DET","1",37.65,31.83,43.61,49.59,42.04,37.43,0.94,2.02,15.55,20.11,20.82,21.16,21.19,29.21,0.69,1.16,-1.08,-4.56,-0.35,-8.03,-0.46
"CHI","2007-11-14","2007020258","20072008","CBJ","0",48.53,34.95,43.14,44.4,46.02,36.09,2.07,3.86,15.5,20.43,21.2,26.54,33,38.71,1.17,2.07,-1.79,-4.93,-5.34,-5.71,-0.9
"CHI","2007-11-15","2007020267","20072008","NSH","0",48.9,36.15,47.65,51.36,49.64,52.45,2.13,3.77,25.88,28.43,38.89,36.83,49.34,50.06,2.23,2.02,-1.63,-2.55,2.06,-0.71,0.21
"CHI","2007-11-17","2007020283","20072008","DET","0",46.2,34.96,29.59,28.82,28.81,42.22,1.01,1.88,10.94,26.04,15.18,37.5,21.38,52.84,1.43,1.95,-0.87,-15.1,-22.32,-31.46,-0.53
"CHI","2007-11-22","2007020313","20072008","CGY","0",44.18,0,37.07,35.4,37.88,28.41,0,0,10.51,17.84,15.89,29,22.24,36.48,0.61,1.54,0,-7.33,-13.11,-14.24,-0.93
"CHI","2007-11-24","2007020335","20072008","EDM","0",48.32,52.4,56.33,53.42,55.25,40.1,2.07,1.88,31,24.03,36.4,31.74,54.61,44.23,1.25,1.86,0.19,6.97,4.66,10.38,-0.62
"CHI","2007-11-25","2007020340","20072008","VAN","0",35.05,0,63.92,59.02,50.85,65.27,0,0,16.42,9.27,19.32,13.41,23.8,23,0.99,0.53,0,7.15,5.91,0.8,0.46
"CHI","2007-11-28","2007020354","20072008","T.B","1",42.98,100,53.73,53.97,55.87,59.61,3.91,0,13.94,12.01,19.51,16.64,28.77,22.72,1.41,0.95,3.91,1.93,2.87,6.05,0.45
"CHI","2007-11-30","2007020368","20072008","ARI","1",37.25,79.44,49.15,46.48,47.59,56.84,3.91,1.01,15.23,15.76,15.28,17.6,19.09,21.02,1.01,0.77,2.9,-0.53,-2.32,-1.93,0.24
"CHI","2007-12-01","2007020380","20072008","STL","0",42.98,34.36,37.35,37.25,42.46,45.55,1.01,1.93,13.34,22.37,17.05,28.73,24.04,32.58,1.1,1.31,-0.92,-9.03,-11.68,-8.54,-0.21
"CHI","2007-12-05","2007020401","20072008","VAN","1",40.03,22.76,58.48,55.3,58.52,47.6,0.94,3.18,18.01,12.79,19.86,16.05,27.28,19.34,1.08,1.19,-2.24,5.23,3.81,7.94,-0.11
"CHI","2007-12-07","2007020416","20072008","ANA","1",44.73,23.11,71.5,69.88,68.43,74,0.94,3.14,31.65,12.61,34.35,14.81,41,18.92,2.26,0.79,-2.2,19.03,19.55,22.09,1.47
"CHI","2007-12-09","2007020432","20072008","CGY","1",42.7,47.6,53.37,49.46,49.36,56.02,1.88,2.07,22.2,19.39,24.99,25.54,30.68,31.48,1.94,1.52,-0.19,2.81,-0.55,-0.79,0.42
