"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"CBJ","2007-10-05","2007020016","20072008","ANA","1",31.85,100,64.97,59.74,59.1,54.62,0.94,0,18.97,10.22,22.09,14.88,28.92,20.02,1.29,1.07,0.94,8.74,7.2,8.91,0.22
"CBJ","2007-10-06","2007020030","20072008","MIN","0",49.02,0,40.61,49.16,53.42,39.75,0,2.82,17.39,25.43,33.88,35.04,46.99,40.98,0.96,1.46,-2.82,-8.04,-1.16,6.01,-0.5
"CBJ","2007-10-10","2007020042","20072008","ARI","1",44.13,100,66.77,63.55,63.34,76.56,2.92,0,32.31,16.08,39.56,22.69,46.65,27,1.9,0.58,2.92,16.23,16.86,19.65,1.32
"CBJ","2007-10-13","2007020072","20072008","COL","0",43.62,25.73,46.01,49.67,53.33,46.95,1.01,2.92,17.03,19.98,24.71,25.04,31.66,27.71,1.49,1.68,-1.91,-2.95,-0.33,3.95,-0.19
"CBJ","2007-10-17","2007020085","20072008","DAL","1",43.15,48.29,50.44,50.91,53.03,52.43,0.94,1.01,24.62,24.19,29.39,28.34,36.47,32.3,1.63,1.48,-0.07,0.43,1.05,4.17,0.15
"CBJ","2007-10-19","2007020098","20072008","BUF","0",37.12,0,58.05,53.88,58.5,43.71,0,0,19.49,14.09,25.02,21.42,36.43,25.84,0.77,0.99,0,5.4,3.6,10.59,-0.22
"CBJ","2007-10-21","2007020115","20072008","VAN","1",32.63,0,64.84,65.75,57.74,52.8,0,2.13,18.3,9.92,23.65,12.32,31.42,23,0.72,0.64,-2.13,8.37,11.33,8.43,0.08
"CBJ","2007-10-23","2007020122","20072008","CHI","0",41.05,58.76,55.17,55.61,54.57,60.49,5.34,3.75,22.18,18.02,23.54,18.79,32.94,27.43,1.86,1.21,1.59,4.16,4.75,5.51,0.64
"CBJ","2007-10-25","2007020133","20072008","STL","1",51.5,100,39.72,40.76,45.49,46.2,0.94,0,21.13,32.08,28.19,40.97,38.85,46.55,1.85,2.15,0.94,-10.94,-12.78,-7.7,-0.3
"CBJ","2007-10-27","2007020145","20072008","S.J","1",40.33,46.92,47.74,52.06,54.14,51.12,0.94,1.06,11.93,13.06,20.89,19.24,26.14,22.14,0.7,0.67,-0.12,-1.13,1.65,4,0.03
"CBJ","2007-10-31","2007020171","20072008","L.A","0",41.55,100,58.81,59.63,56,69.35,3.2,0,28.8,20.18,38.7,26.2,47.81,37.56,3.19,1.41,3.2,8.63,12.5,10.25,1.78
"CBJ","2007-11-01","2007020181","20072008","ANA","0",37.45,0,36.86,38.86,35.93,25.13,0,0.94,10.29,17.63,15.51,24.41,17.54,31.29,0.48,1.44,-0.94,-7.34,-8.9,-13.75,-0.96
"CBJ","2007-11-04","2007020199","20072008","STL","1",46.78,100,57.49,58.69,62.23,62.09,1.98,0,15.64,11.57,27.38,19.27,43.81,26.58,1.63,1,1.98,4.07,8.11,17.22,0.64
"CBJ","2007-11-07","2007020217","20072008","CHI","0",44,42.3,37.77,38.7,37.3,43.49,2.07,2.83,18.2,29.99,21.3,33.74,24.19,40.67,1.2,1.57,-0.75,-11.79,-12.44,-16.48,-0.36
"CBJ","2007-11-09","2007020230","20072008","DET","0",37.53,0,24.2,28.43,34.07,28.3,0,1.98,7.76,24.3,12.83,32.32,19.54,37.81,0.52,1.31,-1.98,-16.54,-19.48,-18.27,-0.8
"CBJ","2007-11-10","2007020241","20072008","NSH","0",38.07,67.2,59.07,59.23,58.98,70.08,2.02,0.99,25.36,17.57,31.29,21.54,38.93,27.08,2.33,0.99,1.04,7.79,9.75,11.85,1.33
