"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"STL","2007-10-04","2007020014","20072008","ARI","0",44.72,25.73,41.64,38.11,42.69,34.76,1.01,2.92,20.04,28.08,24.03,39.02,33.73,45.27,1.41,2.64,-1.91,-8.04,-14.99,-11.54,-1.23
"STL","2007-10-06","2007020034","20072008","L.A","0",38.33,61.1,48.27,55.41,59.12,57.56,3.04,1.93,17.7,18.96,29.88,24.05,39.54,27.34,1.67,1.23,1.1,-1.27,5.83,12.2,0.44
"STL","2007-10-10","2007020048","20072008","NSH","1",38.58,79.44,60.04,56.6,47.49,56.54,3.91,1.01,22.54,15,28.11,21.55,29.88,33.04,1.64,1.26,2.9,7.54,6.56,-3.16,0.38
"STL","2007-10-12","2007020059","20072008","COL","1",44.8,79.25,48.57,44.57,42.42,56.27,3.87,1.01,20.06,21.24,25.99,32.32,32.18,43.68,2.59,2.02,2.85,-1.18,-6.33,-11.49,0.58
"STL","2007-10-17","2007020087","20072008","CHI","0",47.27,100,54.63,58.64,56.35,55.23,1.07,0,24.8,20.59,35.21,24.84,42.83,33.17,1.96,1.59,1.07,4.2,10.38,9.66,0.37
"STL","2007-10-20","2007020111","20072008","MIN","1",35.9,30.55,52.42,57.32,52.09,64.22,0.94,2.13,19.72,17.9,29.84,22.22,32.41,29.81,1.52,0.85,-1.19,1.82,7.62,2.6,0.67
"STL","2007-10-23","2007020123","20072008","ANA","1",40.48,31.15,68.16,66.92,66.52,59.9,0.94,2.07,25.42,11.87,32.17,15.9,37.14,18.69,1.99,1.33,-1.14,13.55,16.27,18.45,0.66
"STL","2007-10-25","2007020133","20072008","CBJ","0",51.5,0,60.28,59.24,54.51,53.8,0,0.94,32.08,21.13,40.97,28.19,46.55,38.85,2.15,1.85,-0.94,10.94,12.78,7.7,0.3
"STL","2007-10-27","2007020154","20072008","WSH","1",36.23,79.25,44.91,40.01,43.2,39.63,3.87,1.01,10.99,13.48,16.2,24.29,19.71,25.91,0.89,1.35,2.85,-2.49,-8.09,-6.21,-0.46
"STL","2007-10-30","2007020165","20072008","ARI","1",43.32,31.31,38.26,38.98,37.17,28.57,0.94,2.07,14.52,23.43,20.27,31.73,22.32,37.73,0.76,1.89,-1.13,-8.91,-11.46,-15.41,-1.13
"STL","2007-11-01","2007020177","20072008","MIN","0",45.43,52.98,49.91,56.63,48.44,48.48,2.12,1.88,19.61,19.68,26.82,20.54,30.93,32.93,1.12,1.19,0.24,-0.07,6.28,-2,-0.07
"STL","2007-11-03","2007020195","20072008","CHI","1",44.85,63.87,44.74,47.16,46.9,57.79,1.88,1.06,16.12,19.92,23.55,26.39,32.74,37.07,1.53,1.12,0.81,-3.79,-2.84,-4.33,0.41
"STL","2007-11-04","2007020199","20072008","CBJ","0",46.78,0,42.51,41.31,37.77,37.91,0,1.98,11.57,15.64,19.27,27.38,26.58,43.81,1,1.63,-1.98,-4.07,-8.11,-17.22,-0.64
"STL","2007-11-09","2007020231","20072008","CHI","0",42.25,0,44.69,43.95,38.8,36.8,0,0,19.65,24.32,24.55,31.31,25.23,39.8,1.93,3.32,0,-4.67,-6.76,-14.57,-1.39
"STL","2007-11-13","2007020253","20072008","DET","1",42.8,37.99,23.41,30.05,26.49,26.04,1.93,3.14,8.03,26.25,14.88,34.63,17,47.19,0.57,1.63,-1.22,-18.23,-19.75,-30.18,-1.05
"STL","2007-11-16","2007020275","20072008","CBJ","1",43.92,65.13,45.71,39.96,43.92,26.26,1.89,1.01,15.88,18.86,21.71,32.63,30.01,38.33,0.87,2.45,0.88,-2.98,-10.92,-8.32,-1.58
"STL","2007-11-17","2007020285","20072008","NSH","0",45.83,36.04,40.71,41.18,46.47,32.36,1.06,1.88,16.34,23.8,21.51,30.72,35.48,40.87,0.93,1.93,-0.82,-7.46,-9.21,-5.39,-1.01
"STL","2007-11-19","2007020295","20072008","NSH","1",43.53,100,51.82,44.76,45.58,0,0.99,0,19.17,17.82,25.15,31.04,30.58,36.51,0,0,0.99,1.35,-5.89,-5.93,0
"STL","2007-11-21","2007020307","20072008","DET","0",39.93,0,15.86,16.71,17.71,16.06,0,0.99,5.66,30.03,7.53,37.54,10.13,47.05,0.47,2.44,-0.99,-24.37,-30.01,-36.92,-1.98
"STL","2007-11-23","2007020323","20072008","VAN","1",37.87,49.4,47.96,43.47,44.49,35.91,0.99,1.01,15.8,17.14,21.08,27.41,28.97,36.16,0.98,1.75,-0.02,-1.34,-6.34,-7.18,-0.77
"STL","2007-11-25","2007020338","20072008","CGY","1",50.02,100,44.42,48.2,43.67,45.78,0.94,0,14.51,18.16,24.93,26.78,30.6,39.48,1.51,1.79,0.94,-3.65,-1.86,-8.88,-0.28
"STL","2007-11-28","2007020348","20072008","BUF","0",52.6,68.77,58.77,61.41,62.58,60.97,4.15,1.88,30.86,21.65,45.23,28.43,62.79,37.55,2.08,1.33,2.26,9.21,16.81,25.24,0.75
"STL","2007-11-30","2007020367","20072008","MIN","0",44.93,67.2,49.67,51.02,46.1,52.24,2.02,0.99,17.89,18.12,25.97,24.93,31.75,37.12,1.21,1.11,1.04,-0.23,1.04,-5.38,0.1
"STL","2007-12-01","2007020380","20072008","CHI","1",42.98,65.64,62.65,62.75,57.54,54.45,1.93,1.01,22.37,13.34,28.73,17.05,32.58,24.04,1.31,1.1,0.92,9.03,11.68,8.54,0.21
"STL","2007-12-04","2007020395","20072008","CGY","0",52.87,26.98,39.92,36.43,35.61,20.82,1.06,2.87,21.95,33.04,27.18,47.42,34.32,62.06,1.16,4.41,-1.81,-11.09,-20.24,-27.74,-3.25
"STL","2007-12-07","2007020419","20072008","EDM","0",38.52,63.06,55.46,57.18,60.21,53.8,3.2,1.88,20.91,16.79,33.68,25.23,43.48,28.73,1.83,1.57,1.33,4.12,8.46,14.75,0.26
"STL","2007-12-09","2007020433","20072008","COL","0",44.85,34.59,50.08,47.47,46.07,45.42,3.08,5.84,21.54,21.47,30.47,33.72,38.51,45.08,1.74,2.09,-2.75,0.07,-3.24,-6.57,-0.35
"STL","2007-12-11","2007020444","20072008","EDM","1",34.25,58.35,40.61,45.24,49.04,48.88,2.84,2.02,12.9,18.86,22.06,26.69,28.41,29.52,1.27,1.33,0.81,-5.96,-4.64,-1.11,-0.06
"STL","2007-12-13","2007020460","20072008","FLA","1",33.6,0,52.06,48.39,45.71,53,0,1.06,20.59,18.96,28.77,30.68,32.32,38.39,1.44,1.28,-1.06,1.63,-1.91,-6.07,0.16
"STL","2007-12-16","2007020482","20072008","CGY","1",44.12,72.67,51.19,38.06,37.2,34.91,2.82,1.06,15.28,14.57,18.06,29.38,21.84,36.86,1.05,1.95,1.76,0.71,-11.32,-15.02,-0.9
"STL","2007-12-20","2007020508","20072008","DET","1",42.48,31.31,38.24,39.18,38.13,42.98,0.94,2.07,14.92,24.1,22.78,35.35,25.92,42.06,1.29,1.71,-1.13,-9.18,-12.57,-16.14,-0.42
"STL","2007-12-22","2007020517","20072008","BOS","0",45.27,100,56.45,51.64,47.75,64.6,2.13,0,21.79,16.81,28.69,26.86,31.13,34.05,1.84,1.01,2.13,4.98,1.82,-2.93,0.83
"STL","2007-12-23","2007020530","20072008","ATL","1",50.7,100,47.86,44.95,48.87,45.5,0.94,0,14.71,16.02,19.7,24.14,30.65,32.06,0.83,0.99,0.94,-1.31,-4.43,-1.41,-0.16
"STL","2007-12-26","2007020542","20072008","DET","1",46.6,0,36.65,36.6,41.99,39.24,0,3.2,13.29,22.96,20.1,34.81,28.33,39.15,1.25,1.93,-3.2,-9.68,-14.72,-10.82,-0.68
"STL","2007-12-28","2007020558","20072008","S.J","1",42.9,0,48.58,45.32,41.65,60.78,0,1.06,11.66,12.35,15.43,18.61,22.1,30.96,0.81,0.52,-1.06,-0.68,-3.18,-8.86,0.29
"STL","2007-12-29","2007020569","20072008","DAL","0",46.22,43.99,55.32,45.57,46.84,58.59,3.04,3.87,24.18,19.52,27.22,32.51,33.48,38.01,1.95,1.38,-0.83,4.65,-5.29,-4.52,0.57
