"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"BOS","2007-10-05","2007020019","20072008","DAL","0",46.25,0,51.09,58.27,52.95,65.2,0,2.92,15.33,14.68,32.36,23.17,39.3,34.92,1.37,0.73,-2.92,0.65,9.18,4.38,0.64
"BOS","2007-10-06","2007020033","20072008","ARI","0",46.9,0,41.74,45.78,46.37,44,0,0.94,21.34,29.78,31.67,37.51,38.02,43.97,1.96,2.49,-0.94,-8.45,-5.84,-5.95,-0.53
"BOS","2007-10-10","2007020051","20072008","ANA","0",47.53,52.89,43.27,39.24,35.9,47.49,1.06,0.94,15.98,20.94,21.4,33.13,24.83,44.34,1.05,1.16,0.12,-4.97,-11.73,-19.51,-0.11
"BOS","2007-10-12","2007020062","20072008","L.A","0",41.48,53.31,45.51,48.74,46.48,51.26,3.21,2.81,16.8,20.11,27.6,29.03,35.45,40.82,1.98,1.89,0.4,-3.32,-1.43,-5.37,0.1
"BOS","2007-10-13","2007020075","20072008","S.J","0",41.5,100,52.05,45.84,45.45,49.79,2.12,0,18,16.58,25.74,30.41,37.92,45.52,1.58,1.59,2.12,1.42,-4.67,-7.59,-0.01
"BOS","2007-10-18","2007020089","20072008","T.B","1",56,79.44,42.55,42.9,46.37,36,3.91,1.01,24.11,32.55,32.46,43.21,41.7,48.22,0.92,1.64,2.9,-8.45,-10.75,-6.52,-0.72
"BOS","2007-10-20","2007020102","20072008","NYR","1",34.97,0,37.94,38.96,42.48,12.45,0,0,10.69,17.49,14.52,22.75,21.34,28.9,0.22,1.56,0,-6.8,-8.23,-7.56,-1.34
"BOS","2007-10-22","2007020118","20072008","MTL","0",43.82,0,68.66,73.96,68.87,62.39,0,3.91,24.69,11.27,37.86,13.33,55.24,24.97,1.34,0.81,-3.91,13.42,24.53,30.27,0.53
"BOS","2007-10-25","2007020131","20072008","CHI","1",44.2,100,45.8,40.86,41.05,51.39,1.93,0,15.96,18.88,19.86,28.74,24.05,34.53,1.4,1.33,1.93,-2.93,-8.88,-10.48,0.08
"BOS","2007-10-27","2007020146","20072008","PHI","1",42,0,61.54,58.29,57.13,55.86,0,0,29.17,18.23,36.52,26.13,41.06,30.81,1.4,1.11,0,10.94,10.39,10.25,0.29
"BOS","2007-11-01","2007020172","20072008","BUF","1",47.18,65.64,39.21,48.32,46.56,30.73,1.93,1.01,15.92,24.68,27.67,29.6,30.84,35.4,0.8,1.8,0.92,-8.76,-1.93,-4.56,-1
"BOS","2007-11-03","2007020189","20072008","OTT","0",50.57,100,33.43,32.35,36.26,29.81,2.07,0,18.14,36.13,22.35,46.74,35.2,61.88,1.17,2.75,2.07,-17.99,-24.39,-26.68,-1.58
"BOS","2007-11-04","2007020200","20072008","OTT","1",43.68,100,36.58,36.56,34.9,36.52,0.94,0,14.26,24.72,19.36,33.59,22.5,41.98,1.14,1.97,0.94,-10.46,-14.23,-19.47,-0.84
"BOS","2007-11-07","2007020213","20072008","BUF","0",46.92,100,57.5,62.2,57.72,63.35,1.06,0,19.11,14.12,30.99,18.83,40.93,29.98,1.29,0.75,1.06,4.98,12.16,10.95,0.54
"BOS","2007-11-08","2007020221","20072008","MTL","1",50.67,30.55,40.3,45.87,47.08,47.3,0.94,2.13,20.51,30.39,31.53,37.21,41.42,46.56,1.72,1.91,-1.19,-9.88,-5.68,-5.14,-0.2
"BOS","2007-11-10","2007020235","20072008","BUF","1",39.77,0,24.25,26.79,28.58,18.64,0,0,11.99,37.44,17.01,46.48,21.28,53.18,0.62,2.7,0,-25.45,-29.47,-31.89,-2.08
"BOS","2007-11-15","2007020262","20072008","TOR","1",49.55,79.25,52.27,48.26,46.86,52.42,3.87,1.01,24.76,22.62,29.05,31.14,32.8,37.19,1.64,1.49,2.85,2.15,-2.09,-4.39,0.15
"BOS","2007-11-17","2007020280","20072008","MTL","0",33.03,61.1,40.82,40.95,39.73,36.8,3.04,1.93,21.65,31.38,26.72,38.53,31.63,47.98,1.39,2.38,1.1,-9.73,-11.81,-16.35,-0.99
"BOS","2007-11-20","2007020297","20072008","TOR","0",49.27,67.72,47.61,44.45,45.83,46.62,2.07,0.99,21.05,23.16,28.08,35.09,37.73,44.6,1.72,1.97,1.08,-2.11,-7.01,-6.87,-0.25
"BOS","2007-11-23","2007020315","20072008","NYI","1",50.15,49.4,45.5,46.65,56.58,45.71,0.99,1.01,20.07,24.03,28.04,32.07,44.06,33.81,1.17,1.39,-0.02,-3.97,-4.03,10.25,-0.22
"BOS","2007-11-24","2007020327","20072008","NYI","0",46.78,36.04,44.96,48.07,52.97,37.27,1.06,1.88,18.51,22.66,29.33,31.69,46.14,40.97,1.36,2.29,-0.82,-4.15,-2.36,5.18,-0.93
"BOS","2007-11-26","2007020342","20072008","PHI","0",44.92,100,65.44,65.39,66.61,67.33,5.34,0,27.26,14.39,40.27,21.32,56.15,28.14,2.6,1.26,5.34,12.86,18.95,28,1.34
"BOS","2007-11-29","2007020360","20072008","FLA","0",50.07,69.55,64.6,61.65,61.19,57.73,2.14,0.94,37.77,20.7,45.98,28.61,50.05,31.75,2.2,1.61,1.2,17.08,17.37,18.3,0.59
"BOS","2007-12-01","2007020379","20072008","T.B","0",48.37,0,51.67,52.39,50.85,49.31,0,2.92,21.4,20.02,29.01,26.37,36.58,35.36,1.58,1.63,-2.92,1.39,2.65,1.22,-0.04
"BOS","2007-12-03","2007020386","20072008","NYI","0",39.73,100,47.92,49.78,57.84,54.74,1.07,0,16.28,17.69,22.04,22.24,33.96,24.75,1.54,1.28,1.07,-1.41,-0.19,9.21,0.27
"BOS","2007-12-05","2007020396","20072008","N.J","0",49.82,53.19,44.48,42.29,49.73,48.33,2.13,1.88,18.9,23.59,21.27,29.03,31.96,32.3,1.45,1.55,0.26,-4.69,-7.76,-0.34,-0.1
"BOS","2007-12-06","2007020406","20072008","MTL","1",49.33,22.6,48.54,46.76,48.41,51.68,0.94,3.21,19.95,21.16,27.89,31.76,34.57,36.85,1.34,1.25,-2.28,-1.2,-3.87,-2.27,0.09
"BOS","2007-12-08","2007020421","20072008","TOR","0",40.18,52.89,45.62,42.11,41.56,32.76,1.06,0.94,12.57,14.98,19.07,26.22,23.29,32.74,0.77,1.58,0.12,-2.41,-7.14,-9.45,-0.81
