"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"MTL","2007-10-03","2007020003","20072008","CAR","0",37.12,0,53.45,51.54,54.54,47.76,0,0.94,24.73,21.54,33.2,31.21,52.64,43.88,2.14,2.34,-0.94,3.19,1.99,8.77,-0.2
"MTL","2007-10-06","2007020022","20072008","TOR","0",44.02,43.11,43.03,42.01,47.42,52.05,2.13,2.81,17.71,23.45,25.2,34.79,38.85,43.07,1.58,1.46,-0.68,-5.74,-9.59,-4.22,0.12
"MTL","2007-10-10","2007020043","20072008","PIT","0",49.05,69.45,59.58,55.76,56.12,37.4,2.13,0.94,30.92,20.98,40.75,32.32,49.41,38.64,1.71,2.87,1.19,9.95,8.43,10.77,-1.16
"MTL","2007-10-13","2007020065","20072008","CAR","1",41.83,100,42.85,45.35,54.31,45.59,0.94,0,17.8,23.74,28.39,34.21,43.23,36.37,1.33,1.59,0.94,-5.94,-5.82,6.86,-0.26
"MTL","2007-10-16","2007020082","20072008","FLA","1",45.53,0,60.05,55.99,51.38,64.45,0,0,21.78,14.49,33.18,26.08,45.28,42.84,2.22,1.22,0,7.29,7.1,2.44,0.99
"MTL","2007-10-18","2007020094","20072008","OTT","0",44.48,26.02,42.72,40.05,39.32,34.82,1.01,2.88,20.35,27.28,27.12,40.58,35.3,54.48,1.52,2.84,-1.87,-6.93,-13.47,-19.18,-1.32
"MTL","2007-10-20","2007020104","20072008","BUF","1",39.03,46.92,52.68,48.84,52.24,38.65,0.94,1.06,19,17.06,25.88,27.11,37.09,33.9,1.22,1.94,-0.12,1.93,-1.23,3.19,-0.72
"MTL","2007-10-22","2007020118","20072008","BOS","1",43.82,100,31.34,26.04,31.13,37.61,3.91,0,11.27,24.69,13.33,37.86,24.97,55.24,0.81,1.34,3.91,-13.42,-24.53,-30.27,-0.53
"MTL","2007-10-26","2007020141","20072008","CAR","0",38.2,27.38,48.84,46.88,50.44,39.51,1.06,2.81,20.81,21.8,26.87,30.44,39.21,38.52,1.45,2.22,-1.75,-0.98,-3.58,0.69,-0.77
"MTL","2007-10-27","2007020150","20072008","PIT","0",47.2,69.45,57.5,57.88,54.65,59.3,2.13,0.94,19.91,14.71,32.57,23.7,44.44,36.88,1.71,1.17,1.19,5.19,8.86,7.56,0.54
"MTL","2007-10-30","2007020164","20072008","ATL","1",39.78,0,38.89,43.78,50.45,26.85,0,2.07,13.29,20.88,23.9,30.69,38.55,37.86,0.77,2.11,-2.07,-7.59,-6.79,0.69,-1.33
