"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"VAN","2021-10-13","2021020006","20212022","EDM","0",47.6,51.71,46.39,45.33,42.67,40.43,1.01,0.94,24.59,28.41,28.5,34.37,38.09,51.18,1.59,2.34,0.07,-3.82,-5.88,-13.08,-0.75
"VAN","2021-10-15","2021020018","20212022","PHI","0",47.18,52.52,59.21,51.56,53.4,54.05,2.08,1.88,29.14,20.07,33.57,31.54,49.13,42.87,1.76,1.49,0.2,9.07,2.04,6.26,0.26
"VAN","2021-10-16","2021020024","20212022","DET","0",43.33,51.71,63.13,67.73,64.28,57.35,1.01,0.94,24.53,14.32,34.39,16.39,46.62,25.91,1.6,1.19,0.07,10.2,18,20.71,0.41
"VAN","2021-10-19","2021020039","20212022","BUF","0",47.27,35.78,47.64,44.47,43.85,43.96,2.12,3.81,27.05,29.74,28.17,35.18,33.17,42.47,1.6,2.04,-1.69,-2.69,-7.01,-9.3,-0.44
"VAN","2021-10-21","2021020058","20212022","CHI","0",45.93,100,46.44,51.97,51.7,40.94,2.12,0,16.11,18.58,26.93,24.89,38.94,36.38,1.2,1.74,2.12,-2.47,2.04,2.56,-0.53
"VAN","2021-10-23","2021020078","20212022","SEA","0",48.83,52.31,43.06,45.15,49.01,31.82,2.07,1.89,20.34,26.89,33.59,40.8,46.45,48.31,0.95,2.03,0.18,-6.56,-7.21,-1.87,-1.08
"VAN","2021-10-26","2021020094","20212022","MIN","1",48.85,22.65,35.15,36.78,41.65,26.15,0.94,3.2,15.44,28.48,19.89,34.2,31.36,43.93,0.88,2.5,-2.26,-13.04,-14.31,-12.57,-1.61
"VAN","2021-10-28","2021020106","20212022","PHI","1",42.42,46.92,37,41.78,39.39,50.88,0.94,1.06,14.75,25.13,22.9,31.91,29.05,44.7,1.31,1.27,-0.12,-10.37,-9.01,-15.65,0.05
"VAN","2021-10-30","2021020124","20212022","EDM","1",52.43,0,39.69,42.46,43.55,42.79,0,0,21.12,32.09,31.86,43.16,43.23,56.03,1.93,2.58,0,-10.97,-11.31,-12.81,-0.65
"VAN","2021-11-02","2021020141","20212022","NYR","1",40.63,100,56.39,55.56,56.5,67.45,1.88,0,17.82,13.79,25.11,20.09,34.41,26.5,1.65,0.8,1.88,4.04,5.03,7.92,0.85
