"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"VAN","2007-10-05","2007020020","20072008","S.J","1",36.73,22.65,34.57,36.01,42.95,36.86,0.94,3.2,12.15,22.99,15.58,27.68,27.55,36.59,0.94,1.62,-2.26,-10.84,-12.11,-9.04,-0.67
"VAN","2007-10-06","2007020032","20072008","CGY","0",42.08,0,41.64,36.91,38.39,37.31,0,1.88,14.25,19.98,18.24,31.18,29.12,46.74,0.83,1.39,-1.88,-5.72,-12.94,-17.62,-0.56
"VAN","2007-10-10","2007020050","20072008","PHI","1",39.08,0,46.41,49.58,48.63,37.33,0,5.34,16.87,19.48,25.7,26.13,32.86,34.72,0.96,1.61,-5.34,-2.61,-0.43,-1.86,-0.65
"VAN","2007-10-12","2007020061","20072008","EDM","0",51.18,82,46.38,48.96,43.19,64.32,4.27,0.94,19.6,22.66,26.62,27.75,32.76,43.09,2.15,1.19,3.34,-3.06,-1.13,-10.34,0.96
"VAN","2007-10-13","2007020073","20072008","EDM","1",40.12,100,48.86,47.12,49.4,48.87,2.92,0,16.8,17.58,21.8,24.46,29.01,29.72,1.25,1.3,2.92,-0.78,-2.66,-0.71,-0.06
"VAN","2007-10-15","2007020079","20072008","S.J","1",40.08,0,40.46,39.78,40.8,51.52,0,2.14,17.11,25.18,23.59,35.71,33.17,48.12,1.93,1.82,-2.14,-8.07,-12.12,-14.95,0.11
"VAN","2007-10-19","2007020101","20072008","L.A","1",43.67,47.48,63.42,64.14,59.56,60.57,1.88,2.08,17.55,10.12,29.78,16.65,39.3,26.68,1.62,1.05,-0.2,7.43,13.13,12.62,0.56
"VAN","2007-10-21","2007020115","20072008","CBJ","0",32.63,100,35.16,34.25,42.26,47.2,2.13,0,9.92,18.3,12.32,23.65,23,31.42,0.64,0.72,2.13,-8.37,-11.33,-8.43,-0.08
"VAN","2007-10-22","2007020117","20072008","CAR","0",45.2,50.6,42.87,53.35,46.7,49.54,1.01,0.99,15.77,21.01,28.56,24.97,38.85,44.33,1.74,1.77,0.02,-5.24,3.59,-5.48,-0.03
"VAN","2007-10-24","2007020129","20072008","DET","0",43.82,34.36,20.81,26.78,26.24,19.31,1.01,1.93,7.79,29.63,12.66,34.62,15.4,43.27,0.47,1.98,-0.92,-21.84,-21.96,-27.88,-1.51
