"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"WSH","2007-10-05","2007020018","20072008","ATL","0",40.45,69.55,66.24,64.66,66.76,48.47,2.14,0.94,32.22,16.42,38.08,20.81,52.24,26.01,1.43,1.52,1.2,15.8,17.27,26.23,-0.09
"WSH","2007-10-06","2007020025","20072008","CAR","1",43.83,100,68.04,65.8,60.82,70.34,0.94,0,28.08,13.19,38.4,19.96,47.63,30.68,2.01,0.85,0.94,14.89,18.44,16.94,1.16
"WSH","2007-10-08","2007020036","20072008","NYI","0",43.93,68.69,31.03,39.47,46.04,45.29,2.07,0.94,11.07,24.6,19.25,29.51,32.03,37.54,0.92,1.11,1.13,-13.53,-10.27,-5.51,-0.19
"WSH","2007-10-12","2007020057","20072008","NYR","0",37.57,0,45.76,47.85,47.16,44.03,0,0,18.02,21.36,26.42,28.8,34.14,38.25,1.14,1.45,0,-3.34,-2.38,-4.11,-0.31
"WSH","2007-10-13","2007020063","20072008","BUF","0",39.97,34.65,29.65,35.76,37.29,36.73,2.07,3.91,14.28,33.88,21.96,39.46,28.97,48.73,1.4,2.41,-1.84,-19.6,-17.49,-19.75,-1.01
"WSH","2007-10-18","2007020091","20072008","NYI","1",41.67,46.81,58.64,58.69,59.18,62.86,1.88,2.13,21.63,15.26,34.19,24.06,45.88,31.64,1.92,1.13,-0.26,6.37,10.13,14.24,0.78
"WSH","2007-10-20","2007020108","20072008","PIT","1",45,48.29,61.4,63.51,60.47,46.71,0.94,1.01,23.08,14.51,36.2,20.79,48.35,31.6,1.5,1.71,-0.07,8.57,15.4,16.74,-0.21
"WSH","2007-10-24","2007020126","20072008","T.B","1",44.63,65.38,52.34,56.72,61.41,65.89,3.82,2.02,20.4,18.57,29.48,22.49,45.97,28.89,2.33,1.2,1.8,1.82,6.98,17.08,1.12
"WSH","2007-10-26","2007020140","20072008","VAN","1",41.55,0,45.18,47.35,46.68,39.05,0,1.06,13.62,16.54,20,22.24,29.55,33.74,0.8,1.24,-1.06,-2.91,-2.24,-4.2,-0.45
"WSH","2007-10-27","2007020154","20072008","STL","0",36.23,20.75,55.09,59.99,56.8,60.37,1.01,3.87,13.48,10.99,24.29,16.2,25.91,19.71,1.35,0.89,-2.85,2.49,8.09,6.21,0.46
"WSH","2007-10-29","2007020161","20072008","TOR","0",41.33,82,54.56,54.69,57.5,61.92,4.27,0.94,23.93,19.93,34.45,28.55,45.92,33.94,1.73,1.07,3.34,4,5.91,11.97,0.67
"WSH","2007-11-01","2007020174","20072008","NYR","0",46.83,0,56.39,53.83,61.31,56.01,0,0.94,22.88,17.69,30.04,25.76,51.99,32.81,2.73,2.15,-0.94,5.19,4.27,19.18,0.59
"WSH","2007-11-02","2007020183","20072008","PHI","1",38.6,31.31,62.66,57.62,62.04,57.37,0.94,2.07,22.65,13.49,28.52,20.98,49.27,30.15,1.76,1.31,-1.13,9.15,7.54,19.12,0.45
"WSH","2007-11-05","2007020204","20072008","CAR","0",41.32,0,51.59,54.21,56.86,47.59,0,1.98,23.4,21.96,35.21,29.74,48.92,37.12,1.96,2.15,-1.98,1.44,5.47,11.8,-0.2
"WSH","2007-11-06","2007020211","20072008","ATL","0",41.23,0,55.37,55.96,58.22,51.63,0,0.94,24.44,19.7,33.65,26.48,42.7,30.65,1.41,1.32,-0.94,4.74,7.16,12.05,0.09
"WSH","2007-11-08","2007020225","20072008","OTT","0",42.37,69.55,52.74,49.36,52.05,35.48,2.14,0.94,21.92,19.64,28.78,29.52,38.86,35.8,0.86,1.56,1.2,2.28,-0.74,3.06,-0.7
"WSH","2007-11-10","2007020239","20072008","T.B","1",49.3,46.81,37.91,39.2,39.66,38.05,1.88,2.13,18.69,30.61,27.99,43.41,37.16,56.53,1.39,2.26,-0.26,-11.92,-15.42,-19.37,-0.87
"WSH","2007-11-15","2007020266","20072008","FLA","0",46.62,34.36,46.15,46.09,48.62,43.23,1.01,1.93,18.48,21.56,27.22,31.84,35.47,37.48,1.39,1.82,-0.92,-3.08,-4.62,-2.01,-0.43
"WSH","2007-11-16","2007020274","20072008","T.B","0",43.85,51.84,54.39,56.15,60.72,67.31,2.07,1.93,20.53,17.21,31.23,24.39,50.55,32.7,1.82,0.88,0.15,3.32,6.84,17.84,0.93
"WSH","2007-11-19","2007020292","20072008","FLA","1",45.33,18.03,46.47,44.98,47.3,40.22,0.94,4.26,20.14,23.2,24.64,30.14,35.19,39.21,1.18,1.75,-3.33,-3.06,-5.5,-4.02,-0.57
"WSH","2007-11-21","2007020302","20072008","ATL","1",42.77,0,52.99,48.71,48.83,55.83,0,3.15,19.53,17.33,24.29,25.57,35.49,37.2,1.65,1.31,-3.15,2.2,-1.28,-1.71,0.35
"WSH","2007-11-23","2007020316","20072008","PHI","0",43.9,69.55,67.57,70.25,71.75,78.04,2.14,0.94,31.06,14.91,43.51,18.42,57.76,22.74,2.49,0.7,1.2,16.15,25.08,35.02,1.79
"WSH","2007-11-24","2007020328","20072008","CAR","1",48.97,0,49.76,51.23,52.51,55.4,0,2.02,26.52,26.77,38.25,36.41,51.13,46.24,2.53,2.04,-2.02,-0.26,1.84,4.89,0.49
"WSH","2007-11-26","2007020343","20072008","BUF","1",46.55,22.71,48.16,47.83,47.32,49.36,0.94,3.19,24.36,26.22,31.54,34.41,38.5,42.87,2.48,2.54,-2.26,-1.86,-2.87,-4.36,-0.06
"WSH","2007-11-28","2007020351","20072008","FLA","1",42.1,100,42.82,44.53,47.82,43.86,0.94,0,16.01,21.38,21.61,26.93,32.6,35.58,1.26,1.61,0.94,-5.37,-5.31,-2.98,-0.35
"WSH","2007-11-30","2007020365","20072008","CAR","0",39.15,20.78,62.08,66.15,58.79,60.45,1.01,3.86,21.77,13.3,37.87,19.38,48.16,33.75,2.45,1.61,-2.85,8.47,18.49,14.41,0.85
"WSH","2007-12-01","2007020377","20072008","FLA","0",49.08,69.35,66.99,64.73,61.56,68.54,2.12,0.94,39.23,19.33,53.82,29.32,61.03,38.11,2.67,1.22,1.18,19.91,24.5,22.92,1.44
"WSH","2007-12-07","2007020412","20072008","N.J","0",42.98,34.36,47.75,53.71,51.58,41.76,1.01,1.93,14.32,15.66,21.93,18.9,26.4,24.78,0.74,1.03,-0.92,-1.35,3.03,1.61,-0.29
"WSH","2007-12-08","2007020423","20072008","ATL","1",45.72,74.41,51.95,53.94,57.05,55.43,5.88,2.02,23.37,21.61,35.09,29.96,49.81,37.5,2.51,2.02,3.86,1.76,5.12,12.31,0.49
"WSH","2007-12-10","2007020435","20072008","N.J","1",48.92,48.25,53.3,53.82,55.92,55.08,1.93,2.07,18.08,15.84,30.22,25.93,44.76,35.28,2.06,1.68,-0.14,2.24,4.29,9.48,0.38
"WSH","2007-12-12","2007020447","20072008","NYR","1",45.92,47.54,57.34,55.28,60.94,50.86,3.77,4.16,23.58,17.54,30.84,24.95,44.06,28.24,1.92,1.85,-0.39,6.04,5.89,15.82,0.06
"WSH","2007-12-14","2007020463","20072008","BUF","1",41.07,37.53,47.98,44.35,44.56,37.92,1.88,3.13,18.92,20.51,22.8,28.61,32.93,40.97,1.31,2.14,-1.25,-1.59,-5.81,-8.04,-0.83
"WSH","2007-12-15","2007020475","20072008","T.B","0",43.22,52.4,50.87,49.47,53.23,52.34,2.07,1.88,18.84,18.2,25.16,25.69,36.94,32.46,1.46,1.33,0.19,0.64,-0.53,4.48,0.13
"WSH","2007-12-17","2007020485","20072008","DET","0",41.83,52.89,56.65,57.94,56.36,58.24,1.06,0.94,22.82,17.46,33.23,24.12,36.32,28.12,1.81,1.3,0.12,5.36,9.11,8.2,0.51
"WSH","2007-12-20","2007020503","20072008","MTL","1",47.1,22.6,60.53,57.22,58.46,44.94,0.94,3.21,22.05,14.38,28.35,21.2,42.73,30.37,1.63,1.99,-2.28,7.67,7.16,12.37,-0.37
"WSH","2007-12-22","2007020519","20072008","NYI","0",49.95,34.87,37.75,37.94,43.64,29.38,1.01,1.89,14.34,23.65,21.65,35.4,35.88,46.34,1.18,2.84,-0.88,-9.31,-13.75,-10.46,-1.66
"WSH","2007-12-26","2007020539","20072008","T.B","1",50.45,57.07,57.21,59.01,58.64,63.93,2.82,2.12,24.96,18.67,39.15,27.19,50.69,35.75,2.61,1.47,0.7,6.29,11.96,14.94,1.14
"WSH","2007-12-27","2007020548","20072008","PIT","0",52.07,62.01,54.52,56.11,60.53,51.36,3.08,1.89,24,20.02,40.11,31.37,58.72,38.28,2.23,2.11,1.2,3.98,8.73,20.44,0.12
"WSH","2007-12-29","2007020562","20072008","OTT","0",39.02,85.07,69.08,67.47,63.26,78.65,5.34,0.94,23.66,10.59,36.53,17.62,41.94,24.35,3.28,0.89,4.41,13.07,18.91,17.58,2.39
"WSH","2008-01-01","2007020585","20072008","OTT","1",48.72,37.99,39.62,42.77,41.37,51.33,1.93,3.14,17.46,26.61,22.83,30.54,30.87,43.75,1.49,1.42,-1.22,-9.15,-7.72,-12.88,0.08
"WSH","2008-01-03","2007020595","20072008","BOS","0",46.4,0,50.13,48.42,46.93,53.98,0,0.94,23.04,22.92,30.04,32,32.9,37.21,1.53,1.3,-0.94,0.12,-1.96,-4.31,0.23
"WSH","2008-01-05","2007020609","20072008","MTL","0",44.52,52.25,59.15,56.21,56.57,46.99,3.13,2.86,24.36,16.82,30.52,23.77,44.57,34.21,1.24,1.4,0.27,7.53,6.75,10.35,-0.16
"WSH","2008-01-09","2007020638","20072008","COL","1",49,65.64,54.26,56.31,54.42,55.66,1.93,1.01,17.82,15.02,28.49,22.1,41.65,34.88,1.52,1.21,0.92,2.8,6.38,6.77,0.31
"WSH","2008-01-13","2007020666","20072008","PHI","1",44.63,54.38,53.22,60,60.68,54.68,3.76,3.15,24.08,21.17,40.16,26.77,54.53,35.34,2.16,1.79,0.6,2.91,13.39,19.2,0.37
