"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"ARI","2007-10-04","2007020014","20072008","STL","1",44.72,74.27,58.36,61.89,57.31,65.24,2.92,1.01,28.08,20.04,39.02,24.03,45.27,33.73,2.64,1.41,1.91,8.04,14.99,11.54,1.23
"ARI","2007-10-06","2007020033","20072008","BOS","1",46.9,100,58.26,54.22,53.63,56,0.94,0,29.78,21.34,37.51,31.67,43.97,38.02,2.49,1.96,0.94,8.45,5.84,5.95,0.53
"ARI","2007-10-10","2007020042","20072008","CBJ","0",44.13,0,33.23,36.45,36.66,23.44,0,2.92,16.08,32.31,22.69,39.56,27,46.65,0.58,1.9,-2.92,-16.23,-16.86,-19.65,-1.32
"ARI","2007-10-11","2007020056","20072008","NSH","0",38.3,69.55,47.16,45.23,47.15,55.18,2.14,0.94,19.48,21.82,24,29.06,35.26,39.52,1.62,1.31,1.2,-2.34,-5.06,-4.26,0.3
"ARI","2007-10-13","2007020074","20072008","MIN","1",44.3,47.11,53.07,50.35,50.74,64.34,0.94,1.06,19.08,16.87,26.17,25.81,33.4,32.42,1.59,0.88,-0.12,2.2,0.36,0.98,0.71
"ARI","2007-10-18","2007020096","20072008","EDM","1",49.27,22.76,62.05,53.07,49.81,57.4,0.94,3.18,29.68,18.15,34.05,30.11,40.99,41.31,1.8,1.34,-2.24,11.53,3.94,-0.32,0.46
"ARI","2007-10-20","2007020113","20072008","DET","1",43.08,30.88,33.14,35.8,39.13,33.42,1.88,4.22,15.06,30.39,20.49,36.74,29.58,46.02,1.08,2.15,-2.33,-15.32,-16.25,-16.44,-1.07
"ARI","2007-10-25","2007020138","20072008","ANA","0",40.18,100,50.35,45.16,41.31,32.55,1.06,0,17.05,16.81,23.59,28.65,27.13,38.54,0.7,1.44,1.06,0.24,-5.06,-11.41,-0.75
"ARI","2007-10-27","2007020155","20072008","DAL","1",43.62,72.62,59.98,58.75,56.14,71.6,2.81,1.06,22.64,15.11,29.62,20.8,37.26,29.11,1.66,0.66,1.75,7.53,8.82,8.15,1
"ARI","2007-10-30","2007020165","20072008","STL","0",43.32,68.69,61.74,61.02,62.83,71.43,2.07,0.94,23.43,14.52,31.73,20.27,37.73,22.32,1.89,0.76,1.13,8.91,11.46,15.41,1.13
"ARI","2007-11-02","2007020185","20072008","DAL","0",51.72,100,48.64,51.38,47.98,45.07,4.27,0,24.74,26.13,37.04,35.05,43.47,47.13,1.62,1.97,4.27,-1.39,1.99,-3.65,-0.35
"ARI","2007-11-03","2007020196","20072008","ANA","1",42.18,30.45,44.46,48.72,44.51,47.45,0.94,2.14,17.19,21.47,25.04,26.35,28.98,36.13,1.09,1.21,-1.2,-4.28,-1.31,-7.15,-0.12
"ARI","2007-11-07","2007020219","20072008","ANA","0",39.53,43.04,44.82,43.2,39.5,46.31,2.13,2.82,12.43,15.31,16.63,21.86,18.69,28.62,1.11,1.29,-0.69,-2.88,-5.23,-9.93,-0.18
"ARI","2007-11-08","2007020227","20072008","DAL","1",44.92,49.4,52.05,48.65,46.67,59.15,1.98,2.02,21.84,20.11,23.88,25.2,29.4,33.59,1.4,0.97,-0.05,1.72,-1.32,-4.19,0.43
"ARI","2007-11-10","2007020244","20072008","S.J","0",47.88,26.98,46.59,45.53,47.59,33.9,1.06,2.87,18.84,21.6,28.67,34.3,40.89,45.03,0.81,1.58,-1.81,-2.76,-5.63,-4.14,-0.77
