"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"N.J","2007-10-04","2007020009","20072008","T.B","0",45.12,0,54.48,56.8,61.02,53.87,0,1.88,19.23,16.07,31.05,23.61,42.7,27.28,1.33,1.14,-1.88,3.16,7.44,15.42,0.19
"N.J","2007-10-06","2007020026","20072008","FLA","0",42.57,100,43.97,45.27,43.87,33.83,2.13,0,15.14,19.29,21.81,26.37,28.78,36.82,0.7,1.37,2.13,-4.15,-4.56,-8.04,-0.67
"N.J","2007-10-08","2007020037","20072008","OTT","0",52.97,51.15,46.95,51.94,56.86,53.47,2.02,1.93,27.64,31.24,38.32,35.46,61.59,46.73,2.48,2.16,0.09,-3.59,2.86,14.86,0.32
"N.J","2007-10-11","2007020055","20072008","FLA","0",40.3,0,48.97,47.8,50.98,63.06,0,0.94,20.47,21.33,25.15,27.46,34.46,33.14,1.39,0.82,-0.94,-0.86,-2.31,1.32,0.58
"N.J","2007-10-13","2007020068","20072008","ATL","0",43.25,44.75,59.91,57.35,52.92,56.72,3.08,3.81,20.75,13.88,27.94,20.78,32.63,29.02,1.74,1.33,-0.72,6.87,7.16,3.6,0.41
"N.J","2007-10-17","2007020086","20072008","PIT","0",38.9,77.29,62.44,59.9,59.71,68.25,3.19,0.94,25.28,15.21,37.06,24.81,43.52,29.36,2.21,1.03,2.26,10.07,12.25,14.15,1.18
"N.J","2007-10-18","2007020090","20072008","PHI","0",40.4,0,65.67,62.82,59.72,53.76,0,2.96,24.41,12.76,31.99,18.94,36.54,24.65,1.06,0.91,-2.96,11.65,13.06,11.9,0.15
"N.J","2007-10-20","2007020106","20072008","NYI","0",43.12,62.1,48.23,46.63,51.86,58.61,3.08,1.88,20.12,21.59,26.52,30.35,37.13,34.47,2.02,1.43,1.2,-1.47,-3.83,2.66,0.59
"N.J","2007-10-25","2007020132","20072008","NYR","0",43.43,0,40.31,48.18,44.87,33.3,0,0.94,15.39,22.79,23.12,24.86,26.54,32.61,0.87,1.74,-0.94,-7.4,-1.74,-6.07,-0.87
"N.J","2007-10-27","2007020147","20072008","OTT","1",50.03,0,53.92,49.77,49.65,39.29,0,2.12,25.8,22.05,30.36,30.65,38.64,39.19,1.28,1.97,-2.12,3.75,-0.29,-0.55,-0.7
