"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"ANA","2007-09-29","2007020001","20072008","L.A","0",34.7,0,67.31,63.89,68.41,77.46,0,0,13.26,6.44,17.06,9.64,25.92,11.97,1.42,0.41,0,6.82,7.42,13.95,1.01
"ANA","2007-09-30","2007020002","20072008","L.A","1",48.02,66.13,52.29,53.88,57.38,57.71,1.98,1.01,20.41,18.62,28.12,24.08,36.57,27.16,1.53,1.12,0.96,1.79,4.05,9.41,0.41
"ANA","2007-10-03","2007020004","20072008","DET","0",41.42,100,24.3,27.15,30.6,28.89,1.01,0,7.01,21.86,12.14,32.59,16.21,36.76,0.73,1.8,1.01,-14.84,-20.45,-20.55,-1.07
"ANA","2007-10-05","2007020016","20072008","CBJ","0",31.85,0,35.03,40.26,40.9,45.38,0,0.94,10.22,18.97,14.88,22.09,20.02,28.92,1.07,1.29,-0.94,-8.74,-7.2,-8.91,-0.22
"ANA","2007-10-06","2007020027","20072008","PIT","0",41.87,21.76,49.08,47.54,52.61,39.19,1.06,3.82,14.3,14.84,22.62,24.96,40.99,36.93,1.05,1.63,-2.76,-0.54,-2.34,4.06,-0.58
"ANA","2007-10-10","2007020051","20072008","BOS","1",47.53,47.11,56.73,60.76,64.1,52.51,0.94,1.06,20.94,15.98,33.13,21.4,44.34,24.83,1.16,1.05,-0.12,4.97,11.73,19.51,0.11
"ANA","2007-10-14","2007020076","20072008","MIN","1",40.52,0,47.17,50.37,50.45,60.87,0,2.13,19.6,21.96,25.85,25.46,31.89,31.32,1.32,0.85,-2.13,-2.35,0.38,0.57,0.47
"ANA","2007-10-15","2007020080","20072008","DET","1",27.38,0,51.2,48.01,46.4,50.43,0,1.01,13.24,12.62,15.29,16.56,16.59,19.16,0.79,0.78,-1.01,0.62,-1.27,-2.57,0.01
"ANA","2007-10-17","2007020088","20072008","NSH","1",50.08,73.98,56.25,52,50.43,49.11,2.88,1.01,29.37,22.84,34.44,31.8,41.95,41.23,1.41,1.46,1.87,6.53,2.64,0.72,-0.05
"ANA","2007-10-20","2007020110","20072008","DAL","0",41.05,0,39.06,39.11,47.46,35.64,0,0.99,9.44,14.72,14.16,22.04,25.17,27.86,0.6,1.08,-0.99,-5.28,-7.88,-2.69,-0.48
"ANA","2007-10-23","2007020123","20072008","STL","0",40.48,68.85,31.84,33.08,33.48,40.1,2.07,0.94,11.87,25.42,15.9,32.17,18.69,37.14,1.33,1.99,1.14,-13.55,-16.27,-18.45,-0.66
"ANA","2007-10-25","2007020138","20072008","ARI","1",40.18,0,49.65,54.84,58.69,67.45,0,1.06,16.81,17.05,28.65,23.59,38.54,27.13,1.44,0.7,-1.06,-0.24,5.06,11.41,0.75
"ANA","2007-10-28","2007020158","20072008","EDM","1",45.95,63.96,60.49,64.92,65.17,0,1.88,1.06,21.04,13.74,31.48,17.02,37.96,20.29,0,0,0.82,7.3,14.47,17.67,0
"ANA","2007-11-01","2007020181","20072008","CBJ","1",37.45,100,63.14,61.14,64.07,74.87,0.94,0,17.63,10.29,24.41,15.51,31.29,17.54,1.44,0.48,0.94,7.34,8.9,13.75,0.96
"ANA","2007-11-03","2007020196","20072008","ARI","0",42.18,69.55,55.54,51.28,55.49,52.55,2.14,0.94,21.47,17.19,26.35,25.04,36.13,28.98,1.21,1.09,1.2,4.28,1.31,7.15,0.12
