"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"CGY","2007-10-04","2007020012","20072008","PHI","1",42.65,0,32.52,45.79,51.88,44,0,2.12,10.05,20.85,22.51,26.64,36.55,33.9,1.08,1.37,-2.12,-10.8,-4.13,2.65,-0.29
"CGY","2007-10-06","2007020032","20072008","VAN","1",42.08,100,58.36,63.09,61.61,62.69,1.88,0,19.98,14.25,31.18,18.24,46.74,29.12,1.39,0.83,1.88,5.72,12.94,17.62,0.56
"CGY","2007-10-10","2007020045","20072008","DET","0",51.48,68.17,40.18,42.89,47.19,48.25,2.02,0.94,16.67,24.82,24.56,32.7,34.91,39.08,1.44,1.55,1.08,-8.15,-8.14,-4.16,-0.1
"CGY","2007-10-12","2007020060","20072008","DAL","0",46.47,68.17,51.79,53.94,57.16,56.67,2.02,0.94,20.54,19.12,29.39,25.1,40.7,30.51,1.38,1.06,1.08,1.42,4.29,10.19,0.33
"CGY","2007-10-13","2007020070","20072008","NSH","0",45.92,73.98,61.11,60.48,59.28,66.22,5.34,1.88,24.14,15.36,31.83,20.8,39.08,26.84,1.66,0.85,3.46,8.78,11.03,12.24,0.81
"CGY","2007-10-16","2007020083","20072008","COL","0",42.32,60.3,49.43,57.52,61.22,58.82,4.27,2.81,22.2,22.71,35.47,26.2,48.23,30.55,2.26,1.58,1.46,-0.51,9.27,17.69,0.68
"CGY","2007-10-18","2007020095","20072008","L.A","1",38.28,63.74,49.49,54.18,56.09,63.37,1.88,1.07,22.99,23.47,32.56,27.53,41.49,32.48,1.84,1.07,0.81,-0.47,5.03,9.01,0.78
"CGY","2007-10-20","2007020112","20072008","EDM","1",37.87,48.29,62.83,61.67,65.95,48.35,0.94,1.01,21.39,12.65,26.59,16.52,35.27,18.21,1.11,1.18,-0.07,8.74,10.06,17.06,-0.08
"CGY","2007-10-22","2007020119","20072008","S.J","1",45.47,46.69,42.73,44.84,46.58,32.56,0.94,1.07,11.87,15.9,16.56,20.37,23.82,27.32,0.71,1.48,-0.13,-4.04,-3.81,-3.5,-0.76
"CGY","2007-10-24","2007020130","20072008","MIN","1",36.12,78.05,73.92,70.99,62.68,67.3,3.81,1.07,15.37,5.42,22.12,9.04,28.97,17.25,1.18,0.57,2.74,9.95,13.08,11.72,0.61
