"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"PHI","2007-10-04","2007020012","20072008","CGY","0",42.65,100,67.48,54.21,48.12,56,2.12,0,20.85,10.05,26.64,22.51,33.9,36.55,1.37,1.08,2.12,10.8,4.13,-2.65,0.29
"PHI","2007-10-06","2007020021","20072008","EDM","0",52.72,34.91,43.01,48.92,46.93,51.72,2.02,3.77,23.05,30.54,38.56,40.26,47.09,53.25,2.36,2.2,-1.75,-7.49,-1.7,-6.15,0.16
"PHI","2007-10-10","2007020050","20072008","VAN","0",39.08,100,53.59,50.42,51.37,62.67,5.34,0,19.48,16.87,26.13,25.7,34.72,32.86,1.61,0.96,5.34,2.61,0.43,1.86,0.65
"PHI","2007-10-13","2007020067","20072008","NYI","1",48.93,100,41.84,47.12,44.13,44.25,0.99,0,17.54,24.39,23.52,26.4,37.08,46.95,1.06,1.34,0.99,-6.85,-2.88,-9.87,-0.28
"PHI","2007-10-16","2007020081","20072008","ATL","1",44.35,100,55.37,54.68,50.18,66.83,3.91,0,26.93,21.71,34.2,28.34,42.28,41.98,1.97,0.98,3.91,5.22,5.86,0.31,0.99
"PHI","2007-10-18","2007020090","20072008","N.J","1",40.4,100,34.33,37.18,40.28,46.24,2.96,0,12.76,24.41,18.94,31.99,24.65,36.54,0.91,1.06,2.96,-11.65,-13.06,-11.9,-0.15
"PHI","2007-10-20","2007020107","20072008","CAR","1",44.67,47.11,36.06,36.66,40.58,47.09,0.94,1.06,20.36,36.1,26.99,46.62,36.72,53.77,1.55,1.75,-0.12,-15.74,-19.63,-17.06,-0.19
"PHI","2007-10-24","2007020128","20072008","FLA","0",48.47,41.29,38.93,41.98,38.44,35.48,2.02,2.88,19.89,31.2,29.42,40.66,34.45,55.17,1.36,2.47,-0.85,-11.31,-11.23,-20.73,-1.11
"PHI","2007-10-25","2007020135","20072008","T.B","0",44.87,51.15,46.96,47.16,48.38,56.2,2.02,1.93,18.47,20.86,22.4,25.09,28.85,30.78,1.5,1.17,0.09,-2.39,-2.7,-1.93,0.33
"PHI","2007-10-27","2007020146","20072008","BOS","0",42,0,38.46,41.71,42.87,44.14,0,0,18.23,29.17,26.13,36.52,30.81,41.06,1.11,1.4,0,-10.94,-10.39,-10.25,-0.29
"PHI","2007-11-01","2007020175","20072008","MTL","0",43.07,0,25.46,27.34,30.47,21.54,0,0.99,9.76,28.58,15.37,40.84,26.5,60.47,0.51,1.84,-0.99,-18.82,-25.47,-33.97,-1.34
"PHI","2007-11-02","2007020183","20072008","WSH","0",38.6,68.69,37.34,42.38,37.96,42.63,2.07,0.94,13.49,22.65,20.98,28.52,30.15,49.27,1.31,1.76,1.13,-9.15,-7.54,-19.12,-0.45
"PHI","2007-11-05","2007020203","20072008","NYR","0",45.48,0,43.69,39.04,47.17,47,0,0,24.84,32.01,28.83,45.01,46.15,51.68,2.47,2.79,0,-7.17,-16.18,-5.53,-0.32
"PHI","2007-11-07","2007020214","20072008","PIT","0",42.12,77.35,50.89,51.74,51.17,58.49,3.2,0.94,16.81,16.22,23.91,22.3,31.27,29.84,1.11,0.78,2.26,0.59,1.61,1.43,0.32
