"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"NYI","2007-10-05","2007020017","20072008","BUF","0",48.08,36.04,62.03,60.91,58.66,60.26,2.12,3.77,28.39,17.38,36.01,23.11,42.3,29.81,1.86,1.23,-1.64,11.01,12.9,12.49,0.63
"NYI","2007-10-06","2007020024","20072008","BUF","1",32.82,65.64,39.61,40.3,39.32,36.63,1.93,1.01,14.77,22.52,20.73,30.7,24.82,38.3,1.58,2.74,0.92,-7.75,-9.98,-13.48,-1.16
"NYI","2007-10-08","2007020036","20072008","WSH","1",43.93,31.31,68.97,60.53,53.96,54.71,0.94,2.07,24.6,11.07,29.51,19.25,37.54,32.03,1.11,0.92,-1.13,13.53,10.27,5.51,0.19
"NYI","2007-10-10","2007020040","20072008","NYR","1",38.57,0,39.75,42.06,43.83,37.15,0,1.01,15.88,24.07,22.68,31.24,32.76,41.98,0.81,1.37,-1.01,-8.19,-8.56,-9.23,-0.56
"NYI","2007-10-11","2007020053","20072008","TOR","0",34.73,0,38.97,36.49,37.24,23.58,0,2.96,17.75,27.81,21.48,37.38,29.29,49.38,0.78,2.53,-2.96,-10.05,-15.9,-20.08,-1.75
"NYI","2007-10-13","2007020067","20072008","PHI","0",48.93,0,58.16,52.88,55.87,55.75,0,0.99,24.39,17.54,26.4,23.52,46.95,37.08,1.34,1.06,-0.99,6.85,2.88,9.87,0.28
"NYI","2007-10-18","2007020091","20072008","WSH","0",41.67,53.19,41.36,41.31,40.82,37.14,2.13,1.88,15.26,21.63,24.06,34.19,31.64,45.88,1.13,1.92,0.26,-6.37,-10.13,-14.24,-0.78
"NYI","2007-10-20","2007020106","20072008","N.J","1",43.12,37.9,51.77,53.37,48.14,41.39,1.88,3.08,21.59,20.12,30.35,26.52,34.47,37.13,1.43,2.02,-1.2,1.47,3.83,-2.66,-0.59
"NYI","2007-10-27","2007020148","20072008","CAR","1",41.17,14.91,51.38,59.03,55.85,61.57,0.94,5.36,20.96,19.83,32.21,22.36,42.74,33.78,2.36,1.47,-4.42,1.13,9.85,8.96,0.89
"NYI","2007-11-01","2007020173","20072008","T.B","1",42.85,100,46.7,39.41,45.14,63.54,2.92,0,17.89,20.42,22.03,33.87,38.33,46.58,2.28,1.31,2.92,-2.53,-11.84,-8.25,0.97
"NYI","2007-11-03","2007020190","20072008","PIT","1",44.4,72.48,55.1,54.43,53.58,52.63,2.82,1.07,25.26,20.58,29.86,25,41.73,36.15,2.48,2.24,1.75,4.67,4.86,5.58,0.25
"NYI","2007-11-06","2007020210","20072008","NYR","1",50.18,63.96,46.52,51.57,52.11,40.66,1.88,1.06,21.59,24.83,32.24,30.27,48.96,45,1.14,1.67,0.82,-3.23,1.97,3.96,-0.52
"NYI","2007-11-10","2007020237","20072008","N.J","1",52.28,48.29,52.2,53.65,54.16,51.58,0.94,1.01,18.28,16.74,26.27,22.69,45,38.09,1.42,1.33,-0.07,1.54,3.58,6.92,0.09
"NYI","2007-11-12","2007020247","20072008","PHI","0",44.6,51.71,64.95,62.3,65.27,61.2,2.02,1.89,20.54,11.08,26.63,16.11,42.14,22.42,2.11,1.34,0.13,9.46,10.52,19.72,0.77
"NYI","2007-11-15","2007020265","20072008","PIT","0",41.55,68.69,57.24,58.46,58.65,70.2,2.07,0.94,22.73,16.98,30.85,21.92,35.69,25.16,1.86,0.79,1.13,5.75,8.93,10.53,1.07
"NYI","2007-11-16","2007020271","20072008","N.J","0",48.95,0,51.18,46.94,51.27,47.67,0,0,22.48,21.44,27.96,31.61,36.99,35.16,1.24,1.36,0,1.04,-3.65,1.83,-0.12
"NYI","2007-11-19","2007020291","20072008","NYR","0",41.45,100,53.57,51,48.93,59.76,1.07,0,16.16,14.01,25.09,24.11,35.4,36.95,1.66,1.11,1.07,2.15,0.98,-1.55,0.54
"NYI","2007-11-21","2007020301","20072008","MTL","1",37.28,22.65,48.09,46.27,46.58,57.12,0.94,3.2,23.91,25.81,29.16,33.87,33.07,37.94,2.2,1.65,-2.26,-1.9,-4.7,-4.86,0.55
"NYI","2007-11-23","2007020315","20072008","BOS","0",50.15,50.6,54.5,53.35,43.42,54.29,1.01,0.99,24.03,20.07,32.07,28.04,33.81,44.06,1.39,1.17,0.02,3.97,4.03,-10.25,0.22
"NYI","2007-11-24","2007020327","20072008","BOS","1",46.78,63.96,55.04,51.93,47.03,62.73,1.88,1.06,22.66,18.51,31.69,29.33,40.97,46.14,2.29,1.36,0.82,4.15,2.36,-5.18,0.93
"NYI","2007-11-26","2007020341","20072008","DAL","1",44.73,0,44.92,44.32,46.11,49.26,0,2.07,18.42,22.59,23.12,29.06,34.65,40.5,1.83,1.89,-2.07,-4.17,-5.93,-5.85,-0.06
"NYI","2007-11-28","2007020350","20072008","OTT","1",41.68,65.13,35.43,40.86,45.87,44.89,1.89,1.01,12.96,23.62,24.06,34.83,33.42,39.44,1.35,1.66,0.88,-10.66,-10.77,-6.02,-0.31
"NYI","2007-11-29","2007020357","20072008","NYR","0",36,34.36,32.08,38.52,43.75,42.22,1.01,1.93,8.72,18.47,18.63,29.73,29.92,38.46,1.13,1.55,-0.92,-9.75,-11.1,-8.55,-0.42
"NYI","2007-12-01","2007020375","20072008","ATL","1",42.97,0,45.67,48.16,47.09,46.68,0,4.27,21.55,25.63,32.69,35.19,39.73,44.65,2.72,3.11,-4.27,-4.08,-2.5,-4.91,-0.39
"NYI","2007-12-03","2007020386","20072008","BOS","1",39.73,0,52.08,50.22,42.16,45.26,0,1.07,17.69,16.28,22.24,22.04,24.75,33.96,1.28,1.54,-1.07,1.41,0.19,-9.21,-0.27
"NYI","2007-12-05","2007020397","20072008","ATL","0",31.65,68.69,65.39,62.89,55.43,55.92,2.07,0.94,20.01,10.59,26.02,15.35,31.84,25.6,1.53,1.21,1.13,9.42,10.67,6.24,0.32
"NYI","2007-12-07","2007020414","20072008","FLA","0",43.25,0,31.45,36.22,37.92,33.06,0,0,13.77,30.01,22.07,38.87,27.54,45.09,0.97,1.96,0,-16.24,-16.79,-17.55,-0.99
"NYI","2007-12-08","2007020425","20072008","T.B","0",33.83,100,45.65,48.27,48.44,43.79,2.12,0,14.55,17.32,24.17,25.9,32.47,34.56,0.94,1.2,2.12,-2.77,-1.73,-2.1,-0.27
"NYI","2007-12-12","2007020446","20072008","BUF","0",39.47,40.58,42.1,44.92,46.04,42.27,2.02,2.96,20.41,28.07,26.05,31.94,32.29,37.85,1.41,1.93,-0.94,-7.66,-5.89,-5.56,-0.52
"NYI","2007-12-13","2007020454","20072008","ARI","1",45.85,100,57.19,51,50.65,57.57,1.93,0,30.3,22.69,38.34,36.83,52.78,51.43,2.41,1.78,1.93,7.62,1.51,1.35,0.63
"NYI","2007-12-15","2007020472","20072008","PIT","1",41.35,30.55,37.07,34.47,40.81,32.17,0.94,2.13,18.1,30.73,19.83,37.71,29.35,42.56,1.41,2.97,-1.19,-12.63,-17.88,-13.21,-1.56
"NYI","2007-12-19","2007020498","20072008","BUF","1",38.58,30.65,72.7,70.67,65.91,80.64,0.94,2.12,28.76,10.8,31.38,13.02,46.84,24.22,2.35,0.56,-1.18,17.96,18.35,22.62,1.78
"NYI","2007-12-21","2007020513","20072008","PIT","0",44.28,81.76,68.56,60.02,60.47,46.84,4.2,0.94,24.78,11.36,32.44,21.61,44.37,29,1.17,1.32,3.27,13.42,10.83,15.37,-0.16
"NYI","2007-12-22","2007020519","20072008","WSH","1",49.95,65.13,62.25,62.06,56.36,70.62,1.89,1.01,23.65,14.34,35.4,21.65,46.34,35.88,2.84,1.18,0.88,9.31,13.75,10.46,1.66
"NYI","2007-12-26","2007020537","20072008","TOR","1",49.85,57.07,52.27,55.9,48.53,63.49,2.82,2.12,24.38,22.26,39.94,31.51,46.79,49.62,2.82,1.62,0.7,2.12,8.43,-2.84,1.2
"NYI","2007-12-27","2007020547","20072008","OTT","0",47.63,40.58,41.03,47.31,45.8,51.26,2.02,2.96,20.19,29.02,32.45,36.15,38.8,45.91,1.98,1.88,-0.94,-8.83,-3.69,-7.11,0.1
"NYI","2007-12-29","2007020563","20072008","N.J","1",46.28,48.85,59.91,61.43,58.62,59.68,1.93,2.02,28.03,18.76,42.58,26.73,49.7,35.08,2.65,1.79,-0.09,9.27,15.85,14.62,0.86
"NYI","2007-12-31","2007020580","20072008","CAR","0",43.8,53.31,48.35,52.71,51.84,50.46,1.07,0.94,18.91,20.2,33.62,30.16,46.48,43.18,1.67,1.64,0.13,-1.29,3.46,3.3,0.03
"NYI","2008-01-03","2007020596","20072008","FLA","1",45.52,30.65,52.36,47.1,52.11,64.09,0.94,2.12,25.45,23.15,31,34.81,44.93,41.29,3.02,1.69,-1.18,2.3,-3.81,3.63,1.33
"NYI","2008-01-05","2007020617","20072008","COL","0",46.83,53.08,42.47,43.05,40.24,40.45,1.06,0.94,22.12,29.96,29.57,39.12,35.01,51.98,1.73,2.55,0.12,-7.84,-9.55,-16.97,-0.82
"NYI","2008-01-07","2007020625","20072008","EDM","0",48.62,0,52.22,55.53,54.07,53.31,0,2.92,28.56,26.13,44.9,35.96,63.28,53.75,2.38,2.08,-2.92,2.43,8.95,9.52,0.3
"NYI","2008-01-08","2007020636","20072008","VAN","0",45.7,52.4,40.84,33.97,38.54,25.85,2.07,1.88,23.23,33.65,25.37,49.33,33.5,53.42,1.25,3.57,0.19,-10.42,-23.95,-19.93,-2.33
"NYI","2008-01-11","2007020654","20072008","CGY","0",46.55,52.8,41.67,48.09,44.99,56.12,4.2,3.76,21.11,29.55,31.59,34.09,37.08,45.34,2.35,1.84,0.45,-8.44,-2.5,-8.26,0.51
"NYI","2008-01-13","2007020670","20072008","OTT","0",41.28,100,52.05,43.94,40.21,52.41,1.07,0,22.42,20.66,22.58,28.81,25.94,38.56,1.67,1.51,1.07,1.77,-6.23,-12.63,0.15
"NYI","2008-01-15","2007020675","20072008","MTL","1",53.47,46.92,43.3,44.36,53.55,42.35,0.94,1.06,13.51,17.69,23.28,29.19,41.93,36.37,1.56,2.13,-0.12,-4.18,-5.92,5.56,-0.56
"NYI","2008-01-16","2007020685","20072008","N.J","0",43.25,53.31,36.95,35.97,33.48,25.98,1.07,0.94,14.49,24.72,17.89,31.84,20.39,40.5,0.97,2.76,0.13,-10.23,-13.95,-20.11,-1.79
"NYI","2008-01-19","2007020710","20072008","PHI","1",43.67,47.48,49.7,50.16,55.13,44.78,1.88,2.08,24.19,24.48,34.01,33.79,46.4,37.77,1.77,2.18,-0.2,-0.29,0.22,8.64,-0.41
"NYI","2008-01-21","2007020722","20072008","CAR","1",56.5,48.85,45.47,44.46,46.75,36.36,1.93,2.02,23.23,27.86,30.32,37.87,44,50.12,1.58,2.76,-0.09,-4.63,-7.55,-6.12,-1.18
"NYI","2008-01-22","2007020729","20072008","CAR","0",33.3,53.31,30.77,31.4,33.53,36.13,2.14,1.88,12.83,28.86,18.5,40.41,25.32,50.2,1.13,2,0.27,-16.03,-21.91,-24.88,-0.87
"NYI","2008-01-24","2007020741","20072008","BOS","0",52.1,33.87,50.26,49.27,45.66,60.12,1.01,1.98,25.93,25.66,33.48,34.48,38.21,45.48,2.23,1.48,-0.96,0.27,-1,-7.27,0.75
"NYI","2008-01-29","2007020756","20072008","OTT","1",49.88,22.6,45.54,45.75,45.68,44.18,0.94,3.21,17.87,21.38,25.72,30.5,35.85,42.63,1.89,2.39,-2.28,-3.5,-4.78,-6.78,-0.5
"NYI","2008-01-31","2007020771","20072008","L.A","1",46.17,46.92,58.66,60.89,60.85,50.26,0.94,1.06,24.93,17.57,32.44,20.83,52.36,33.69,1.78,1.76,-0.12,7.36,11.61,18.67,0.02
"NYI","2008-02-02","2007020784","20072008","MTL","0",41.28,33.87,56.02,55.17,51.1,57.74,1.01,1.98,23.87,18.74,34.53,28.05,40.68,38.94,2.42,1.77,-0.96,5.13,6.47,1.74,0.65
"NYI","2008-02-05","2007020802","20072008","ANA","1",45.65,0,50.69,48.5,49.81,50.11,0,2.14,21.94,21.35,24.43,25.94,38.75,39.05,1.39,1.38,-2.14,0.59,-1.51,-0.3,0.01
"NYI","2008-02-07","2007020821","20072008","PIT","0",49.77,35.95,55.57,58.86,64.05,52.03,1.06,1.89,23.43,18.74,36.71,25.66,55.1,30.92,1.3,1.2,-0.83,4.7,11.05,24.17,0.1
"NYI","2008-02-09","2007020834","20072008","MIN","0",46.72,52.17,65.06,58.41,57.11,63.53,3.08,2.83,27.41,14.72,35.65,25.39,45.56,34.21,2.07,1.19,0.26,12.69,10.26,11.35,0.88
"NYI","2008-02-12","2007020853","20072008","PHI","1",43.45,79.25,70.3,65.76,62.99,68.7,3.87,1.01,37.41,15.8,45.51,23.7,58.35,34.28,3.16,1.44,2.85,21.61,21.81,24.07,1.72
"NYI","2008-02-14","2007020869","20072008","TOR","0",40.63,0,56.66,58.82,58.08,63.7,0,1.88,19.89,15.22,29.59,20.72,45.49,32.83,2.1,1.2,-1.88,4.68,8.87,12.65,0.91
"NYI","2008-02-16","2007020884","20072008","ATL","1",35.4,100,84.58,77.21,73.02,81.16,2.92,0,31.72,5.78,39.04,11.52,48.78,18.02,2.72,0.63,2.92,25.94,27.51,30.76,2.09
"NYI","2008-02-18","2007020899","20072008","S.J","1",35.23,56.96,44.62,39.98,41.32,58.02,2.82,2.13,12.58,15.61,15.38,23.09,24.03,34.13,1.34,0.97,0.69,-3.03,-7.71,-10.1,0.37
"NYI","2008-02-20","2007020913","20072008","WSH","0",48.9,68.17,42.13,41.97,37.99,39.75,2.02,0.94,16.6,22.81,23.36,32.29,31.75,51.82,1.24,1.88,1.08,-6.2,-8.93,-20.07,-0.64
"NYI","2008-02-21","2007020917","20072008","T.B","1",46.12,100,53.02,50.37,51.07,44.06,0.94,0,24.62,21.82,28.42,28,37.36,35.79,1.29,1.64,0.94,2.81,0.42,1.57,-0.35
