"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"WPG","2011-10-09","2011020023","20112012","MTL","1",41.6,18,52.09,50.26,52.29,42.36,0.94,4.27,20.67,19.01,28.4,28.11,37.68,34.38,1.57,2.13,-3.34,1.66,0.29,3.3,-0.57
"WPG","2011-10-13","2011020045","20112012","CHI","0",49.37,52.27,43.01,52.56,51.01,49.93,3.14,2.87,22.01,29.17,36.71,33.13,44.42,42.65,1.76,1.77,0.27,-7.16,3.58,1.76,-0.01
"WPG","2011-10-15","2011020055","20112012","ARI","0",42.32,25.73,32.81,36.22,38.34,35.34,1.01,2.92,12.07,24.71,21.37,37.63,30.22,48.59,1.27,2.33,-1.91,-12.64,-16.26,-18.37,-1.06
"WPG","2011-10-17","2011020066","20112012","PIT","1",44.83,65.64,55.08,56.96,53.8,62.43,1.93,1.01,29.13,23.75,42.78,32.32,47.87,41.11,2.69,1.62,0.92,5.38,10.46,6.77,1.07
"WPG","2011-10-19","2011020079","20112012","TOR","0",48.55,53.08,57.52,58.43,54.99,57.84,1.06,0.94,21.44,15.83,31.38,22.33,41.64,34.08,1.31,0.95,0.12,5.61,9.05,7.56,0.35
"WPG","2011-10-20","2011020083","20112012","OTT","0",40.87,52.89,62.65,68.37,60.87,70.68,1.06,0.94,28.19,16.8,42.65,19.73,50.67,32.57,2.18,0.91,0.12,11.39,22.92,18.1,1.28
"WPG","2011-10-22","2011020103","20112012","CAR","1",36.83,48.16,46.38,50.34,57.11,45.23,2.92,3.14,12,13.87,22.18,21.88,30.13,22.63,1.37,1.66,-0.22,-1.87,0.3,7.51,-0.29
"WPG","2011-10-24","2011020112","20112012","NYR","1",49.32,100,61.26,57.63,58.01,52.78,0.94,0,21.96,13.89,33.29,24.48,42.66,30.88,1.51,1.35,0.94,8.07,8.81,11.78,0.16
"WPG","2011-10-27","2011020128","20112012","PHI","0",41.13,48.83,37.19,34.97,38.69,29.17,6.28,6.58,19.09,32.24,22.3,41.45,32.13,50.92,1.27,3.09,-0.3,-13.16,-19.16,-18.79,-1.82
"WPG","2011-10-29","2011020146","20112012","T.B","0",48.02,0,49.37,51.47,51.15,48.04,0,0,21.04,21.58,30.07,28.35,43.1,41.16,1.39,1.5,0,-0.54,1.72,1.94,-0.11
"WPG","2011-10-31","2011020158","20112012","FLA","0",46.68,36.13,46.21,46.92,45.1,38.43,1.06,1.88,23.81,27.72,29.32,33.16,36.07,43.9,0.9,1.44,-0.81,-3.91,-3.84,-7.84,-0.54
"WPG","2011-11-03","2011020168","20112012","NYI","0",52.82,100,49.78,54.05,52.61,50.38,2.13,0,26.3,26.54,39.84,33.87,50.24,45.25,2.36,2.32,2.13,-0.23,5.97,4.99,0.04
"WPG","2011-11-05","2011020186","20112012","N.J","0",52.32,51.15,49.91,53.08,53.9,33.4,2.02,1.93,20.91,20.99,26.97,23.84,31.59,27.01,1.14,2.27,0.09,-0.07,3.13,4.58,-1.13
"WPG","2011-11-06","2011020197","20112012","NYR","0",42.1,0,52.69,54.05,49.46,50.82,0,0.99,18.02,16.18,26.04,22.14,30.8,31.47,1.57,1.52,-0.99,1.84,3.9,-0.68,0.05
"WPG","2011-11-08","2011020202","20112012","BUF","0",38.63,77.29,51.57,44.55,43.89,45.23,3.19,0.94,22.64,21.25,26.06,32.44,33.81,43.22,2.06,2.49,2.26,1.38,-6.38,-9.41,-0.43
"WPG","2011-11-10","2011020217","20112012","FLA","1",47.6,46.92,53.41,49.12,50.42,55.63,0.94,1.06,17.01,14.84,26.64,27.59,36.01,35.41,1.67,1.34,-0.12,2.17,-0.96,0.6,0.34
"WPG","2011-11-12","2011020234","20112012","CBJ","0",42.2,0,56.24,51.89,49.62,58.51,0,1.93,27.78,21.62,33.51,31.07,41.5,42.13,1.83,1.3,-1.93,6.16,2.45,-0.63,0.53
"WPG","2011-11-14","2011020246","20112012","T.B","1",47.3,65.89,66.08,62.89,60.6,69.37,3.91,2.02,38.52,19.77,49.52,29.22,53.88,35.02,3.19,1.41,1.88,18.75,20.31,18.85,1.78
"WPG","2011-11-17","2011020267","20112012","WSH","1",42.08,63.96,52.16,47.48,44.41,51.88,1.88,1.06,21.47,19.69,30.93,34.21,34.29,42.92,1.62,1.5,0.82,1.78,-3.28,-8.63,0.12
"WPG","2011-11-19","2011020274","20112012","PHI","1",31.97,32.8,48.31,49.35,49.67,40.31,0.99,2.02,19.3,20.65,23.7,24.33,29.76,30.16,1.1,1.63,-1.04,-1.35,-0.62,-0.4,-0.53
"WPG","2011-11-23","2011020304","20112012","WSH","0",51.33,51.71,40.21,38.69,39.92,37.11,3.04,2.84,20.79,30.91,27.66,43.83,38.17,57.45,1.05,1.79,0.2,-10.12,-16.17,-19.28,-0.73
"WPG","2011-11-25","2011020320","20112012","CAR","0",48.48,69.35,65.81,55.28,54.03,55.24,2.12,0.94,26.75,13.9,43.13,34.9,54.55,46.42,2.81,2.28,1.18,12.85,8.23,8.13,0.53
"WPG","2011-11-26","2011020329","20112012","BOS","0",42.8,69.29,60.69,55.97,58.12,56.87,2.13,0.94,35.79,23.18,38.16,30.02,47.37,34.13,1.65,1.25,1.19,12.61,8.14,13.23,0.4
"WPG","2011-11-29","2011020349","20112012","OTT","1",43.85,40.49,53.63,50.6,49.5,46.19,2.82,4.15,26.48,22.89,36.51,35.65,40.08,40.89,2.4,2.79,-1.32,3.59,0.86,-0.82,-0.39
"WPG","2011-12-01","2011020360","20112012","ARI","1",48.55,100,48.58,48.77,50.38,57.58,0.94,0,26.7,28.27,38.02,39.95,47.77,47.05,3.5,2.58,0.94,-1.56,-1.92,0.73,0.92
"WPG","2011-12-03","2011020376","20112012","N.J","1",46.52,48.29,43.17,35.62,36.47,42.46,0.94,1.01,13.8,18.17,18.6,33.61,27.41,47.74,1.43,1.94,-0.07,-4.37,-15.01,-20.34,-0.51
"WPG","2011-12-06","2011020397","20112012","BOS","1",44.38,48.29,53.45,57.04,53.63,55.96,0.94,1.01,28.39,24.72,39.48,29.73,50.02,43.25,2.11,1.66,-0.07,3.67,9.75,6.77,0.45
"WPG","2011-12-09","2011020419","20112012","CAR","1",45.75,65.64,64.81,59.17,55.17,69.66,1.93,1.01,30.91,16.78,36.34,25.08,51.6,41.94,3.74,1.63,0.92,14.13,11.26,9.67,2.11
"WPG","2011-12-10","2011020426","20112012","DET","0",51.72,15.39,51.94,46.32,45.09,38.49,1.06,5.84,26.78,24.78,31.33,36.3,39.74,48.39,1.28,2.05,-4.77,2,-4.97,-8.65,-0.77
"WPG","2011-12-13","2011020446","20112012","MIN","1",46.62,100,42.48,46.37,47.88,45.17,0.94,0,20.43,27.66,34.69,40.12,43.32,47.15,1.92,2.33,0.94,-7.23,-5.43,-3.83,-0.41
"WPG","2011-12-15","2011020458","20112012","WSH","1",47.15,0,47.47,47.04,43.26,47.71,0,1.06,21.38,23.67,35.82,40.33,41.71,54.7,1.78,1.95,-1.06,-2.28,-4.51,-12.99,-0.17
"WPG","2011-12-17","2011020470","20112012","ANA","1",52.02,65.64,49.81,46.66,45.47,44.88,3.87,2.02,29.21,29.42,41.6,47.55,47.61,57.09,2.54,3.13,1.84,-0.22,-5.95,-9.48,-0.58
"WPG","2011-12-20","2011020492","20112012","NYI","1",54,46.92,54.33,56.34,56.94,40.72,1.88,2.12,29.9,25.13,45.02,34.89,59.08,44.67,1.79,2.61,-0.25,4.77,10.13,14.4,-0.82
"WPG","2011-12-22","2011020504","20112012","MTL","1",47.35,100,60.3,56.66,53.81,61.89,2.96,0,26.99,17.77,37.77,28.88,47.73,40.98,2.56,1.58,2.96,9.22,8.88,6.75,0.98
"WPG","2011-12-23","2011020513","20112012","PIT","1",45.93,22.71,31.86,44.65,46.82,47.46,0.94,3.19,14.02,29.99,30.7,38.05,41.58,47.23,2.04,2.26,-2.26,-15.97,-7.35,-5.65,-0.22
"WPG","2011-12-27","2011020535","20112012","COL","0",57.32,77.35,48.46,48.46,46.22,49.61,3.2,0.94,27.39,29.13,34.72,36.92,44.42,51.69,1.91,1.94,2.26,-1.74,-2.21,-7.27,-0.03
"WPG","2011-12-29","2011020547","20112012","L.A","1",46.75,0,49.8,49.2,42.92,43.49,0,0,20.41,20.58,29.04,29.99,38.8,51.6,1.93,2.51,0,-0.17,-0.95,-12.8,-0.58
"WPG","2011-12-31","2011020562","20112012","TOR","1",43.38,48.29,59.56,51.25,44.5,48.63,0.94,1.01,26.67,18.11,31.72,30.17,36.79,45.88,1.92,2.02,-0.07,8.56,1.54,-9.09,-0.11
"WPG","2012-01-04","2011020580","20112012","MTL","0",51.2,26.21,49.32,53.51,48.98,49.4,2.07,5.84,23,23.64,35.53,30.86,47.25,49.22,1.55,1.59,-3.76,-0.63,4.67,-1.97,-0.04
"WPG","2012-01-05","2011020585","20112012","TOR","0",51.8,0,48.51,54.44,46.7,64.43,0,1.93,19.84,21.06,41.49,34.72,53.63,61.19,2.39,1.32,-1.93,-1.22,6.77,-7.57,1.07
"WPG","2012-01-07","2011020602","20112012","BUF","0",46.43,0,54.3,56.98,52.37,53.21,0,0,30.49,25.66,47.99,36.23,57.07,51.91,2.39,2.1,0,4.83,11.76,5.16,0.29
