"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"L.A","2007-09-29","2007020001","20072008","ANA","1",34.7,0,32.69,36.11,31.59,22.54,0,0,6.44,13.26,9.64,17.06,11.97,25.92,0.41,1.42,0,-6.82,-7.42,-13.95,-1.01
"L.A","2007-09-30","2007020002","20072008","ANA","0",48.02,33.87,47.71,46.12,42.62,42.29,1.01,1.98,18.62,20.41,24.08,28.12,27.16,36.57,1.12,1.53,-0.96,-1.79,-4.05,-9.41,-0.41
"L.A","2007-10-06","2007020034","20072008","STL","1",38.33,38.9,51.73,44.59,40.88,42.44,1.93,3.04,18.96,17.7,24.05,29.88,27.34,39.54,1.23,1.67,-1.1,1.27,-5.83,-12.2,-0.44
"L.A","2007-10-10","2007020049","20072008","DAL","0",40.83,25.45,52,54.43,51.68,55.76,1.01,2.96,19.51,18.01,30.56,25.58,37.27,34.85,1.85,1.47,-1.95,1.5,4.98,2.42,0.38
"L.A","2007-10-12","2007020062","20072008","BOS","1",41.48,46.69,54.49,51.26,53.52,48.74,2.81,3.21,20.11,16.8,29.03,27.6,40.82,35.45,1.89,1.98,-0.4,3.32,1.43,5.37,-0.1
"L.A","2007-10-14","2007020077","20072008","DET","1",44.58,0,35.35,30.31,29.07,33.56,0,2.14,13.95,25.51,19.48,44.8,25.56,62.38,1.07,2.12,-2.14,-11.56,-25.31,-36.82,-1.05
"L.A","2007-10-16","2007020084","20072008","MIN","1",41.55,23.04,45.61,48.77,55.09,36.61,0.94,3.13,17.32,20.66,26.88,28.24,38.46,31.36,1.18,2.04,-2.2,-3.34,-1.36,7.1,-0.86
"L.A","2007-10-18","2007020095","20072008","CGY","0",38.28,36.26,50.51,45.82,43.91,36.63,1.07,1.88,23.47,22.99,27.53,32.56,32.48,41.49,1.07,1.84,-0.81,0.47,-5.03,-9.01,-0.78
"L.A","2007-10-19","2007020101","20072008","VAN","0",43.67,52.52,36.58,35.86,40.44,39.43,2.08,1.88,10.12,17.55,16.65,29.78,26.68,39.3,1.05,1.62,0.2,-7.43,-13.13,-12.62,-0.56
"L.A","2007-10-23","2007020125","20072008","NSH","1",50.72,100,66.47,64.68,67.22,69.29,3.91,0,29.5,14.89,39.06,21.33,56.02,27.32,2.72,1.21,3.91,14.62,17.74,28.7,1.52
"L.A","2007-10-25","2007020139","20072008","DAL","1",43.97,63.96,47.44,45.85,40.28,46.88,1.88,1.06,21.3,23.6,26.97,31.85,35.02,51.92,1.72,1.95,0.82,-2.3,-4.89,-16.9,-0.23
"L.A","2007-10-27","2007020156","20072008","EDM","1",45.25,100,47.2,47.48,46.92,44.21,2.91,0,24.39,27.28,31.67,35.03,39.1,44.23,2.15,2.71,2.91,-2.89,-3.36,-5.13,-0.56
"L.A","2007-10-31","2007020171","20072008","CBJ","1",41.55,0,41.19,40.37,44,30.65,0,3.2,20.18,28.8,26.2,38.7,37.56,47.81,1.41,3.19,-3.2,-8.63,-12.5,-10.25,-1.78
"L.A","2007-11-02","2007020187","20072008","S.J","0",48.12,69.12,41.61,39.28,42.44,40.42,4.22,1.88,26.54,37.23,34.27,52.98,49.83,67.6,2.14,3.16,2.33,-10.69,-18.7,-17.77,-1.02
"L.A","2007-11-03","2007020198","20072008","S.J","1",49.18,30.55,40.35,42.53,41.38,40.34,0.94,2.13,17.85,26.38,26.98,36.47,38.9,55.12,1.22,1.81,-1.19,-8.53,-9.48,-16.21,-0.58
"L.A","2007-11-10","2007020243","20072008","DAL","1",49.82,46.69,52.97,51.05,53.12,38.95,2.81,3.21,23.21,20.61,31.14,29.86,40.63,35.85,1.43,2.24,-0.4,2.6,1.28,4.78,-0.81
"L.A","2007-11-13","2007020256","20072008","ANA","0",40.3,50.6,52.79,56.62,58.09,62.41,1.01,0.99,22.94,20.51,34.77,26.64,40.24,29.03,2.07,1.25,0.02,2.43,8.12,11.21,0.82
"L.A","2007-11-15","2007020270","20072008","ANA","1",45.92,26.48,41.44,47.41,45.19,35.27,1.88,5.23,17.12,24.19,30.36,33.67,36.7,44.51,1.21,2.22,-3.34,-7.07,-3.31,-7.81,-1.01
"L.A","2007-11-17","2007020278","20072008","ARI","1",46.05,0,38.59,42,44.25,33.16,0,0,20.87,33.21,34.87,48.15,46.94,59.13,1.39,2.8,0,-12.34,-13.27,-12.2,-1.41
"L.A","2007-11-19","2007020296","20072008","DAL","0",50.37,0,36.14,31.5,32.98,22.78,0,1.93,13.14,23.21,17.05,37.07,26.76,54.39,0.61,2.08,-1.93,-10.07,-20.02,-27.63,-1.47
"L.A","2007-11-21","2007020310","20072008","ARI","0",43.97,25.73,45.29,41.42,45.44,42.2,1.01,2.92,20.44,24.69,26.11,36.93,39.81,47.81,1.54,2.11,-1.91,-4.25,-10.82,-7.99,-0.57
"L.A","2007-11-24","2007020336","20072008","S.J","0",47.83,53.08,36.2,32.48,37.37,45.17,1.06,0.94,12.36,21.79,14.69,30.53,25.39,42.55,1.28,1.55,0.12,-9.43,-15.84,-17.16,-0.27
"L.A","2007-11-25","2007020339","20072008","ANA","0",42.43,36.04,42.21,41.81,41.88,37.54,1.06,1.88,16.24,22.23,20.66,28.75,23.17,32.15,1.02,1.69,-0.82,-5.99,-8.09,-8.98,-0.67
"L.A","2007-11-28","2007020356","20072008","S.J","0",42.93,52.89,43.77,40,42.82,32.77,1.06,0.94,17.83,22.91,23.73,35.6,38.41,51.28,1.23,2.52,0.12,-5.08,-11.87,-12.88,-1.29
"L.A","2007-12-01","2007020382","20072008","COL","1",47.88,27,38.04,44.64,46.18,44.19,1.93,5.23,16.1,26.21,30.18,37.43,43.67,50.9,2.17,2.74,-3.29,-10.12,-7.24,-7.23,-0.57
"L.A","2007-12-03","2007020391","20072008","EDM","1",46.23,47.6,65.69,60.21,59.79,62.58,1.88,2.07,23.58,12.31,33.05,21.84,43.27,29.1,1.95,1.16,-0.19,11.27,11.21,14.18,0.78
"L.A","2007-12-05","2007020404","20072008","ARI","0",53.92,0,38.52,45.82,46.65,47.32,0,1.93,24.26,38.72,41.56,49.15,51.35,58.73,2.42,2.69,-1.93,-14.46,-7.59,-7.38,-0.27
"L.A","2007-12-06","2007020411","20072008","BUF","1",44.15,59.07,62.92,62.11,58.72,70.71,2.92,2.02,23.55,13.88,33.24,20.27,39.68,27.89,1.81,0.75,0.9,9.67,12.96,11.79,1.06
"L.A","2007-12-08","2007020428","20072008","ARI","1",44.8,31.15,50.41,44.81,49.18,43.08,0.94,2.07,15.05,14.81,24.13,29.72,38.13,39.39,1.44,1.91,-1.14,0.24,-5.59,-1.27,-0.46
"L.A","2007-12-10","2007020440","20072008","VAN","1",43.55,100,58.13,57.55,58.43,55.7,2.88,0,23.8,17.14,32.32,23.84,39.47,28.09,2.3,1.83,2.88,6.66,8.48,11.38,0.47
