"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"VGK","2017-10-06","2017020015","20172018","DAL","0",36.62,100,34.68,31.59,35.44,26.58,1.06,0,18.21,34.29,20.34,44.05,30.24,55.08,0.98,2.69,1.06,-16.08,-23.71,-24.84,-1.72
"VGK","2017-10-07","2017020026","20172018","ARI","0",46.12,0,51.05,54.61,54.71,47.67,0,0.94,24.46,23.46,38.01,31.59,53.79,44.53,2.25,2.47,-0.94,1,6.42,9.26,-0.22
"VGK","2017-10-10","2017020045","20172018","ARI","1",49.93,65.89,52.19,51.3,53.8,42.16,3.91,2.02,27.11,24.83,34.75,32.98,50.29,43.18,1.22,1.68,1.88,2.28,1.76,7.11,-0.46
"VGK","2017-10-13","2017020062","20172018","DET","1",51.57,30.8,46.32,46.76,46.22,40.64,2.82,6.34,22.6,26.19,31.53,35.9,39.46,45.91,1.78,2.59,-3.52,-3.59,-4.37,-6.45,-0.82
"VGK","2017-10-15","2017020077","20172018","BOS","1",44.97,100,51.64,52.18,54.05,69.03,1.93,0,18.2,17.05,30.82,28.24,42.3,35.96,1.79,0.8,1.93,1.16,2.58,6.34,0.99
"VGK","2017-10-17","2017020090","20172018","BUF","1",40.5,100,51.31,42.25,42.61,41.52,2.87,0,18.56,17.61,23.74,32.45,32.42,43.67,1.27,1.79,2.87,0.95,-8.7,-11.25,-0.52
"VGK","2017-10-21","2017020121","20172018","STL","1",47.97,0,28.25,35.78,33.86,24.12,0,2.07,13.76,34.95,25.18,45.19,30.92,60.41,0.8,2.51,-2.07,-21.19,-20.01,-29.49,-1.71
"VGK","2017-10-24","2017020135","20172018","CHI","1",44.45,65.64,50.95,53.85,54.29,55.17,1.93,1.01,22.65,21.8,32,27.42,47.58,40.07,2.35,1.91,0.92,0.85,4.58,7.51,0.44
"VGK","2017-10-27","2017020149","20172018","COL","1",45.62,100,40.48,51.13,51.64,61.71,5.88,0,17.88,26.29,32.55,31.12,45.17,42.31,2.14,1.33,5.88,-8.41,1.43,2.87,0.81
"VGK","2017-10-30","2017020170","20172018","NYI","0",43.97,0,54.9,56.17,55.99,52.59,0,3.9,26.17,21.49,37.27,29.08,52.42,41.2,1.94,1.74,-3.9,4.67,8.19,11.22,0.19
"VGK","2017-10-31","2017020178","20172018","NYR","0",45.18,52.63,58.36,54.66,54.13,56.69,3.13,2.82,30.68,21.89,40.12,33.27,51.72,43.83,3.48,2.66,0.31,8.79,6.84,7.89,0.82
"VGK","2017-11-02","2017020186","20172018","BOS","0",51.28,34.87,46.2,42.17,39.4,41.84,1.01,1.89,23.04,26.83,28.14,38.58,38.02,58.48,2.21,3.07,-0.88,-3.79,-10.44,-20.46,-0.86
"VGK","2017-11-04","2017020200","20172018","OTT","0",44.97,43.11,58.7,54.05,51.52,48.05,2.13,2.81,25.87,18.2,36.16,30.74,45.64,42.95,1.49,1.61,-0.68,7.67,5.41,2.69,-0.12
"VGK","2017-11-06","2017020218","20172018","TOR","0",49.25,51.15,49.39,54.35,49.18,62.34,2.02,1.93,18.73,19.19,31.33,26.31,37.7,38.96,1.85,1.12,0.09,-0.46,5.02,-1.26,0.73
"VGK","2017-11-07","2017020229","20172018","MTL","0",49.65,25.73,50.34,49.35,52.72,43.5,1.01,2.92,24.35,24.02,34.66,35.57,47.67,42.76,1.95,2.53,-1.91,0.33,-0.91,4.92,-0.58
"VGK","2017-11-10","2017020248","20172018","WPG","1",43.9,74.27,58.17,53.54,52.03,63.39,2.92,1.01,20.81,14.97,29.3,25.43,39.31,36.25,1.83,1.06,1.91,5.85,3.87,3.06,0.77
"VGK","2017-11-14","2017020273","20172018","EDM","0",46.68,33.87,39.35,41.49,40.54,42.94,2.02,3.95,17.59,27.11,27.78,39.18,33.47,49.09,1.34,1.78,-1.93,-9.52,-11.39,-15.62,-0.44
"VGK","2017-11-16","2017020287","20172018","VAN","0",55.63,69.45,62.83,62.2,58.33,52.92,4.26,1.88,30.84,18.24,43.46,26.41,55.3,39.5,1.57,1.4,2.39,12.59,17.04,15.8,0.17
"VGK","2017-11-19","2017020308","20172018","L.A","1",54.75,59.07,59.61,63.14,61.98,65.1,2.92,2.02,37.41,25.34,48.13,28.09,68.69,42.13,3.35,1.79,0.9,12.06,20.03,26.56,1.55
"VGK","2017-11-22","2017020332","20172018","ANA","0",49.3,76.89,76.98,72.69,71.11,72.02,3.14,0.94,42.89,12.82,54.74,20.57,68.18,27.7,3.33,1.29,2.2,30.07,34.17,40.48,2.04
"VGK","2017-11-24","2017020347","20172018","S.J","1",50.37,38.9,52.48,48.62,47.44,52.47,1.93,3.04,22.26,20.15,30.51,32.24,41.03,45.46,2.21,2,-1.1,2.11,-1.73,-4.43,0.21
"VGK","2017-11-25","2017020355","20172018","ARI","0",41.55,36.34,43.21,45.25,44.4,26.91,1.07,1.88,17.47,22.95,25.72,31.11,36.23,45.37,0.7,1.9,-0.8,-5.49,-5.4,-9.14,-1.2
"VGK","2017-11-28","2017020376","20172018","DAL","1",49.8,0,50.68,51.31,49.4,42.85,0,2.14,29.09,28.31,35.53,33.71,44.77,45.85,1.44,1.92,-2.14,0.78,1.82,-1.09,-0.48
"VGK","2017-11-30","2017020384","20172018","MIN","0",48.65,42.3,47.25,48.4,52.12,46.89,2.07,2.83,24.44,27.29,33.61,35.84,48.78,44.81,1.53,1.73,-0.75,-2.85,-2.22,3.97,-0.2
"VGK","2017-12-01","2017020394","20172018","WPG","0",44.3,61.56,52.12,50.02,52.16,58.77,3.08,1.93,25.22,23.17,34.65,34.62,48.28,44.28,1.85,1.29,1.16,2.05,0.03,4.01,0.55
"VGK","2017-12-03","2017020411","20172018","ARI","1",56.53,65.13,59.51,58.24,59.19,59.25,1.89,1.01,38.49,26.19,55.1,39.51,74.49,51.35,2.7,1.86,0.88,12.31,15.59,23.14,0.84
"VGK","2017-12-05","2017020424","20172018","ANA","1",51.03,58.07,56.41,56.85,55.64,49.75,2.87,2.07,26.95,20.83,34.4,26.11,49.54,39.5,2,2.02,0.8,6.12,8.29,10.04,-0.02
"VGK","2017-12-08","2017020441","20172018","NSH","0",43.38,27.52,44.72,46.85,49.45,51.34,1.07,2.82,24.57,30.37,33.17,37.63,45.3,46.32,1.94,1.84,-1.75,-5.8,-4.46,-1.01,0.1
"VGK","2017-12-09","2017020452","20172018","DAL","0",48.78,53.15,54.4,52.61,49.66,54.1,3.19,2.81,33.38,27.98,36.94,33.27,51.39,52.1,2.42,2.05,0.38,5.39,3.67,-0.71,0.37
"VGK","2017-12-12","2017020474","20172018","CAR","1",49.9,46.92,37.65,37.49,37.98,39.24,1.88,2.12,18.24,30.21,22.03,36.73,29.72,48.52,1.37,2.12,-0.25,-11.97,-14.7,-18.8,-0.75
"VGK","2017-12-14","2017020490","20172018","PIT","1",49.97,65.13,48.61,52.71,49.98,57.47,1.89,1.01,19.96,21.1,33.74,30.27,48.05,48.1,1.68,1.24,0.88,-1.14,3.47,-0.04,0.44
"VGK","2017-12-17","2017020510","20172018","FLA","1",47.9,72.48,64.21,62.49,60.71,62.26,2.82,1.07,30.08,16.77,45.28,27.18,59.4,38.44,2.13,1.29,1.75,13.32,18.11,20.96,0.84
"VGK","2017-12-19","2017020525","20172018","T.B","1",50.58,0,46.36,48.59,47.58,58.03,0,1.01,27.18,31.45,38.24,40.45,53.8,59.26,1.7,1.23,-1.01,-4.27,-2.21,-5.47,0.47
"VGK","2017-12-23","2017020555","20172018","WSH","1",49.12,100,54.49,53.75,49.64,58.47,2.92,0,26.48,22.12,35.24,30.33,46.06,46.74,2.43,1.73,2.92,4.37,4.92,-0.68,0.7
"VGK","2017-12-27","2017020568","20172018","ANA","0",49.7,76.89,49.37,46.36,46,44.98,3.14,0.94,21.76,22.32,32.25,37.32,43.27,50.79,2.03,2.48,2.2,-0.55,-5.06,-7.52,-0.45
"VGK","2017-12-28","2017020574","20172018","L.A","0",49.33,52.4,63.69,61.88,53.48,65.68,2.07,1.88,29.69,16.93,43.47,26.79,49.94,43.44,2.85,1.49,0.19,12.76,16.69,6.5,1.36
"VGK","2017-12-31","2017020593","20172018","TOR","1",47.1,61.73,60.38,57.54,58.06,54.15,4.9,3.04,26.81,17.59,36.67,27.06,51.98,37.56,2.17,1.84,1.86,9.22,9.61,14.43,0.33
"VGK","2018-01-02","2017020613","20172018","NSH","1",53.23,100,53.19,49.41,49.27,53.64,0.99,0,27.96,24.61,36.74,37.61,50.28,51.77,1.6,1.38,0.99,3.35,-0.87,-1.49,0.22
"VGK","2018-01-04","2017020621","20172018","STL","0",52.02,34.87,44.73,43.52,48.53,43.24,1.01,1.89,26.9,33.25,34.9,45.28,53.65,56.89,1.83,2.4,-0.88,-6.35,-10.39,-3.24,-0.57
"VGK","2018-01-05","2017020632","20172018","CHI","0",50.08,58.4,65.76,65.46,60.53,66.87,5.28,3.76,40.82,21.25,54.15,28.58,58.86,38.38,3.76,1.86,1.52,19.56,25.57,20.48,1.9
"VGK","2018-01-07","2017020651","20172018","NYR","1",51.87,63.96,56.02,51.63,57.81,54.22,1.88,1.06,32.29,25.35,38.05,35.65,59.7,43.58,1.65,1.39,0.82,6.94,2.4,16.13,0.26
"VGK","2018-01-13","2017020676","20172018","EDM","1",42,47.6,53.99,57.2,62.14,47.21,1.88,2.07,25.3,21.56,33.08,24.76,43.94,26.77,1.33,1.48,-0.19,3.74,8.32,17.17,-0.16
"VGK","2018-01-16","2017020691","20172018","NSH","0",45.7,0,60.59,58.43,55.56,66.98,0,0.94,28.5,18.53,39.65,28.21,53.58,42.85,2.62,1.29,-0.94,9.96,11.44,10.73,1.33
