"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"TOR","2007-10-03","2007020005","20072008","OTT","1",39.08,47.83,48.13,49.13,51.9,51.72,2.83,3.08,19.59,21.11,30.32,31.39,42.26,39.16,1.8,1.68,-0.26,-1.52,-1.07,3.1,0.12
"TOR","2007-10-04","2007020008","20072008","OTT","0",32.55,51.71,61.56,61.55,63.37,56,1.01,0.94,25.81,16.11,33.93,21.2,47.42,27.4,2.1,1.65,0.07,9.69,12.74,20.01,0.45
"TOR","2007-10-06","2007020022","20072008","MTL","1",44.02,56.89,56.97,57.99,52.58,47.95,2.81,2.13,23.45,17.71,34.79,25.2,43.07,38.85,1.46,1.58,0.68,5.74,9.59,4.22,-0.12
"TOR","2007-10-09","2007020039","20072008","CAR","1",40.23,0,39.89,36.51,40.06,28.85,0,3.15,16.33,24.61,22.71,39.49,31.51,47.13,1.47,3.62,-3.15,-8.28,-16.79,-15.63,-2.15
"TOR","2007-10-11","2007020053","20072008","NYI","1",34.73,100,61.03,63.51,62.76,76.42,2.96,0,27.81,17.75,37.38,21.48,49.38,29.29,2.53,0.78,2.96,10.05,15.9,20.08,1.75
"TOR","2007-10-13","2007020064","20072008","PIT","1",32.6,47.88,40.88,44.15,48.08,46.36,3.81,4.15,19.51,28.22,27.18,34.38,36.21,39.1,1.96,2.26,-0.34,-8.71,-7.2,-2.89,-0.31
"TOR","2007-10-15","2007020078","20072008","BUF","0",41.98,53.14,45.64,46.58,52.35,53.55,4.25,3.75,17.16,20.44,25.05,28.73,36.26,33,2.1,1.82,0.5,-3.28,-3.68,3.26,0.28
"TOR","2007-10-18","2007020093","20072008","FLA","1",40.68,63.74,49.78,52.95,51.37,56.11,1.88,1.07,18.94,19.11,33.59,29.85,45.6,43.17,2.11,1.65,0.81,-0.17,3.74,2.43,0.46
"TOR","2007-10-20","2007020103","20072008","CHI","1",48.9,58.07,55.21,54.45,58,57.54,2.87,2.07,29.52,23.95,41.14,34.41,62.07,44.94,1.88,1.39,0.8,5.57,6.73,17.12,0.49
"TOR","2007-10-23","2007020121","20072008","ATL","1",45.47,37.53,50.1,52.6,48.91,47.63,1.88,3.13,24.82,24.72,39.04,35.18,48.57,50.74,2.04,2.24,-1.25,0.1,3.86,-2.17,-0.2
"TOR","2007-10-25","2007020134","20072008","PIT","0",42.78,81.69,58.39,56.33,53.43,45.2,4.22,0.94,23.11,16.46,28.44,22.04,31.54,27.49,1.29,1.56,3.27,6.64,6.4,4.05,-0.27
"TOR","2007-10-27","2007020149","20072008","NYR","0",48.02,76.89,45.11,49.32,50.01,56.17,3.14,0.94,20.28,24.68,33.57,34.5,43.31,43.29,2.53,1.98,2.2,-4.4,-0.93,0.02,0.56
"TOR","2007-10-29","2007020161","20072008","WSH","1",41.33,18,45.44,45.31,42.5,38.08,0.94,4.27,19.93,23.93,28.55,34.45,33.94,45.92,1.07,1.73,-3.34,-4,-5.91,-11.97,-0.67
"TOR","2007-11-02","2007020182","20072008","N.J","0",39.35,34.36,40.98,46.12,47.51,45.23,1.01,1.93,11.07,15.94,17.93,20.95,21.74,24.03,1.41,1.71,-0.92,-4.88,-3.02,-2.28,-0.3
"TOR","2007-11-03","2007020188","20072008","MTL","0",50.9,68.85,54.63,54.63,53.62,53.16,2.07,0.94,30.3,25.17,45.1,37.47,57.77,49.97,2.26,1.99,1.14,5.13,7.64,7.8,0.27
"TOR","2007-11-06","2007020212","20072008","OTT","0",38.3,0,56.33,57.52,48.64,49.73,0,2.92,19.39,15.03,24.81,18.32,26.09,27.55,0.86,0.87,-2.92,4.36,6.49,-1.46,-0.01
"TOR","2007-11-09","2007020228","20072008","BUF","0",45.62,100,59.08,43.96,40.76,58.62,3.2,0,23.38,16.2,24.59,31.34,31.95,46.45,1.8,1.27,3.2,7.19,-6.75,-14.5,0.53
"TOR","2007-11-10","2007020236","20072008","NYR","1",44.78,46.81,48.57,42.67,41.8,45.19,1.88,2.13,20,21.17,25.52,34.29,33.11,46.11,1.61,1.95,-0.26,-1.18,-8.76,-12.99,-0.34
"TOR","2007-11-13","2007020254","20072008","MTL","1",40.25,48.2,56.28,54.25,58.84,57.86,1.88,2.02,22.19,17.24,32.63,27.51,45.18,31.61,1.92,1.4,-0.14,4.95,5.12,13.57,0.52
"TOR","2007-11-15","2007020262","20072008","BOS","0",49.55,20.75,47.73,51.74,53.14,47.58,1.01,3.87,22.62,24.76,31.14,29.05,37.19,32.8,1.49,1.64,-2.85,-2.15,2.09,4.39,-0.15
