"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"T.B","2007-10-04","2007020009","20072008","N.J","1",45.12,100,45.52,43.2,38.98,46.13,1.88,0,16.07,19.23,23.61,31.05,27.28,42.7,1.14,1.33,1.88,-3.16,-7.44,-15.42,-0.19
"T.B","2007-10-06","2007020028","20072008","ATL","1",47.87,65.64,70.11,65.1,62.59,69.09,1.93,1.01,26.98,11.5,34.15,18.31,43.08,25.75,1.93,0.86,0.92,15.47,15.84,17.33,1.07
"T.B","2007-10-10","2007020044","20072008","FLA","1",40.15,48.29,49.47,53.33,46.84,63.89,0.94,1.01,18.28,18.67,30.42,26.63,31.81,36.1,1.94,1.1,-0.07,-0.39,3.79,-4.29,0.84
"T.B","2007-10-13","2007020069","20072008","FLA","0",33.72,60.57,51.87,46.03,44.03,46.25,3.04,1.98,22.13,20.53,25.9,30.36,29.83,37.92,1.5,1.74,1.06,1.59,-4.47,-8.09,-0.24
"T.B","2007-10-18","2007020089","20072008","BOS","0",56,20.56,57.45,57.1,53.63,64,1.01,3.91,32.55,24.11,43.21,32.46,48.22,41.7,1.64,0.92,-2.9,8.45,10.75,6.52,0.72
"T.B","2007-10-20","2007020109","20072008","ATL","1",47.92,65.64,68.09,62.31,64.99,68.99,3.87,2.02,27.83,13.04,34.19,20.68,46.33,24.96,2.28,1.03,1.84,14.79,13.5,21.38,1.26
"T.B","2007-10-24","2007020126","20072008","WSH","0",44.63,34.62,47.66,43.28,38.59,34.11,2.02,3.82,18.57,20.4,22.49,29.48,28.89,45.97,1.2,2.33,-1.8,-1.82,-6.98,-17.08,-1.12
"T.B","2007-10-25","2007020135","20072008","PHI","1",44.87,48.85,53.04,52.84,51.62,43.8,1.93,2.02,20.86,18.47,25.09,22.4,30.78,28.85,1.17,1.5,-0.09,2.39,2.7,1.93,-0.33
"T.B","2007-10-27","2007020151","20072008","BUF","1",47.47,48.85,53.88,54.24,54.09,45.18,1.93,2.02,21.92,18.76,31.76,26.8,41.7,35.39,1.17,1.42,-0.09,3.16,4.96,6.3,-0.25
"T.B","2007-10-29","2007020160","20072008","NYR","0",42.98,0,43.42,38.34,40.65,29.19,0,0.94,15.86,20.67,19,30.56,28.73,41.95,0.98,2.37,-0.94,-4.81,-11.56,-13.22,-1.39
"T.B","2007-10-31","2007020168","20072008","N.J","0",46.78,0,33.95,37.87,42.13,23.98,0,4.9,12.55,24.43,20.36,33.4,29.95,41.14,0.7,2.21,-4.9,-11.87,-13.04,-11.18,-1.51
"T.B","2007-11-01","2007020173","20072008","NYI","0",42.85,0,53.3,60.59,54.86,36.46,0,2.92,20.42,17.89,33.87,22.03,46.58,38.33,1.31,2.28,-2.92,2.53,11.84,8.25,-0.97
"T.B","2007-11-03","2007020193","20072008","ATL","1",47.77,37.9,56.42,59.62,59.39,68.45,1.88,3.08,23,17.77,38.03,25.76,48.65,33.26,1.7,0.79,-1.2,5.23,12.27,15.39,0.92
"T.B","2007-11-05","2007020206","20072008","FLA","0",42.83,51.71,50.09,52.22,50.69,54.84,2.02,1.89,18.86,18.79,23.73,21.71,29.52,28.71,0.95,0.78,0.13,0.07,2.02,0.81,0.17
"T.B","2007-11-07","2007020215","20072008","FLA","1",43.45,65.64,63.07,60.09,55.96,70.84,1.93,1.01,26.16,15.32,30.3,20.13,39.34,30.95,1.69,0.7,0.92,10.84,10.18,8.38,0.99
"T.B","2007-11-08","2007020224","20072008","CAR","0",46.35,82,54.95,50.18,50.12,72.82,4.27,0.94,28.07,23.01,36.39,36.13,48.94,48.72,3.6,1.34,3.34,5.06,0.27,0.23,2.26
"T.B","2007-11-10","2007020239","20072008","WSH","0",49.3,53.19,62.09,60.8,60.34,61.95,2.13,1.88,30.61,18.69,43.41,27.99,56.53,37.16,2.26,1.39,0.26,11.92,15.42,19.37,0.87
"T.B","2007-11-14","2007020259","20072008","CAR","1",41.5,100,61.33,57.73,54.28,60.18,3.91,0,22.72,14.32,28.8,21.09,35.85,30.19,1.54,1.02,3.91,8.39,7.71,5.66,0.52
"T.B","2007-11-16","2007020274","20072008","WSH","1",43.85,48.16,45.61,43.85,39.28,32.69,1.93,2.07,17.21,20.53,24.39,31.23,32.7,50.55,0.88,1.82,-0.15,-3.32,-6.84,-17.84,-0.93
"T.B","2007-11-19","2007020293","20072008","ATL","0",44.52,62.54,50.36,52.37,52.7,59.93,3.14,1.88,15.02,14.81,23.08,20.99,34.96,31.38,1.94,1.3,1.26,0.22,2.09,3.59,0.64
"T.B","2007-11-21","2007020306","20072008","NYR","1",46.8,0,49.42,54.58,54.13,53.56,0,2.13,20.04,20.5,29.98,24.95,41.36,35.05,1.44,1.25,-2.13,-0.47,5.03,6.31,0.19
"T.B","2007-11-23","2007020319","20072008","CAR","0",48.3,45.5,55.54,47.66,48.97,53.97,3.14,3.77,24.44,19.57,31.58,34.68,41.87,43.63,2.18,1.86,-0.62,4.87,-3.1,-1.76,0.32
