"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"EDM","2007-10-04","2007020013","20072008","S.J","1",36.77,63.96,51.24,50.81,48.53,54.75,1.88,1.06,18.8,17.89,23.66,22.9,29.7,31.5,1.43,1.18,0.82,0.91,0.76,-1.8,0.25
"EDM","2007-10-06","2007020021","20072008","PHI","1",52.72,65.09,56.99,51.08,53.07,48.28,3.77,2.02,30.54,23.05,40.26,38.56,53.25,47.09,2.2,2.36,1.75,7.49,1.7,6.15,-0.16
"EDM","2007-10-08","2007020038","20072008","DET","0",43.8,67.2,38.27,34.77,36.41,31.3,2.02,0.99,14.23,22.95,18.96,35.57,26.15,45.67,1.17,2.56,1.04,-8.72,-16.61,-19.52,-1.39
"EDM","2007-10-10","2007020046","20072008","MIN","0",48.17,0,35.05,40.81,38.98,46.82,0,1.93,13.35,24.74,22.06,32,33.22,52.01,1.14,1.3,-1.93,-11.39,-9.94,-18.79,-0.16
"EDM","2007-10-12","2007020061","20072008","VAN","1",51.18,18,53.62,51.04,56.81,35.68,0.94,4.27,22.66,19.6,27.75,26.62,43.09,32.76,1.19,2.15,-3.34,3.06,1.13,10.34,-0.96
"EDM","2007-10-13","2007020073","20072008","VAN","0",40.12,0,51.14,52.88,50.6,51.13,0,2.92,17.58,16.8,24.46,21.8,29.72,29.01,1.3,1.25,-2.92,0.78,2.66,0.71,0.06
"EDM","2007-10-18","2007020096","20072008","ARI","0",49.27,77.24,37.95,46.93,50.19,42.6,3.18,0.94,18.15,29.68,30.11,34.05,41.31,40.99,1.34,1.8,2.24,-11.53,-3.94,0.32,-0.46
"EDM","2007-10-20","2007020112","20072008","CGY","0",37.87,51.71,37.17,38.33,34.05,51.65,1.01,0.94,12.65,21.39,16.52,26.59,18.21,35.27,1.18,1.11,0.07,-8.74,-10.06,-17.06,0.08
"EDM","2007-10-23","2007020124","20072008","COL","1",49.63,37.01,53.48,49.6,49.66,44.66,1.88,3.19,22.82,19.85,25.27,25.68,33.8,34.26,1.22,1.52,-1.32,2.97,-0.41,-0.46,-0.29
"EDM","2007-10-25","2007020137","20072008","MIN","1",43.8,41.55,49.23,45.5,44.4,35.61,2.88,4.05,19.57,20.18,26.71,31.99,33.44,41.87,1.47,2.66,-1.17,-0.61,-5.28,-8.43,-1.19
"EDM","2007-10-27","2007020156","20072008","L.A","0",45.25,0,52.8,52.52,53.08,55.79,0,2.91,27.28,24.39,35.03,31.67,44.23,39.1,2.71,2.15,-2.91,2.89,3.36,5.13,0.56
"EDM","2007-10-28","2007020158","20072008","ANA","0",45.95,36.04,39.51,35.08,34.83,0,1.06,1.88,13.74,21.04,17.02,31.48,20.29,37.96,0,0,-0.82,-7.3,-14.47,-17.67,0
"EDM","2007-10-30","2007020167","20072008","DET","1",48.73,46.92,35.36,44.67,43.28,30.28,0.94,1.06,13.55,24.77,25.11,31.1,30,39.31,0.84,1.92,-0.12,-11.22,-5.99,-9.31,-1.09
"EDM","2007-11-02","2007020186","20072008","NSH","1",47.4,22.71,52.48,46.58,43,42.21,0.94,3.19,21.96,19.88,28.63,32.84,34.35,45.53,1.67,2.29,-2.26,2.07,-4.21,-11.18,-0.62
"EDM","2007-11-05","2007020207","20072008","MIN","0",36.22,50.6,48.93,42.97,45.02,50.85,1.01,0.99,16.73,17.46,22.4,29.73,32.26,39.39,0.91,0.88,0.02,-0.73,-7.33,-7.13,0.03
"EDM","2007-11-07","2007020218","20072008","COL","0",45.27,41.71,53.68,56.73,58.63,46.97,2.02,2.83,25.31,21.84,36.04,27.49,44.08,31.1,2.15,2.43,-0.8,3.47,8.55,12.98,-0.28
"EDM","2007-11-10","2007020242","20072008","CGY","0",38.32,69.45,58.73,58.04,51.47,52.67,2.13,0.94,27.56,19.36,36.72,26.54,39.52,37.26,2.49,2.23,1.19,8.19,10.18,2.26,0.25
"EDM","2007-11-14","2007020261","20072008","VAN","0",47.8,0,39.59,35.36,36.49,49.54,0,0,13.38,20.41,21.71,39.69,27.86,48.5,1.64,1.67,0,-7.03,-17.97,-20.64,-0.03
"EDM","2007-11-15","2007020268","20072008","MIN","1",37.67,30.55,54.94,50.47,40.41,65.31,0.94,2.13,21.29,17.46,24.79,24.33,31.74,46.81,1.59,0.84,-1.19,3.83,0.46,-15.07,0.74
