"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"FLA","2007-10-04","2007020007","20072008","NYR","0",47.93,30.14,58.03,53.48,56.54,61.9,2.07,4.8,27.29,19.74,37.49,32.61,48.81,37.52,3.73,2.3,-2.73,7.56,4.88,11.29,1.43
"FLA","2007-10-06","2007020026","20072008","N.J","1",42.57,0,56.03,54.73,56.13,66.17,0,2.13,19.29,15.14,26.37,21.81,36.82,28.78,1.37,0.7,-2.13,4.15,4.56,8.04,0.67
"FLA","2007-10-10","2007020044","20072008","T.B","0",40.15,51.71,50.53,46.67,53.16,36.11,1.01,0.94,18.67,18.28,26.63,30.42,36.1,31.81,1.1,1.94,0.07,0.39,-3.79,4.29,-0.84
"FLA","2007-10-11","2007020055","20072008","N.J","1",40.3,100,51.03,52.2,49.02,36.94,0.94,0,21.33,20.47,27.46,25.15,33.14,34.46,0.82,1.39,0.94,0.86,2.31,-1.32,-0.58
"FLA","2007-10-13","2007020069","20072008","T.B","1",33.72,39.43,48.13,53.97,55.97,53.75,1.98,3.04,20.53,22.13,30.36,25.9,37.92,29.83,1.74,1.5,-1.06,-1.59,4.47,8.09,0.24
"FLA","2007-10-16","2007020082","20072008","MTL","0",45.53,0,39.95,44.01,48.62,35.55,0,0,14.49,21.78,26.08,33.18,42.84,45.28,1.22,2.22,0,-7.29,-7.1,-2.44,-0.99
"FLA","2007-10-18","2007020093","20072008","TOR","0",40.68,36.26,50.22,47.05,48.63,43.89,1.07,1.88,19.11,18.94,29.85,33.59,43.17,45.6,1.65,2.11,-0.81,0.17,-3.74,-2.43,-0.46
"FLA","2007-10-20","2007020105","20072008","OTT","0",37.95,0,35.49,36.12,33.29,34.02,0,2.92,21.35,38.81,30.1,53.22,35.56,71.28,2,3.88,-2.92,-17.45,-23.13,-35.72,-1.88
"FLA","2007-10-24","2007020128","20072008","PHI","1",48.47,58.71,61.07,58.02,61.56,64.52,2.88,2.02,31.2,19.89,40.66,29.42,55.17,34.45,2.47,1.36,0.85,11.31,11.23,20.73,1.11
"FLA","2007-10-26","2007020142","20072008","BUF","1",38.47,47.69,50.52,49.42,51.85,42.15,1.89,2.07,20.11,19.7,23.12,23.66,32.57,30.25,0.92,1.26,-0.18,0.42,-0.54,2.32,-0.34
"FLA","2007-10-27","2007020152","20072008","NSH","0",41.27,0,44.55,43.91,46.24,55.22,0,3.77,16.38,20.39,21.42,27.36,28.51,33.15,1.72,1.39,-3.77,-4.01,-5.94,-4.64,0.32
"FLA","2007-10-31","2007020169","20072008","CAR","1",41.95,0,45.43,45.72,47.85,50.63,0,2.12,20.98,25.21,28.45,33.78,37.81,41.2,1.29,1.25,-2.12,-4.22,-5.33,-3.39,0.03
"FLA","2007-11-02","2007020184","20072008","BUF","0",50.83,81.97,57.81,54.19,59.09,69.76,4.26,0.94,24.98,18.23,33.16,28.03,51.55,35.69,2.53,1.1,3.33,6.75,5.13,15.86,1.44
"FLA","2007-11-03","2007020192","20072008","CAR","0",52.25,50.6,35.85,34.84,38.21,37.49,2.02,1.98,19.15,34.27,25.02,46.8,35.95,58.15,1.75,2.91,0.05,-15.11,-21.78,-22.2,-1.17
"FLA","2007-11-05","2007020206","20072008","T.B","1",42.83,48.29,49.91,47.78,49.31,45.16,1.89,2.02,18.79,18.86,21.71,23.73,28.71,29.52,0.78,0.95,-0.13,-0.07,-2.02,-0.81,-0.17
"FLA","2007-11-07","2007020215","20072008","T.B","0",43.45,34.36,36.93,39.91,44.04,29.16,1.01,1.93,15.32,26.16,20.13,30.3,30.95,39.34,0.7,1.69,-0.92,-10.84,-10.18,-8.38,-0.99
"FLA","2007-11-09","2007020229","20072008","ATL","1",50.32,30.65,59.3,61.25,57.68,55.96,0.94,2.12,30.38,20.85,41.56,26.29,50.18,36.81,1.72,1.36,-1.18,9.53,15.27,13.37,0.37
"FLA","2007-11-12","2007020250","20072008","CAR","1",41.23,47.37,47.17,47.24,45.56,50.41,2.82,3.13,23.56,26.39,30.21,33.73,38.23,45.69,1.84,1.81,-0.31,-2.83,-3.53,-7.45,0.03
"FLA","2007-11-13","2007020252","20072008","ATL","0",48.72,69.35,42.19,45.34,52.31,45.96,2.12,0.94,17.57,24.07,26.16,31.53,36.69,33.45,1.62,1.9,1.18,-6.51,-5.37,3.24,-0.28
"FLA","2007-11-15","2007020266","20072008","WSH","1",46.62,65.64,53.85,53.91,51.38,56.77,1.93,1.01,21.56,18.48,31.84,27.22,37.48,35.47,1.82,1.39,0.92,3.08,4.62,2.01,0.43
"FLA","2007-11-17","2007020282","20072008","CAR","0",50.33,0,40.19,40.91,43.02,35.66,0,0.99,19.38,28.85,32.12,46.4,44.99,59.6,1.84,3.31,-0.99,-9.47,-14.28,-14.61,-1.48
