"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"PIT","2007-10-05","2007020015","20072008","CAR","0",42.32,0,49.21,46.56,44.13,55.34,0,2.92,21.61,22.31,29.04,33.33,37.52,47.5,2.53,2.04,-2.92,-0.7,-4.29,-9.98,0.49
"PIT","2007-10-06","2007020027","20072008","ANA","1",41.87,78.24,50.92,52.46,47.39,60.81,3.82,1.06,14.84,14.3,24.96,22.62,36.93,40.99,1.63,1.05,2.76,0.54,2.34,-4.06,0.58
"PIT","2007-10-10","2007020043","20072008","MTL","1",49.05,30.55,40.42,44.24,43.88,62.6,0.94,2.13,20.98,30.92,32.32,40.75,38.64,49.41,2.87,1.71,-1.19,-9.95,-8.43,-10.77,1.16
"PIT","2007-10-13","2007020064","20072008","TOR","0",32.6,52.12,59.12,55.85,51.92,53.64,4.15,3.81,28.22,19.51,34.38,27.18,39.1,36.21,2.26,1.96,0.34,8.71,7.2,2.89,0.31
"PIT","2007-10-17","2007020086","20072008","N.J","1",38.9,22.71,37.56,40.1,40.29,31.75,0.94,3.19,15.21,25.28,24.81,37.06,29.36,43.52,1.03,2.21,-2.26,-10.07,-12.25,-14.15,-1.18
"PIT","2007-10-19","2007020099","20072008","CAR","1",39.12,46.81,40.47,42.73,43.06,40.38,1.88,2.13,14.74,21.68,20.27,27.17,25.71,34,1.22,1.81,-0.26,-6.94,-6.9,-8.29,-0.58
"PIT","2007-10-20","2007020108","20072008","WSH","0",45,51.71,38.6,36.49,39.53,53.29,1.01,0.94,14.51,23.08,20.79,36.2,31.6,48.35,1.71,1.5,0.07,-8.57,-15.4,-16.74,0.21
"PIT","2007-10-23","2007020120","20072008","NYR","1",42.58,0,39.72,35.42,36.98,46.8,0,0,16.2,24.59,23.23,42.35,29.71,50.62,1.24,1.4,0,-8.39,-19.12,-20.92,-0.17
"PIT","2007-10-25","2007020134","20072008","TOR","1",42.78,18.31,41.61,43.67,46.57,54.8,0.94,4.22,16.46,23.11,22.04,28.44,27.49,31.54,1.56,1.29,-3.27,-6.64,-6.4,-4.05,0.27
"PIT","2007-10-27","2007020150","20072008","MTL","1",47.2,30.55,42.5,42.12,45.35,40.7,0.94,2.13,14.71,19.91,23.7,32.57,36.88,44.44,1.17,1.71,-1.19,-5.19,-8.86,-7.56,-0.54
